,ID,내용,날짜,별점
0,Rosa Kim,"-테헤란로 대로변 중 상당한 사이즈를 자리하며 많은 양의 책으로 꾸민 분위기도 정말 한 몫한다..
-계단에 앉아서 먹을 수도 있고, 1층 바, 그리고 2층 테이블 자리에 앉아서 바깥을 보면서 먹을 수도 있다.
-약간 어둑한 분위기며 겨울 특성상 한기가 느껴지긴 했다.
-평일 오전에 조용히 공부하거나 작업하기 좋은 곳. 그러나 점심시간 되니까.. 줄 서서 주문해야함
-카푸치노와 아메리칸 피칸 파이는 늘 일품이당..
-빵 종류도 다른 지점에 비해서 많았다
-그러나 벽면에 꽂힌 책을 읽을 수 있는 건 아님 ㅠㅠ
-재방문 의사가 있는 곳!",3달 전,4
1,Y.H. Chun,"주말, 삼성동 주변에 주차 가능하고 맛난 커피 마실 수 있는 곳이 흔치 않은데 간만에 맘에 드는 곳 발견.
주중 1시간 / 주말 2시간(다른 곳 합산해도 최대 2시간) 무료 주차 가능합니다.
우선 포스코 건물과 너무나 잘 어울리는 인테리어에 감동... 질감, 색감, 공간감, 자리배치 등... 세심하게 신경 쓴 것이 느껴집니다.

커피 또한 오늘의 드립 커피 마셔보았는데 산미, 농도 모두 만족스럽고 함께 먹은 피칸파이도 꽤 훌륭합니다.

근처에서 점심 먹고 커피한잔 하기 딱 좋을 것 같아요. 가족 친구 모임등 모두 잘 어울릴 것 같습니다.

ps. 차량은 대수에 상관없이 주문하면 2시간 무료 주차 등록해 줍니다. 👍",7달 전,5
2,E. S. Lee,개인적으로 테라로사 매장 여러 곳을 가봤지만 여기 포스코점도 너무 좋습니다. Specialty 표방하는 커피맛이야 언제나 훌륭하고ㅎㅎ 넓고 공간에 책으로 가득한 실내 인테리어가 너무 마음에 들고 일하시는 직원들도 아주 친절합니다. 워낙 테라로사 감성을 좋아하고 적극 지지하긴 하지만 강릉본점 못지 않게 구석구석 마음에 들어 앞으로도 자주 찾을 듯 합니다. 삭막한 도심에 이런 공간이 있어 너무 감사하네요^^,3달 전,5
3,CHAEWON KIM,"일층은 엄청나게 큰 도서관 느낌으로 책읽고 싶게 만든다 이층도 큰 공간과 함께 미팅하기에 좋다
카페라떼 맛이 아주 좋다",1달 전,5
4,Taehyong Kim,"도심속 최고의 커피숖입니다.
넓직하고 조용하고 커피맛도 훌륭합니다.
도서관 같으면서 세련된 분위기로 최고의 경험을 선사해 줍니다.",4달 전,5
5,MJ kim,"무료 주차와 맛있는 커피 멋진 공간.
삼성역에서 가장 좋아하는 카페입니다.",4달 전,5
6,이종욱,"분위기와 맛을 모두 가지고있는 카페는 오랜만이네요
계단식좌석과 2층의 넓은좌석이 너무좋았어요",2달 전,5
7,김성신,"딱딱한 포스코건물이란 이름과는 달리 부드럽기보다는 재밌는 곳이었다.
엘베를타는데 미니 아쿠아리움이 반기고 로비에는 고 백남준선생님의 비디오아트작품이 있었구 , 고 박태준 포스코건설회장님이 입체적으로 움직이며 인사를 해주셨고,
테라로사커피를 강남 한복판에서 즐길 수 있음이 좋았다.
단지 아쉬운건 창가쪽에 오후 지는해가 가려지지않아 자리가 좀 불편했다.
커피맛은 짱~",9달 전,5
8,Bong-Kyoo Lee,"핸드드립 오늘의 커피로 르완다 원두 5500원, 부드럽고 깔끔했습니다.",1달 전,5
9,Haejin cho,"서울 시내에 이렇게 크고 깔끔한 카페 있는 거 너무 좋다ㅜㅜ 서울 근교 나간 것 같은 분위기~~
토요일 4시쯤 갔는데 거의 만석이었고 타이밍 좋게 테이블 자리 생겨서 앉았다! 수다 떠는 사람들, 공부하는 사람들 모두 즐길 수 있을 것 같다. 나는 공부하러 갔는데, 약간 어둡긴 했지만 바쁜 일상에서 아주 잠시 여행온 것 같은 기분을 낼 수 있어 너무 좋았다.
커피는 약간 연한편? 진한 걸 안 좋아하는 내 입맛에 딱이었다.",1년 전,5
