,ID,내용,날짜,별점
0,L KIM,언제 찾아가도 고향같은 느낌...프라이드 치킨스테이크 컴백했다고 해서 고민없이 시켰음 ㅜㅜ 이름엔 치킨들어가있지만 실은 소고기 튀김인..미국 남부 메뉴를 먹을 수 있다니ㅎㅎ 커피랑 먹으면 딱인 메뉴. 서비스나 매장컨디션은 엄청 고급스럽다 할 순 없지만 처음 알았던 그 때랑 맛이 한결같은 점이 반갑고 가끔 생각나는 것.,2달 전,5
1,심은실,한번씩 먹으러가기엔 좋아요.양도많고 맛도있으나 실내가 넓지 않아서 기다려서 먹을수도있어요.,1달 전,4
2,조은실,"*이른아침에 브런치를 할수있음이 미쿡식이라 좋았슴.
*분위기가 미국에서 아침 먹는기분.
*가족이 같이 갈수있는 분위기.
*가격대비 양이 많아 굿굿.
*커피맛이 구수한 숭늉같아 내스타일이었음.",11달 전,4
3,룡룡,너무 맛있어서 매주 오고싶다.,3달 전,5
4,김롤렉스,가볍게 브런치 즐기러 가는데 배불러서 나오는곳. 팬케이크 맛있어요.,2년 전,4
5,Choi태태,"겉바속촉와플위에 사진속 재료들과 조화를 이루면 하루의 피로가 싹~가신다^^
개인적으로 견과류맛은 느끼하고 입안에서 걸리적거려서 비추~

요즘들어 기계가 바뀌어서인지 사람손맛이 바뀌어서인지 바삭함이 덜해서 속상하지만 기본적으로 맛있어서 즐겨먹는 시그니처템

맛이 변한점과 직원들 센스가 좀 부족해서 별이 몇개 빠짐",6달 전,3
6,Hayeong Yoon,친구들이랑 또는 데이트하기 괜찮아요. 둘이서 메인하나시키고 사이드를 추가하는게 낫겠어요. 반은남겼네요.,2년 전,4
7,Jung Shin,가끔  당보충 필요할때   부드러운토스트와  오렌지에이드 추천~,4달 전,4
8,Harry Park,"모든게 중간인 곳. 주변 레스토랑에 비하면 가격대비 괜찮은 편이지만, 더 넓게 생각해보면 창렬 스러움이 펙트.",5달 전,3
9,권민정,영업시간이 새벽 1시까지라서 너무 좋아요~ 직원분들도 친절하세요:),2년 전,4
10,Juntai Seo,"아메리칸스타일.. 느끼~~~
버터 좋은거 좀 사용하지.",7달 전,3
11,HJ Shim,늘 만족스럽습니다. Heavy하긴 하지만 그래도 입이 늘 즐겁죠.,3년 전,4
12,Julie Y,"처음에는 외국 프렌차이즈같은 느낌이여서 물어보니 한국 브랜드네요.
메인도로에서 조금 들어와 있어서 위치를 찾을때 조금 불편함이 있어요.
직웜들은 바쁜지 조금 친절하지는  않아요.
처음 방문하시면 메뉴를 꼼꼼하게 봐야 척척 주문이 가능합니다. 팬케이크는 호주 팬케이크 매너보다는 담백합니다. 곁들여지는 과일 망고는 생과일이 아니고 통조림인지 아님 냉동과일 녹은건지 별로네요. 스크램블도 모양은 이쁘지 않답니다. 햄버거 패티는 얇네요.
커피는 6,400원이네요.
팬케이크에 커피로 브런치하면 좋네요..",2년 전,4
13,찰스스,"여친느님의 이끌림에 따라 방문했는데요
평소 아침에 시리얼 빵을 먹는걸 좋아하는지라
음식 나오자마자 그 퀄리이에 감동했습니다
특히 버터종류 선택하는거와 스크램블은 입에 넣자마자마치 여행을 가서 조식을 먹는 기분을 연상케 합니다
순간 신났었네요
근처에 브런치 할 일 있으면 추천드립니다~!!",1년 전,4
14,SUK YOUNG LEE,차갖고 가기 불편해요..턱에 차세우다가 휠 긁어먹음..ㅠㅠ,2달 전,3
15,짱 쎈오야붕님,비싸구영 비싼만큼 맛있지는 않아요 와플팬있으면 집에서 뚝딱 만들정도 ㅋㅋ...직원들이 좀 틱틱거리고 음식만들때 마스크도 턱에 걸치고 말해서 좀..비위생적인거같구 수저 떨어뜨린걸 그대로 주워서 담더라구용;;;;웁스에용,9달 전,1
16,먹방여신수민,"자이언트, 팬케잌, 스테이크 다 맛있다!!!
아침부터 달달함으로 충전하기 딱좋음!!",10달 전,5
17,Chris Silhwan Jin,맛이 나쁘지 않아요. 조리시간이 꽤 오래걸려서 별하나 깎습니다.,2년 전,3
18,Mile S,약간 불친절.  그래도 맛은 있다,3달 전,5
19,SOOYOUNG JEON,"테이블 정리한 손으로 계산하고 그 손으로 빨대 만지고, 음료주고.. 오랜만에 와서 위생에 놀라고 갑니다.",10달 전,1
20,송시은,음료수가 10800 원 실화? 흠...맛은 있음,5달 전,3
21,JAMES PARK,뭐하나 제대로 쿠킹된게 없다 어릴땐 괜찮게 먹었던 기억이 있어서 몇년만에 찾았는데 가격만 나가고 별로였다,6달 전,1
22,Giovanni Bosco Kim,양많고 맛 괘안고... 좀 비싼건 단점이네요,8달 전,4
23,True Wind,맛은 괜찬습니다. 프랜차이즈고 워낙 여러번 가본곳이라 맛은 비슷. 다만 직원들은 불친절 틱틱거리는듯요.,8달 전,2
24,정창호,아침 일찍부터 영업함.,3달 전,5
25,4 MUSIC STUDIO,"맛은 괜찮습니다. 국내에서 아메리칸 breakfast 를 막을수 있는 몇 안되는 식당인것 같아요. 팬케이크, 프렌치토스트, 다 괜찮은데... 비비큐 필리치즈스테이크 라는걸 시켰는데 그냥 bbq버그가 나와서 좀 실망... 필리치즈스테이크 라는 말을 빼야 할듯 합니다. 주차는 발레파킹 이 가능하고 2시간에 3,000원 입니다.",2년 전,4
26,하얀곰,분위기는 좀 어두침침한데 팬케잌은 맛있네. 가끔 또 가고 싶다.,1년 전,4
27,Mia san mia,사람이 많으나 회전율이 좋아 웨이팅은 없음. 발렛가능. 음식도 빨리 나오는 편.,3년 전,4
28,Blythe B,"가성비 떨어짐,  퀄은 괜찮음, 메뉴가 다 비쌈
오늘 종국이형도 옴,  그 다아는 김종국
형님이 그 시간에 와서 밥먹고가서 깜짝 놀랬음요
밥먹을때 다른사람들이 귀찮게 할까봐 시간대는 비밀
다음부터는 천천히 드시고 가시길...",9달 전,4
29,Ali Alzaabi,"버터 핑거 팬케이크는 LA의 The Griddle Cafe를 떠올리게합니다. 놀라운 아침 식사와 브런치 옵션을 제공합니다. 나는 그들의 정원 오믈렛과 그들의 빠른 바닐라 와플을 좋아했다

Butterfinger Pancakes reminds me of LA’s The Griddle Cafe. They serve amazing breakfast and brunch options. I loved their Garden Omelet, and their Quick Vanilla Waffle",1년 전,4
30,Beom Seok Moon,"화장실에 비누가 없는게 아쉽지만, 음식점은 좋습니다. 맛도 나쁘지 않구요.",11달 전,4
31,박현미,"비싸고 맛은 그럭저럭
커피잔이 크고 리필되는 것은 좋았습니다",2년 전,3
