,ID,내용,날짜,별점
0,Tina,"프리미엄 커피숍.다른 프리미엄 커피숍 에선 볼 수없는 사이폰 추출방식이있어 커피애호가의  눈을 즐겁게 해주고 신기함을더해준다. 로스팅작업실도 따로 한눈에 볼수있게 해놓은, 특별한 맛있는 커피를 전문커피연구소에서 마시는느킴, 베이커리도 업그레이드 된 한치높은수준의 프리미엄 전문 커피숍, 이디아커피 숍을 다시보게 해준다. 벌써 단골이된느낌. 얼른 재방문 하고싶다.",1달 전,5
1,방뱅방,"1층에는 직접 커피를 로스팅하는 공간이 보이고 안쪽엔 빵을 만들고 있다.
2층엔 넓은 장소가 반겨준다.
커피맛도 빵도 맛있다.",1주 전,5
2,명문,"넓어서 띠엄띠엄 앉기에 좋고
커피맛도 괜찮다.
직접 로스팅 해서 들어가면서부터나는
커피향이 마실때보다 졸때도 있다.
어디에 내놓아도  손색없는 자유로움이 있다.",2주 전,4
3,"조,브랜드","논현동에 있는 복합문화공간으로 좋음. 커피, 빵 등 먹거리 좋음",1주 전,5
4,Kahee Cho,공간이 좋고 베이커리 종류가 다양해 좋아요. 발렛파킹 됩니다.,3주 전,5
5,LF H,"빵, 커피 맛은 뭐 이미 다알겠지만 주차가 발렛이긴한데 진짜 편하고 앉을 자리가 많아서 좋아요.",5일 전,5
6,inyong choi,좋아요.좋은데 일반이디야 생각하고 가면 커피가 많이 비싸요ㅎ,1주 전,5
7,WonKyo Choi,"상상이상~!
호텔발렛 서비스 받는 기분이었음.
차 가지고 있는 사람들에게 강추 드려요",2주 전,5
8,이카,굉장히 넓고 크고 로스터 머신도 있어 구경거리도 많아요~,4주 전,5
9,Chong-Kook PARK,"비록 발레이지만 주차 서비스 좋음.
실내 공간과 인테리어가 모던하고 아늑함.
본사답게 균형감 있는 아메리카노는 가맹점과는 차별화된 느낌.
미국 스타일 샌드위치는 또 다른 매력.
종업원은 친절하고 상냥함.",4달 전,5
10,Wonbong KIM,"넓은 공간이 맘에듦. 단, 코로나로 한 테이블씩 떨어져 앉아서인지 벌써 만석. 평일인데 앉을 자리가 없음. 커피와 간단한 베이커리 가능한 곳. 근처에 갈일 있으면 이곳에서 모임 추천!",7달 전,5
11,박선영,발렛파킹도 넘좋구 내부가 2층으로 되어있는데 공간여유가 무척이나 여유있고 무엇보다 커피랑 같이먹는 샌드위치나 빵이 너무 맛있어요^^ 갓 착츱한 주스도 너무 프레쉬하구요♡♡  직원분께서 수시로 테이블 정리하시면서  소독하는거보고 감동과함께 안심했어요♡♡♡,1달 전,5
12,연기좋어,분위기 좋고 맛도 좋고 눈도 즐겁고 아침에 오시면 커피볶는 것도 볼수있어요,4주 전,5
13,주영차,여긴 너무 예쁘고 맛있어요. 그런데 치즈케익은 너무 설탕설탕해서 단맛을 적당히 좋아하는 저에게는 조금.. 그 외에 분위기부터 코로나19 수칙지키는 것까지 참 좋았습니다.,6달 전,4
14,이영선,"과일주스를 마셨는데~매장 분위기가 활기차보이고~
아침에갔는데 푸드도 제공되어 좋았어요~~",2주 전,5
15,김희보,"커피의역사를 알수있는 유익한 장소 입니다
실내휴게공간도 쾌적하고 직원 고객응대
써비스도 친절합니다",1달 전,4
16,Kyutae Jo,이디야 본사건물의 고급형 매장이라고 할까... 잘 꾸며두었고 커피도 괜찮지만 뭔가 발렛비부터 해서 2배 이상 비싼 가격... 등등 단점도 눈에 띤다.,7달 전,4
17,민돌이가잘하네,"항상 만족, 넓고 다양한 좌석, 2시간인가 무료주차 그리고 다양한 빵과케익, 샐러드
커피도 원두 종류 고를수있고 매번 다른 커피 추천해서 만족합니다",2달 전,5
18,InChul Hwang,"일반적으로 경험하는 이디야라는 다른 곳
한번쯤은 가보면 좋은 곳",1달 전,5
19,호주,"일반 커피숍이라고 볼 수 없을 만큼 규모가 매우 넓습니다. 광화문에 위치한 스타벅스를 연상하게 하는 공간이며 빵 종류도 여러가지를 갖춰 놓고 있습니다. 아쉬운 것은 샐러드나 샌드위치 종류가 없어서 오전에 들르게 되면 섭섭할 수도 있습니다.
성수동의 블루보틀처럼 커피를 직접 로스팅하는 기계가 세팅 되어 있어서 신선도와 커피의 제조 공정을 직접 볼 수 있는 것은 장점이라고 할 수 있으며 공간이 워낙 넓어서 혼자 책 보는 분들과 연인들이나 회사 및 단체들이 다수의  모임을 하기에도 적합하지 않을까 하는 생각을 가져 봅니다.  강남에 이렇게 큰 규모의 장소를 커피숍과 빵을 판매하는 영업장으로 개설 했다는 것 만으로도 이디야의 공격적인 영업이 기대가 됩니다.
학동역에서 언주역 사이에 자리잡고 있으니 한 번 들러 보시기 바랍니다.",1년 전,4
20,Ji Hoon Kim,분위기 좋아요. 일반 이디여커피랑 달라요,3주 전,5
21,추파웁스,엄청 넓고 인테리어가 잘되어있고 베이커리도 다양해서 매우좋네요,2달 전,5
22,gabriel Lee,"넓고 쉬기 좋은곳.
주차편리함",1주 전,3
23,Okjin Yoo,"커피도 맛있고 공간도 좋아요
너무 어둡긴하네요.
가격은 비싼편",1달 전,4
24,변재환,발렛 과 큰 공간으로 커피 마시는 일 외 에도 참 좋습니다 Que bien para estar aqui!!!,1달 전,5
25,Diver Chan.s,"넓고 맛있고 본점이라 의미도 있고 다 좋은데
동네가 동네니 만큼....주차비가 헬이네요.

2시간 3,000원. 추가 10분당 1,000원",6달 전,4
26,정성화,"멋진공간, 맛있는 커피와 베이커리가 어우러진 곳",4주 전,5
27,Minsoo Kim,"케익 및 빵 종류가 엄청 많아요~
주차비도 강남치곤, 이만 하면 저렴~~
강추~^^",2달 전,5
28,JW E,핸드드립을 1대1로 직접 받을 수 있어 좋은 곳. 넓고 분위기도 좋아요.,5달 전,5
29,은하수인간,다른 이디아 지점보다 커피가 맛있네요. 주차하기어려운 강남에서 발렛편한 커피숍으로 강추,2달 전,5
30,한진후,"이디야 카페 자체를 거의 안가는 편이라 동네에 있는곳임에도 오늘에야 처음 가봤내요~역시 기대했던대로 규모가 크내요. 입구에서부터 커피 전문의 느낌이 확들어오도록 로스팅룸,테이스팅 스테이션이 맞아주고 있내요~오늘 주문은 에디오피아 게이샤 허니를 푸어오버로 그리고 다저트로 퀸아망~ 바디감은 가벼우며 산듯한 산미와 살짝 감도는 감미로움이 잘 조화를 이루는 좋은 커피내요~디저트도 왠만한 프랑스 전문점 같이 맛있내요^^♡♡",1년 전,5
31,YKKIM,나름 다들 한번씩 가보셨겟지만 늘 붐비고 또 붐비는 곳. 빵들도 나름 맛있는것도 있고..개인적으로 쵸코릿이 아닌 쵸코가루가 범벅된 빵..이름모름. 이 제일 나은것 같네요. 커피는 개인취향이니 패스. 슈퍼카 구경가고 싶으시면 이곳도 괜찮네요.,2년 전,4
32,정은,"발렛파킹도 되고, 직원분들도 무지 친절하세요.  문을 열어주시는 직원분도 있어서 빵과 커피를 들고 나갈때 특히 편했어요.  빵도 맛있고 커피도 괸찬아요.  매장 인테리어도 멋지고, 좋아요.  2층도 있는데, 거긴 사람이 더 많아서 1층에 자리를 잡았어요.  요즘 ""봄밤""이라는 드라마에 나와서 그런지 아님 원래 그렇게 사람들이 많은지 손님들이 무지 많았어요.  샌드위치랑 샐러드를 거기서 먹었고, 빵 3개는  사와서 집에서 먹었는데   맛있었어요.  단지 발레비용이 좀 비싸요.  3만원이상 구매시에 한대만 할인을 해주네요.",1년 전,5
33,Younglia Kim,이디야랩은 처음인데 신기방기,4주 전,3
34,인생의맛,"가맹점주의 돈을 긁어모아서 강남에 지은빌딩. 커피산업 자본주의의 산물. 돌아가지 않는 로스터기들과 기계처럼 일하는 직원 .
3000원기본발렛비 .심지어 추가요금도 있음.
게다가 카드 안됨!현금과 계좌이체만됨.
안되는 커피들도 많음.메뉴에서 지워 놓든가.
이디야는 가성비라는 소린 옛말이되었음.",11달 전,2
35,수락폴,"구글 리뷰에서 추천 받은대로 땅콩 크루아상은 저렴한 가격에 매우 맛있었다. 원두와 추출방식 선택부터 기존의 알고 있는 이디야와는 차원이 다른 제조 및 주문 시스템을 갖추고 있다.

좌석은 정말 넓고 다양한 형태로 존재. 손님이 많은 편이지만 시끄럽지 않고, 여러 볼거리도 많다. 발렛도 꽤나 편함.

커피 가격이 1만원 대로 약간 비싸지만, 마케팅 차원에서 이런 곳도 있어야 한다 생각.",1년 전,5
36,. 야밍 (‪야밍‬),"주차장 넓고 매장안도 넓고 얘기하거나 밥을먹거나 노트북사용하거나 하는 공간을 마련해두어서 원하는 위치에서 편하게 일을 볼 수도 있어요.
음식도 샌드위치,샐러드, 빵, 커피,티 등등 다양하게 있어서 좋아요.
이디아 매장에 비해서 가격대가 높구 사람이 많은 2층은 직원분들이 수시로 정리해주시지 않으면 난장판되기 쉬운게 조금 아쉽네요.",1년 전,4
