,ID,내용,날짜,별점
0,L KIM,언제 찾아가도 고향같은 느낌...프라이드 치킨스테이크 컴백했다고 해서 고민없이 시켰음 ㅜㅜ 이름엔 치킨들어가있지만 실은 소고기 튀김인..미국 남부 메뉴를 먹을 수 있다니ㅎㅎ 커피랑 먹으면 딱인 메뉴. 서비스나 매장컨디션은 엄청 고급스럽다 할 순 없지만 처음 알았던 그 때랑 맛이 한결같은 점이 반갑고 가끔 생각나는 것.,2달 전,5
1,심은실 (라),한번씩 먹으러가기엔 좋아요.양도많고 맛도있으나 실내가 넓지 않아서 기다려서 먹을수도있어요.,1달 전,4
2,조은실,"*이른아침에 브런치를 할수있음이 미쿡식이라 좋았슴.
*분위기가 미국에서 아침 먹는기분.
*가족이 같이 갈수있는 분위기.
*가격대비 양이 많아 굿굿.
*커피맛이 구수한 숭늉같아 내스타일이었음.",11달 전,4
3,룡룡,너무 맛있어서 매주 오고싶다.,3달 전,5
4,김롤렉스,가볍게 브런치 즐기러 가는데 배불러서 나오는곳. 팬케이크 맛있어요.,2년 전,4
5,Choi태태,"겉바속촉와플위에 사진속 재료들과 조화를 이루면 하루의 피로가 싹~가신다^^
개인적으로 견과류맛은 느끼하고 입안에서 걸리적거려서 비추~

요즘들어 기계가 바뀌어서인지 사람손맛이 바뀌어서인지 바삭함이 덜해서 속상하지만 기본적으로 맛있어서 즐겨먹는 시그니처템

맛이 변한점과 직원들 센스가 좀 부족해서 별이 몇개 빠짐",6달 전,3
6,Hayeong Yoon,친구들이랑 또는 데이트하기 괜찮아요. 둘이서 메인하나시키고 사이드를 추가하는게 낫겠어요. 반은남겼네요.,2년 전,4
7,Jung Shin,가끔  당보충 필요할때   부드러운토스트와  오렌지에이드 추천~,4달 전,4
8,Harry Park (닉네임),"모든게 중간인 곳. 주변 레스토랑에 비하면 가격대비 괜찮은 편이지만, 더 넓게 생각해보면 창렬 스러움이 펙트.",5달 전,3
9,권민정,영업시간이 새벽 1시까지라서 너무 좋아요~ 직원분들도 친절하세요:),2년 전,4
10,Juntai Seo,"아메리칸스타일.. 느끼~~~
버터 좋은거 좀 사용하지.",7달 전,3
11,HJ Shim,늘 만족스럽습니다. Heavy하긴 하지만 그래도 입이 늘 즐겁죠.,3년 전,4
12,Julie Y,"처음에는 외국 프렌차이즈같은 느낌이여서 물어보니 한국 브랜드네요.
메인도로에서 조금 들어와 있어서 위치를 찾을때 조금 불편함이 있어요.
직웜들은 바쁜지 조금 친절하지는  않아요.
처음 방문하시면 메뉴를 꼼꼼하게 봐야 척척 주문이 가능합니다. 팬케이크는 호주 팬케이크 매너보다는 담백합니다. 곁들여지는 과일 망고는 생과일이 아니고 통조림인지 아님 냉동과일 녹은건지 별로네요. 스크램블도 모양은 이쁘지 않답니다. 햄버거 패티는 얇네요.
커피는 6,400원이네요.
팬케이크에 커피로 브런치하면 좋네요..",2년 전,4
