,ID,내용,날짜,별점
0,green beside,"가지롤이 참 맛있었어요. 무쇠팬에 두어조각의 빵과 함께 서빙되어지는데, 가지롤 단독으로 먹어도 맛나고 빵 위에 얹어 먹어도 맛나고, 물론 치즈와 올리브오일의 역할이 크긴 해요.

그에 비해 비프 파니니는 평범하네요. 고기 굽기는 제가 먹기에 적당해서 좋았는데, 그 외 속재료가 기대치에 못미치기도 했고, 파니니다운 비쥬얼이나 뜨끈함이 덜했던게 좀 아쉬웠네요. 의외로 커피맛이 괜찮더라구요.

추운 날 간만에 뜨끈하게 즐긴 브런치라 꽤 만족했습니다. 내츄럴한 인테리어에 햇살이 드는 창가 테이블 자리라 더 좋기도 했어요.",4달 전,4
1,Taeyoun Kim,주말 10시에 브런치 가능한 곳 찾다가 들렀습니다. 오믈렛 너무 맛있게 잘 먹었구요 셀러드는 상상하는 그 맛입니다. 햇살 잘 드는 창가에서 기분좋게 식사했구요. 단 하나.... 먼지 청소 좀 했으면 좋겠어요. 테이블 위에 조명기기에 먼지가 주렁주렁 달려있네요.,2년 전,4
2,Sue Jung,브런치하고 미팅하기 좋은장소입니다.  음식 맛도 굿굿굿,2달 전,5
3,Kong K,화초들과 함께 자연스런 분위기에서 브런치먹기. 옥상에서 저녁에 바베큐 먹기. 더울때 과일이 보이게 음료수 테이크아웃 해오기.,3년 전,4
4,yoonjin Park,"조금 비싸지만 분위기가 좋아요!
맛은 쏘쏘 가격은 비쌈
에그베네딕트랑 오믈렛튀김? 먹었어요",1년 전,5
5,Jumie Huh,어... 예전보다 맛이 너무 없어졌다. 크기도 작아지고. 가격은 다른 브런치 레스토랑과 비슷한데 맛이나 양이 불만족. 뭐지? 왜 변했어요?,2년 전,2
6,JH Ju,리코타 치즈 샐러드 맛있어요,2년 전,5
7,박보경,"맛은 평범한브런치
너무 더워요..
모든 테이블 고객들이 더워했습니다.",2년 전,3
8,손원호,인근에서 브런치로 유명한 곳. 가지롤과 스테이크 샐러드가 맛있었다.,2년 전,4
9,동네방네 포포자랑,가지파니니 진짜 맛있어로 강추!,3년 전,4
10,ᅳ그늘안,"11시 좀 넘으니 금새 가득차버린
브런치계의 지존집
일단 눈이 즐겁고 코와입이 즐거워지고 배가 기분좋게 든든해지는 곳",2년 전,5
11,H Park,"요즘 날씨에 가면 좋아요. 음식도 건강하고 맛괜찮은데, 굳이 아쉬운건 플레이팅이 아쉽",2년 전,4
12,JINKUN CHAI,퓨전 이태리 식당 입니다. 점심 파스타 맛집,7달 전,4
13,Sunhee Yoon,음식 맛있고 브런치하기 좋아요😀,5달 전,5
14,손경미,"커피한사발줌.값싸고맛도괜찮음.20,30대강추~",1년 전,4
15,eunjeong Park,핫하다 해서 갔었는데 진짜 괜찮아요 담에 또 가려고요,2년 전,5
16,Youngwook Ko,"분위기, 맛 훌륭",2년 전,5
17,치즈중당추가,"가로수길 맛집.파스타,피자 다 맛있음.커피 국그릇만하게 나오는대신 리필 없음.",2년 전,4
18,라리가,"유기농이라 해서 살짝 기대는 했는데,우선 파스타,에그인헬 모두 너무짜구요.파스타는 통후추를 엄청 넣었는데 안씹혀서 몇개 뱉었고. 3개이상 시켜서 무료로 받은 아메리카노는 맛있었어요.근데 굳이 두 번 갈데는 아닌듯.직원분들이 시켜드시는점심 메뉴 짬뽕이랑 찌개냄새가 더 맛있어보임",2년 전,2
19,문성민,맛있고 무난한 브런치카페입니당,11달 전,4
20,Eugène Lu,비싸요ㅠ,2주 전,4
21,seung seo,"아침 오픈시간에 갔어요. 두세팀 있었어요.
메뉴판에 11시부터하는 에이블 밀 메뉴들을 10시에도 주문된다구해서 먹었어요. 영국식 브런치. 에그 베너딕트로얄 등 괜찮았고 커피도 좋았어요. 다만 오픈시간에 가서 그런지 내부가 많이 추웠어요. ㅠ서빙하시는분 좀 딱딱해서... 커피 리필은 못물어 봤네요..ㅠ 그게 좀 아쉬워요.",2년 전,5
22,류해리,브런치먹으러왓다가 배터짐 짱맛,7달 전,5
23,카로파인,별생각없이 방문했는데 생각보다 음식이 무척 맛있어서 깜짝 놀람.(특히 치킨파니니였나 엄청 괜찮았음) 단체석도 있고 어린이 식기도 준비되어있다. 친절하심.,3년 전,5
24,장현옥,점원 분들도 친절하고 음식도 깔끔하니 맛있었습니다.,1년 전,5
25,온퍼플,"먹고 배는 부른데 음식양이 적어보임. 여자들 많이 감. 말린 꽃, 약간 쉐비한 인테리어. 브런치를 오랫동안 했어서 계속하고 있어서 고마운 곳?!",2년 전,3
26,Soyoung Kim,에그 베네딕트 가격에 비해선 퀄리티 별로였어요. 위치나 인테리어나 다른 건 그럭저럭 괜찮습니다.,1년 전,3
27,김지연,친절하고 써비스 좋아요 . 조각케이크 서비스도 주시고   참고로  주차 발렛비는  비싼편 ㅜㅜ,1년 전,4
28,홍순자,조식건강식^^강추,1년 전,4
29,Yera Hwang,가격에 비해 맛이 그냥그래요,1년 전,3
30,ВЛАДИМИР ЕНГ-ДЖУН ЧЕ,"가격대가 좀 비싸지만 맛이나 분위기가 나쁘지는 않았다.
하지만 점심시간은 매우 소란하다...",2년 전,4
31,Bokyung Park,오믈렛과 팬케이크 맛있었구 음료들도 좋았어요. 근데 항상 너무 시끄럽고 좁은장소에 사람이 많아 부산스러워요,2년 전,4
32,윤천일,분위기 좋은 까페,11달 전,4
33,데이브,이쁘고 잘생긴 직원분들이 맞이해주십니다.. 하하,3년 전,5
34,Soonja Hong,분위기있는 브런치집,1년 전,4
35,신혜정,오믈렛이 계란찜 같은 곳~음료는 너무 달아서ㅜㅜ건강에 좋은건지,1년 전,4
36,Jaewoo Seol,무난무난,7달 전,3
37,변진,"갈수록 적어지는양ㅜㅜ
조금씩 아쉬워지는곳",2년 전,3
38,정승욱,브런치가 굉장히맛있음,11달 전,4
39,Rosa Lee,괜찮아요!,1년 전,4
40,정우진,그저그랬어요~,1년 전,3
41,Sanmun Kim,비싸요,1년 전,3
42,김윤희,커피가  맛있습니다,1년 전,5
43,박경옥,좋아요,2년 전,5
44,이동기,굳이 방문할 필요가...?,1년 전,2
45,모찌크리,그냥 좋아요,2년 전,4
46,minzhen lee,맛있어요,1년 전,4
47,andy Nam,기분좋은 곳,3년 전,4
48,Billionaire억만장자,주말 브런치 샐러드 먹는곳,3년 전,5
49,"Charles, HYUN CHUL KIM",커피 좋네요,2년 전,4
50,Good Luck,입소문 대비 음식 맛은 so so~,4년 전,3
51,제이,적당히 괜찮았어요 !,1년 전,4
52,Han-Gil Jeong,맛남. 배터짐.,2년 전,4
53,일상소소한,후회는 안하실정도,2년 전,3
54,Giwoong Jung,케잌거ㆍ 커피 둘 다 수준급,2년 전,4
55,한빰,창렬,3년 전,2
56,쭈니아빠TV,에이블(서울카페투어),3년 전,5
57,행복한 100억현금 부자,브런치 최고!,3년 전,5
58,Julia Wald,"(Google 번역 제공) 이곳을 좋아했습니다. 화려하고 소박한 분위기. 놀라운 메뉴. 친구와 나는 서로의 음식을 먹었고 모든 것이 훌륭했습니다. 그런 다음 옥상에서 귀여운 사진을 찍었습니다!

(원문)
Loved this place. Gorgeous rustic atmosphere. Amazing menu. My friends and I tried each other’s food and everything was great. Then we took cute pictures on the rooftop!",11달 전,5
59,Bailu Lu,"(Google 번역 제공) 멋진 식사 분위기와 함께 정말 아름답게 장식 된 카페. 음식은 평균입니다. 우리는 프렌치 로스트를 주문했고 정말 맛있지 만 토스트가 약간 눅눅한 신선한 과일이 많이 함께 제공되었습니다. 빵이 이미 달아서 시럽이 거의 필요 없습니다. 머핀은 우리가 상상했던 것과는 다른 영국식 아침 식사 (크럼 펫)도 주문했습니다. 달콤한 머핀입니다. 계란이 너무 많았지 만 맛 있었어요. 구운 콩은 식초에 담근 콩으로 매우 시큼하고별로 좋지 않습니다. 소시지가 없었습니다. 대체로 영국식 아침 식사는 전혀 아닙니다.

(원문)
Really beautifully decorated cafe with nice dining ambience. Food is average. We ordered French roasts and it came with a lot of fresh fruits which are really tasty but the toast a bit soggy. There’s almost no need for the syrup because the bread is already sweet. We also ordered English breakfast the muffin isn’t what we imagined (crumpet). It is a sweet muffin. There were way too much egg (but they were delicious). The baked beans are just beans soaked in vinegar which is very sour and not very nice. There were no sausages. All in all it’s not a very English breakfast at all.",2년 전,3
60,구르미네 산책,"(Google 번역 제공) 나는 여기 프렌치 토스트를 좋아합니다.
가로수 거리에서 브런치를 즐기기 좋은 곳

(원문)
I love French toast here.
Best place for brunch in Garosu street",4달 전,5
61,Dario Donaldson,"(Google 번역 제공) 나는 음식을 여기에서 좋아한다. 나는 아직 나쁜 식사를하지 않았습니다. 바쁠 수 있지만 아침 식사를 할 가치가 있습니다. 나는 그들의 계란을 지옥에 가지고 있었는데 정말 좋았습니다. 그것은 shakshuka이고 빵은 갓 만들어졌다. 슈퍼 맛있는

(원문)
I love the food here. I haven't had a bad meal here yet. It can be busy but it is worth to come for breakfast. I had their Eggs in Hell which was really good. It is shakshuka and the bread was freshly made. Super yummy",3년 전,5
62,Hennah,"(Google 번역 제공) 브런치를 다양하게 판매합니다! 나는 또한 분위기를 좋아한다. 나는 일찍 갔다
아침에 많은 사람들이있었습니다. 그리고 주차 오줌은 매우 비쌌습니다. 2 시간 동안 11,000 원을 지불했습니다!

(원문)
They sells various of brunch!  I also like atmosphere here. I went early
morning but there were so many people. And then parking pee was very expensive. I paid 11,000 won for two hours!",3년 전,5
63,Claire Chu,"(Google 번역 제공) Garosugil의 작은 별 나고 재미있는 카페. 지옥 달걀 요리 (그것은 매운 킥을 가졌습니다.)를 권장합니다. 너무 맛있어!

(원문)
Nice little quaint cafe in Garosugil. Highly recommend the Eggs in Hell dish (it has a spicy kick to it). So delicious!",2년 전,5
64,Eunji Linda Lee,"(Google 번역 제공) 멋진 분위기이지만 breakkie는 그다지 많지 않았습니다 ...
두 사람이 간다면 메인 요리 3 개를 주문할 수 있다고 생각합니다.

그러나 평일 점심을 먹으면 아메리카노는 무료입니다.

(원문)
Nice atmosphere but breakkie was not that much.... as in amount
I think if two men goes, they might order 3 main dishes.

However, americano is free when have any lunch in weekdays.",1년 전,4
65,S.T.A Robinson,"(Google 번역 제공) 훌륭한 서빙 규모와 친절한 직원. 나는 프렌치 토스트를 강력히 추천한다. 그것은 신성했다.

(원문)
Great serving size and very kind staff. I highly recommend the French toast, it was divine.",1년 전,5
66,Chloe Vivier,"(Google 번역 제공) 아주 좋은 곳, 현대적인 빈티지 장식, 자연, 밝은 ... 요리는 좋고 맛있는 과일 주스입니다. 가격에 따라 수량과 품질에 대한 매우 높다.

(원문)
Lieu très sympa, déco vintage moderne, nature, lumineuse... Les plats sont bons et les jus de fruits délicieux. Par contre les prix sont assez élevés pour la quantité et qualité.",1년 전,3
67,herewithkimmy,"(Google 번역 제공) 메뉴에 다양한 옵션이있는 좋은 크기의 카페. 한국 카페에서 정말 감사했습니다. 음식은 좋았고 그 부분도 많았지 만 상당히 단순 해 보이는 비싼 음식 때문에 경험이 덜 만족 스러웠습니다 (음식이있는 지역에서는 드문 일이 아닙니다). 직원들은 정중했습니다. 내가 그 지역에 살면, 나는 몇 번이고 돌아올 것이다.

(원문)
Good sized cafe with quite a variety of options on the menu, which I really appreciated from a Korean cafe. Food was good and so was the portion, but due to overpriced dishes for what looked fairly simple, the experience was less satisfying (not uncommon for the area it is located in). Staff were polite. If I lived in the area, I would return every now and again.",1년 전,4
68,주혜진,"(Google 번역 제공) 다른 브런치 카페보다 특별한 것은 없습니다. 계란 베네딕트 메뉴의 튀긴 감자는 건조하고 단단하고 차갑습니다. 오래전에 튀긴 것 같아요.

(원문)
Nothing special than other brunch cafes. Fried potato in egg benedict menu was dried and hard, cold. I think it was fried long times ago.",2년 전,2
69,Zakariya A,"(Google 번역 제공) 일요일에 테이블을 30 분 동안 기다려야했지만, 그 지역이 걸어 다니기에 좋은 곳이 아니 었습니다. 브리와 크랜베리 ​​플랫 브레드는 과소 평가되었지만 여전히 맛있습니다. frittata는 좋았다. 근대의 뿌리 열매가 있었고 그것은 훌륭했습니다! 커피는 2 인용으로 아주 좋습니다.

(원문)
Had to wait 30 minutes for a table on a Sunday, didn't bother me much as the area is good to walk around. The brie and cranberry flatbread was underseasoned but still good. The frittata was good. Had the beetroot passion fruit and it was amazing! The coffee is quite large so good for 2 people.",3년 전,4
70,Aamena M,"(Google 번역 제공) 농장에서 테이블 레스토랑까지, 서울에 가본 최고의 브런치 장소 중 하나! 테이블이 빨리 가득 차면 일찍 도착하여 요리를 판매하는 경향이 있습니다. 분위기도 좋고 앞으로 또 다른 브런치를 위해 다시 돌아올 것입니다! ♡

(원문)
A farm to table restaurant and one of the best brunch places I've been to in Seoul! Get there early as tables fill up quickly and they tend to sell out of dishes. The atmosphere is great too and will definitely be going back here for another brunch soon!♡",3년 전,5
71,Mohammed F,"(Google 번역 제공) 음식이 마음에 들지 않았고 식당은 깨끗하지 않았고 서비스는 좋지 않았습니다.

(원문)
Didn't like the food, restaurant was not clean and service was bad",10달 전,1
72,Paul H.,"(Google 번역 제공) 괜찮아

(원문)
Okay",2년 전,3
73,Lina Ngo,"(Google 번역 제공) 나오기까지 너무 오래 걸렸고, 음식은 너무 비싸서

(원문)
Took way too long to come out, food was whatever only because it was way too expensive for what it was",2년 전,2
74,Me Me,"(Google 번역 제공) OMG ... 너무 크게 내 귀가 울리고 있습니다. 음식은 가장 적은 것을 말하기 쉽습니다. 영국식 아침 식사는 실제로 2 개의 마른 발진 베이컨, 코스트코 소시지 및 18 개의 구운 콩으로 뒤섞인 계란입니다 ...

(원문)
OMG...so loud my ears are still ringing. Food is bland to say the least. English breakfast is actually scrambled eggs with 2 dry rashes of bacon, a Costco sausage & 18 baked beans...",2년 전,1
75,Leo Oh,"(Google 번역 제공) 당신의 차를 주차하기 쉽습니다. 주차 대행 서비스를 제공합니다. 그들은 메뉴의 모든 것이 유기농이라고 주장합니다. 그것이 비싼 이유일지도 모릅니다. 나는 프렌치 토스트, 달걀 베네딕틴, 커피, 신선한 주스를 주문했고 5 만원에 육박했다.
직원이 유니폼을 입지 않았기 때문에 누가 일하고 있으며 누가 고객인지 알기가 어려웠습니다. 전체적인 맛은 좋았습니다.

(원문)
Easy to park your car. They have valet parking service. They claim to that everything on the menu is organic. May that's why they are bit expensive. I ordered french toast, egg benedictine, coffe, fresh juice and cost me near 50,000 won.
Since employees don't wear uniform, it was difficult to tell who's working and who's customer. Overall taste was good.",3년 전,4
