,ID,내용,날짜,별점
0,황지연,강남도심속에 이렇개 을창한 숲같은 분위기의 카페가 존재한다는게 놀라운데 규모도 스타일도 정말 놀랍다..ㅡ 같은 커피를 마심다면 이곳을 찾아와서 초럭이들도보고 광합성도할수 있는 좋은 공간이라고 생갇하며 수터티하는 사람들은 더더욱좋을것이 우드테이블이 멋지게 자리잡고있고 인테리어가 획트여서 좋은공간 커피맛도 깔끔하고 좋은곳~~~,5일 전,4
1,Khai J,"쉰다는 점에선 여기만한데도 드물지만 역시 사람이 많을 땐 정말 많아서 살짝 번잡함.
그래도 그 외엔 다 좋은 편.",3일 전,5
2,유하영,"공간이 넓은게 최고의 장점. 강남에서 사람 만날때 자리걱정할 필요없는  최고의 카페.
다만, 커피 메뉴는 어떤지 모르겠는데 티메뉴는 선택지가 극히 적고 가격도 너무 비쌈. 시켰던 민트티는 티백 티가 아닌 액상으로 바로 타주는 맛..
베이커리류는 그나마 저렴한편. 맛도 무난해요.",3달 전,3
3,카르페디엠,"가격도 적당하고 분위기도 괜찮고
티라미슈 부드럽고 맛있었다.
실내 자리랑 실외 자리가 있다.",3주 전,4
4,취업할수있겠지,"가을에 단풍이 입구부터 반겨주는 감성 터지며 인생샷 남기기 좋으나 주말 및 사람몰리는 시간에는 자리잡기도 힘듭니다.
지하 / 일층 / 이층 / 테라스 등 자유롭게 즐길수있습니다. 데이트 코스로는 안성맞춤이나 소개팅 장소로는 별루이겠습니다.",6달 전,5
5,허효원,크고 자리많고 실내외 뚫려잇어좋다. 그치만 완전내부좌석인테리어는 정신없고 다닥다닥이라 막좋은 느낌은아녔지만 편함,2주 전,5
6,김희영,"음료가 맛난건 모르겠지만, 분위기가 다한 카페. 강남역 인근에서 가장 넓고 분위기 굿.
그비싼 땅에 나무를 심는 사장님에게 박수를.
여친 대꾸기면 칭찬 받을듯",2주 전,4
7,dongzzi (xoxxjin),자리넓음. 하지만 사람도 많음. 빵 맛있는데 비싼편,2일 전,5
8,하수빈,아메리카노 먹었음. 너무 진하지 않고 깔끔하고 맛있었다.,2일 전,4
9,rian cho,"넓고 테이블 간격 넓어서 무엇보다 좋았음. 근데 일회용 컵에 줘서...뭔가 갬성이 없다 해야하나ㅎㅎ
쿠키나 빵은 맛나요^^",1달 전,5
10,Adam Kim,"2021년 3월 16일 화요일 오후 2시쯤에 방문했습니다!! 뜨아, 아아 하나씩 시켰고요, 커피는 맛있었습니다. 포스에서 주문 받던 여자분이 안 좋은 일이 있었었는지 굉장히 불친절해서 유쾌하지 않았습니다. 차가운 메뉴 뭐가 있냐? 뜨거운 아메리카노 머그에 달라, 커피 스틱 어디에 있냐 이렇게 질문 했는데, 그 분의 의도가 어떻던 굉장히 불친절 하게 느껴졌습니다. 미소는 뭐 바라지도 않고 최소한 질문한건 성실히 대답해 줘야죠?? 갑질하는 것도 아니고 무리한 요구 한 것도 아닙니다. 강남에 커피숍 갈 때 널렸는데 저런 서비스 받고 재방문 하고 싶진 않네요:-) 직원 교육 필요해 보입니다.",2달 전,1
11,최연희,좌석이 넓고 단호박파운드케이크 맛잇어용,3주 전,5
12,원필름,겅남에서 시원한 숲을 느낄수 있는 커피숍. 넓다. 그리고 사람도 많다.,9달 전,4
13,Khan Kim,"티라미슈가 너무나 맛있고, 인테리어가 화려한  까페 알베르.
핫한 까페인만큼 선남선녀들도 많이 방문하고 높디높은 천정까지 시원한 감을 주는, 강추하는 까페입니다.",2년 전,5
14,2johnsma,불친절. 서비스는 절대 기대하지 말고 넓은 공간외 별다른건 없습니다. 근처에 볼일 있어도 여기는 다시 오고 싶지 않네요.,2달 전,1
15,이은혜,녹음이 푸르른 카페 안에서 맛있는 커피 마셔서 넘 좋았어요. 천장이 높아서 답답하지도 않고 자리도 진짜 많고! 단체 스터디하기 좋겠더라구요. 재방문의사 100%에요!,2년 전,5
16,Jungjun Kim,"강남역과 신논현역 사이에 있는 면적이 매우 큰 카페. 블루베리 스콘이 맛있고, 평일에는 그나마 자리 맡기가 수월하고 주말에는 사람 엄청 붐빕니다. 가격대는 비싼편이라 자주 가기는 힘드네요.",2년 전,4
17,SUNG HO HAN,"강남에서 꽤 규모 큰 카페. 사람도 많고, 치즈케잌도 맛있고^^",3달 전,4
