,ID,내용,날짜,별점
0,y choi,"겉보기엔 멀쩡해 보이지만 지하 계단 내려가서 들어서는 순간 나갈까 고민이 된카페..
대충보면 감성카페인데 자세히 보면 여기저기 먼지가 쌓여있당.. 지하라 환기도 못할테고 실속없는 갬성카페 느낌",2달 전,2
1,정현호,"지하에 있는 아늑한 카페에요😀
쿠키랑 스콘도 함께 팔고 있고 분위기도 어둑해서 좋아요",2달 전,5
2,붕어빵소년(붕어빵소년),"강남역 뒷쪽 번화가에서 좀 떨어져 있다. 위치가 좀 애매한 편이라 지나가는 길에 들린다기보다 목적을 가지고 방문해야 하는 위치에 있다. 또 지하에 위치해 있다.

다른 지점과 비슷하게 카페 크기가 큰편은 아니다. 조명이 적어 실내가 좀 어두운 느낌이 들었지만, 내부 인테리어는 잘해 놨다. 시그니처 음료인 더치페퍼랑 딸기쨈 쿠키를 먹어봤다.

커피는 맛있었다. 쿠키도 맛있었다. 다만 둘다 모두 내 입맛에는 너무 달았다. 그리고 좌석 사이에 거리가 너무 가까워 휴식을 취하려고 방문하기도, 대화를 하려고 방문하기도 애매한 느낌이 들었다. 위치도 좀 그래서 재방문 하라면 글쎄..",9달 전,2
3,뇌절,"분위기 좋은, 아지트같은 카페. 커피랑 쿠키 맛은 무난했음.",2달 전,4
4,제이더블유,"조금 찾기 어려우실 수 있지만 그래서 더 조용하고 아늑하네요. 늘 사람이 많아서 계단 입구까지만 갔다가 돌아왔는데... 시간이 많이 지난터여서 그런지 이번에는 자리도 여러개 있고 무사히 안착했습니다!

메뉴가 많진 않으나 적지도 않아요. 독특(?)하다고 생각할 메뉴가 몇개 있고, 헤이즐넛라떼 조아하는데 코코넛이 있길래 더 희소성 있는 이걸로 결정했어요.

더치페퍼? 그리고 코코넛라떼 따뜻하게 마셨습니다 :) 직원분도 친절하시고 갈팡질팡 고민하던 베이컨 초코 쿠키도 먹었는데~ 살짝 단짠의 조화! 그러나 완전 베이컨향이 나진 않아서 더 좋더라고요. 따뜻하게 데워주시니 잘라먹을때 초콜렛이 살짝 녹아서 손에 묻는 정도인데.... 너무 맛있어요 ㅎㅎ

추천합니다, 자리만 있다면 다음에 또가서 똑같이 먹고싶어요!",2년 전,4
5,Saejun Ahn,"그동안 이름은 꽤 많이 들었던 것 같은데, 이제서야 매장을 처음으로 방문. 강남역 카페거리 근처에 위치한 겟썸커피 Downstairs. 매장이 지하에 위치하는데 이 때문에 상호 뒤에 Downstairs가 붙은 듯.

12시쯤 도착했다. 주말임에도 조금 이른 시간에 방문한 탓인지, 매장은 아직 한산했다. 하지만 테이블에 앉아서 커피를 10분 정도 마셨을까, 곧 손님들이 밀려와 만석이 되었다.

굉장히 따뜻하고 아늑한 느낌의 카페 인테리어. 카페 내부가 원목 소품들로 꾸며져 있어서 마치 숲속 원두막에 놀러 온 기분이 든다.

강남역에 위치한 점을 고려하면 가격이 꽤나 저렴한 편. 우리는 아이스 아메리카노(3,300원)과 시그니처 메뉴 중 하나인 더치 페퍼(4,500원)을 주문했다.

디저트로는 쿠키 메뉴가 준비되어 있다. 실제로 매장 내부에 은은한 쿠키향이 퍼진다. 계산대 옆 찬장 내부에 디스플레이 되어 있다. 베이컨 초콜릿 칩 쿠키와 피넛버터 2종류의 쿠키가 준비되어 있다. 조식을 많이 먹고 온 터라 피넛버터 쿠키 하나만 주문했지만, 베이컨 초콜릿 칩 도 다음에 꼭 맛보리라. 베이컨이 초콜릿 칩 쿠키와 어떻게 조화를 이룰지 너무 궁금.

커피와 쿠키는 직원분이 자리로 직접 가져다준다. 주문한 쿠키는 따뜻하게 데워주는데, 조식을 먹고 배부른 상태임에도 연신 손이 갔었다. 그냥 베이컨 초콜릿 칩 쿠키도 주문할걸. 왜 시그니처 메뉴의 이름이 더치 페퍼 인가했더니, 테이블로 서빙해주신 뒤 커피원두가 들어있는 후추통으로 원두를 갈아서 직접 위에다가 뿌려주신다. 기본적으론 아인슈페너인데 쌉쌀한 원두 맛이 느껴진다. 아이스 아메리카노의 경우 적당한 산미가 느껴졌던 것으로 기억.

강남역에 카페가 많지만 은근히 갈 때가 별로 없는데, 겟썸커피는 훌륭한 발견이었다. 가격적인 면과 맛 그리고 분위기까지 모두 마음에 들었다. 앞으로 이 근방에선 한동안 일 순위로 방문할 듯하다.",1년 전,4
6,권현의,"생각보다 분위기 있어서 좋았어요~!
맛도 그냥저냥 괜찮구요^^ 추천 꾹~~~~꾸~",1달 전,5
7,찐찐,"더티라떼로 가장 유명하고, 강남을 비롯해 서울에 땅값 비싼 곳에만 위치한 커피삼 치고는 가격이 저렴한 편입니다.
가장 큰 단점은 눈크게뜨고 찾지 않으면 찾기 어려운?
하지만 반대로 장점도 찾기가 어려워서 유명함에 비해 사람이 많지 않아서 어느 까페를 가도 사람이 바글거리는 강남 까페에 비해 조용하고 분위기를 즐길 수 있습니다. (테이블이 몇개 없는 탓도 있어요)
지하에 들어서자마자 좋은 커피향이 확~나는데 너무 좋습니다!!!!",1년 전,4
8,오징,크림커피 너무너무맛있네요 지하가 조금답답하긴하지만 커피맛있어서 강추합니다.1시간 지나면 딱 이야기해줍니다.방역지침도 철저히 잘지킵니다.,4달 전,5
9,moon_light kim,쿠키같은거 안좋아하는데 맛있어요. 지하에 있어서 소리가 다소 울리긴 하지만 인테리어 너무 매력적.,2달 전,5
10,송소영,맛있는 커피와 달달한 쿠키 맛집이에요 . 라떼를 무척좋아하지만 아메리카노와 쿠키 조합도.. 굿,7달 전,5
11,Dean Ledger,"분위기 좋고
커피 존맛...",1주 전,5
12,열무농사꾼,"나의 방앗간. 강남이지만 합리적인 가격과 퀄리티
멋진분위기. 바나나쿠키가 아주 맛있다.",7달 전,4
13,Doha Doyoon,"생각보다는 찾기 쉬웠음.
더티카푸치노3800
3천원대 커피를 먹어본지가 언제인지..
양이 조금 적은가?
식후 입가심 정도로는 괜찮은 양.
한잔 놓고 수다하기에는 적은 양.
내부는 어둡고 시끄러워서 그닥.",7달 전,4
14,Yingshu _Pick,"좁지만 음료랑 쿠키 맛있어요, 디저트맛집으로 유명한 #강남핫플",9달 전,4
15,박지현,"커피는 산미가 없어서 좋아하는 맛이었고 분위기가 좋았어요👏
근데 생각보다 많이 좁고 테이블 구성이 조금 이상..? 작은 곳인데 큰 테이블에 2개 정도가 있던데 굳이..?싶었어요🤔
초코칩쿠키를 먹었는데 맛은 있었는데 바삭하지 않고 찐덕하게 늘어나는 쿠키에요🍪",1년 전,3
16,ES LEE,더치페퍼 완전 맛있어요! 쿠키도 맛있고 아메리카노도 3천원인데 완전 맛있는 곳! 매장좀 넓었으면ㅋㅋㅋ,1년 전,5
17,Mj,겟썸커피는 워낙 유명하죠! 가로수길에도 한 번 가 봤거 강남역에도 있다길래 방문해 봤습니다. 강남역 겟썸커피는 지하에 위치해 있어요. 매장이 좁은 편은 아닌데 사람이 거의 꽉 차 있았습니다. 문쪽 자리에 앉았는데 좀 추웠어요. 그 점 때문에 1점 깎았습니다ㅜㅠ 음료는 가격이 우선 매우 착합니다. 인스타용 카페들이 아메리카노 한잔에 5-6000원씩 받는거에 비하면 거의 반값 수준...맛은 오히려 더 낫습니다. 디저트로 먹을 게 쿠키 두 종류밖에 없어서 좀 아쉬웠습니다(별점 깎은 두 번째 이유) 그치만 쿠키도 가격이 합리적이고 맛이 있습니다. 둘이 합쳐 만원 밖에 안 나온 카페는 정말 오랜만이었네요. 다른 지점에도 생기는 거 같은데 방문해 볼 예정입니다,1년 전,4
18,투나튜나,분위기 좋은 곳. 미국 뉴스 틀어주는 것인지 뉴스가 계속 나와요.,2년 전,4
