,ID,내용,날짜,별점
0,이정화,에프터눈티 세트와 아기자기한 실내가 돋보이는집인데 저는 T2와 콜라보팝업으로 와서 본래 어떤지는 모르겠네요 하지만 참 이쁘죠?,5일 전,4
1,Guuumi N,"에프터눈티셋 JMT! 다양한 디저트 종류와 티를 맛봐서 좋았어염~ 분위기도 좋고, 맛도 좋고 서비스도 쵝오♡
만나는 사람마다 데려가고 싶은 곳입니당",1달 전,5
2,우버지와 독염이,"분위기가 굉장히 사랼라한 느낌일 것이라고 예상했었는데, 예상과는 좀 다르게 낡은 샤랄라한 느낌이었습니다. 애프터눈 티 세트를 먹었는데 1층은 전부 매우 맛있었고, 2층은 그저 그랬습니다. 음식의 양과 조화가 적당해서 좋았습니다. 트리아농 스페셜 티를 선택했는데, 이 홍차가 음식과 굉장히 잘 어울렸고 맛있었습니다. 재방문 의사 있습니다!",3달 전,5
3,정진우,생각보다 크진 않아요. 1층만 사용합니다. 가는데 경사가 있어요. 빵은 맛있어요,1달 전,4
4,Alma,"디저트 맛있네요. 프랑스에서 지내던 시절이 생각나는 샹숑도 좋고.
프랑스 남부 시골집에서 맡던 냄새도 나는데 아마 가구에서 나는 냄새겠지. ㅎㅎ",4달 전,5
5,kaii,향과 맛이 좋은 차와 티푸드 ~♡,5일 전,4
6,noodle__2,"디저트 중에서 샌드위치가 가장 맛있었습니다.
그래서 다음에 갈 일이 생긴다면 커피와 샌드위치를 먹을 꺼예요. 웨딩임페리얼은 린스를 입에 머금은 느낌이라 애프터눈티세트에는 얼그레이나 커피를 추천드리고싶어요 :) 눈으로 보는 즐거움은 있으나 맛으로는 너무 기대하지않으시길 !",2년 전,3
7,박순,"예쁜 카페! 영국식 차와 가벼운 케이크, 샌드위치를 맛볼수 있는곳!
가격은 좀 있지만, 고급 도자기와 맛 좋은 차를 만나려면 맘 먹고 지갑을 열어도 좋다.",1년 전,4
8,백진영,"애프터눈티를 맛볼 수 있는 도심작은 카페.
예약필수. 여자들 좋아할 듯한 분위기.
티와 커피는 생각보다 좋았음.
티가 먼저나와 당황스러움.ㅠ
디저트 내용과 맛은 쏘쏘.",7달 전,3
9,Seung-hyun Hah,애프터눈 티 세트가 굉장히 이쁩니다. 각 제과류가 엄청 달달하고 배도 부릅니다. 가격이 좀 쎄긴 한데 뭐 어쩌겠어요 인스타 감성비용이죠. 특별한 날을 기념하고 싶은데 약속시간은 이른 오후나 늦은 오전이다 그럼 카페 트리아농입니다. 방문 당일에 직원 분께서 설명이 조금은 무서웠는데 설명 할 내용이 많아서 힘들었나보다라고 생각하기로 했습니다.,7달 전,4
10,홍추민,"하트시그널에 나온 아름다운 카페

1. 제목그대로 하트시그널에 나와서 가본 청담 주택가 근처에 뜬금없이 있는 카페입니다. 청담역에서 나오시면 충분히 찾아갈만 합니다. 근데 매우 무더운 여름에 가서 땀범벅된건 비밀. ㅠㅠ

2. 일단 하루에 몇개만 예약을 받는다는 브런치 세트를 시켰습니다. 저는 잘은 모르는데 삼단이랑 일단이랑 뭐 그렇게 시킬 수 있다고 하더라구여. 근데 삼단 시켜서 먹는데 우와 미치게 맛있다 이런느낌은 없구요. 그냥 샌드위치 맛, 그냥 요거트 맛입니다. 그리고 커피도 특색이 딱히 있는 건 아니구요. 홍차도 제가 잘 멀라서 그런지 그냥 저냥이에요.

3. 예약을 해야 저 브런치세트를 먹을 수있습니다. 꼭 예약하고 가세요. 그리고 예약하시면 테이블당 2시간인가 타임제한이 있더라구요. 이것도 꼭 알고 가세요. 그리고 맛은 제쳐두고 카페는 참 아름다워요. 여자친구데리고 가면 사랑 받습니다. 기억하세요",2년 전,2
11,SUJI KIM,"핱시2의 그 집 ㅋㅋ
예약땐 좀 불친절했는데..
빈티지한 느낌 좋아하면 추천",2달 전,4
12,하야부사Delivery,"배달원 관점 리뷰

매장의 인테리어가 참 이쁘다. 근데 오토바이 주차하기 참 불편한곳 ㅡㅡ!!",4달 전,4
