,이름,아이디,리뷰,날짜,별점
0,알베르,조이,"엄청난 규모를 자랑하는, 강남역 대표 커피숍. 지하부터 윗층까지 상당히 넓은 공간을 소유하고 있으면서도 개방된 구조라서 시끌벅적하고 요란한 분위기입니다. 주로 눈치보지 않고 시끄럽게 떠들 수 있는 과제를 하거나 수다 목적으로 찾는 사람들이 많은 것 같네요.

커피가 너무 아쉬웠습니다. 가격대비 양부터 형편없었던 것부터 원두가 탄 향과 탄 맛이 느껴져서 좀 별로였어요. 사진은 커피 한 모금 마시지 않은 상태에서 찍은 아메리카노 사진입니다. 마시다 만 것 같은 용량이 좋아보이지는 않네요. 브라우니는 쫀득하고 살짝 텁텁하기도 한데 커피랑 같이 먹기에는 좋았습니다.

카페 규모에 비해 화장실은 조금 좁은 편이네요. 깨끗하고 쾌적한 편입니다. 카페 앞 흡연 구역이 형성되어 있어 비흡연자에게는 불편할 것 같습니다.",2019년 7월 16일,3
1,알베르,victor,티라미슈와 아메리카노 맛있어요- 근데 케셔 남자분 굳이 그렇게 인상 쓰시고 한숨 쉬시면서 주문 받으셔야 되는지 모르겠네요- 비쥬얼이나 나이대나 사장님인지 가게 메니저인지 모르겠는데 기분나빠서 그냥 나올뻔 했어요-,2017년 10월 22일,4
2,알베르,Kim Seb,"지하에 큰 좌석, 1, 2층에도 좌석.. 정말 대박.. 강남역에서 어떻게 유지할까...? 여튼 가을에 와서 야외에 앉으면 더더욱 좋을 카페!",2017년 8월 5일,4
3,알베르,KH,지하에 매우 넓고 높은 공간으로 되어있어서 좋습니다~ 커피맛이나 좋았고 특히 티라미수가 맛있네요,2017년 8월 16일,4
4,알베르,짠짠짜니,"커피 맛있어요
아메리카노 가격은 좀 나가는데 다른 음료는 타카페와 비슷
엄청 넓음",6일 전,4
5,알베르,가을,"지하 1,2,3층 으로 가계가 넓고 베이커리와 음료를 판매 빵이 달지 않아서 좋아요",2월 7일,5
6,알베르,호로롭,"넓고 층고가 높은 시원시원한 공간
마당에 나무가 심어져 있는것도 정말 예쁘고 기분이 좋아져요
커피가 엄청 특출나지는 않지만 기본은 하는 느낌이에요. 카페라떼도 묽지 않구.
무엇보다 공간이 참 좋아서 또 오고싶어요.",2019년 9월 29일,4
7,알베르,호호잇잇,직원이 불친절 . 지하도있고 2층도있음 3층은 기억이잘안남 있는지잘모르겠음,2017년 12월 28일,3
8,알베르,Jeff,한가하고 조용하고 넓고 자연친화적이고. 주말에는 좀 붐빌 것 같습니다만. 강남역 근처에 이런 공간이 있다니. 무조건 추천. 아메리카노 5500원,2016년 10월 18일,5
9,알베르,green,카페가 넓어서 좋고 디저트도 달지 않아 좋아요. 다음에 또 오고 싶어요.,2월 7일,5
10,알베르,화양연가,와이파이가 지하에서만 된다는 점이 조금 아쉽네요 커피맛은 그저그렇습니다 커플들이 많아요 + 지하에는 컨센트도 없습니다 노트북 작업하실 분들에겐 비추합니다,2019년 8월 4일,3
11,알베르,왕뽀요,"햇빛 따뜻한 날 야외 테라스 앉을 수 있어서 너무 좋았아요!
맛은 평균이고 인테리어는 괜찮네욥!!",3월 31일,4
12,알베르,matziplist,공간 넓은 점 빼고는 장점이 없다. 강남에서 이런 공간 찾기 힘들긴 할듯,5월 1일,2
13,알베르,곽태현,"티라미수가 맛있음. 심플하고 과하지 않아 좋았다.

아메리카노는 쏘쏘..

직원이 바뀐 것 같은데 친절하고 괜찮았습니다.

공간이 굉장히 넓은데 사람으로 꽉 차 꽤 소음이 있는 장소입니다.",2019년 7월 22일,3
14,알베르,threeblock,한 건물 전체가 매장인데 관리가 안 돼서 앉아있는동안 좀 불쾌했네요. 음료 맛도 엄청난 것도 아니고 매장이 크다고 자리가 편한 것도 아니고요. 구경거리가 많은 것도 아닙니다.,2020년 10월 18일,3
15,알베르,ghkd2,티라미수가 달지 않고 담백하게 맛이 거ㅐㄴ찮습니다. 스콘도 따뜻하게 나와 맛있네요,2018년 12월 9일,4
16,알베르,o_ov,가게 굉장히 넓음 분위기도 좋고 베이커리가 맛이가좋음. 티라미수 넘나맛남 ㅠㅜ 커피는 보통임,2020년 1월 17일,3
17,알베르,jy0,"일단 인테리어부터가 제 맘에 쏙 들어서 꼭한번 가봐야겠다 생각했는데 오늘 드디어 첫방문했네요 ㅎㅎ
매장이 넓어서 자리도 엄청 많고 그만큼 사람이 많아서 좀 시끌벅적하더라구요 개인적으로 조용한곳 좋아해서 구석에 앉았어요
직원분들이 되게 화기애애하시구 친절하셨어요
가격대는 일반 프렌차이즈 카페보다는 조금비싼편 ㅠㅠ 그래도 티라미슈는 정말 맛있었어요! 쿠키?토핑이랑 엄~~청 부드러운 티라미슈가 찰떡궁합이었어요 ㅋㅋ
다음에 다른 케이크도 먹으러 방문할듯",2020년 3월 5일,4
18,알베르,빵숭잉,티라미수 맛있었는데 기대를 너무 많이 한 탓인지 보통 맛있는 티라미수 맛입니다~~ 그래도 테라스에서 보이는 뷰가 이뻤어요. 추천합니다!!,2020년 7월 7일,4
19,알베르,기므므믛,밖에서 본것보다 규모가 훨씬 크네요. 2층과 지하가 있어서 자리가 부족할 일은 거의 없을거같아요. 분위기가 너무 맘에들었고 창가 자리가 특히 이쁘네요,2017년 6월 29일,3
20,알베르,망고,"커피도 에이드도 다 정말 맛이 너무 없고 비싸요...
프랜차이즈 가기 싫어서 갔는데 굳이 안 갈 것 같아요!",2019년 10월 2일,1
21,알베르,erica,"가격은 라떼기준 6천원으로 비싸지만 커피는 맛있는 편
개인적으로는 아이스로 먹는 것을 추천함
내부는 넓고 모임용으로도 사용가능",2019년 6월 21일,4
22,알베르,가즈아,엄청 넓고 푹신한 의자들이 군데군데 있어서 좋음. 티라미슈는 맛있음.,2019년 8월 11일,4
23,알베르,호잇호잇,강남역 주변에서 분위기 좋고 좌석 많이 카페 찾는다면 추천이에요 지하에도 좌석이 많은 편,2019년 10월 2일,4
24,알베르,지또지또해,엄청 넓고 자리도 많고 한데 음료나 디저트맛은...말 안하겠습니다,2020년 4월 17일,3
25,알베르,pen,티라미수 진짜 맛있네요 생각나서 계속 가게 되는 곳. 스콘도 좋아요 🙂,2019년 7월 11일,5
26,알베르,돼지런한 청년,아인슈페너가 특히 맛있었어요. 카페 안도 쾌적하고 넓어서 좋았어요.,2019년 8월 3일,4
27,알베르,유단비,일반적이지 않은 독특한 티라미슈 맛이 좋았고 커피와 잘 어울렸다,2019년 5월 22일,5
28,알베르,진주주,커피 맛은 쏘쏘. 가격대가 좀 나가는 편. 밑에 공연장이 있어서 다소 시끄러움,2017년 8월 10일,4
29,알베르,자몽에이드,지하부터 3층까지 있는 아주 넓은 카페라 수다 떨기도 스터디 하기도 좋아요,2018년 5월 7일,4
30,알베르,꼬부기,"케이크 종류가 맛있고, 매장이 엄청 넓다. 딱딱한 의자가 놓인 테이블이 대부분이라 안락한 분위기는 아님. 하지만 테이블 간격이 좀 있는 편이라 닭장 분위기는 안나서 좋음.",2018년 1월 28일,4
31,알베르,냠냠,티라미수 진짜 맛있었습니다 스콘에 찍어먹어도 맛있습니다,2019년 3월 16일,5
