,이름,아이디,리뷰,날짜,별점
0,듀자미,용암동 날다람쥐,서비스는 굉장히 좋았던거 같습니다 2층도 자주 올라오시고 맛은 케이크는 맛있었지만 다른 메뉴는 다소 평범했던거 같습니다,2018년 9월 28일,4
1,듀자미,소풍,가로수길에 있는 디져트맛집. 수요미식회에도 나온것이긴 한데 그닦 특징이 없다. 맛이 밍밍하고 다져트마다 유니크한 맛이 없다,1월 16일,2
2,듀자미,haha,수요미식회에 나온덧 케이크 전체적으로 달달 밤맛 케이크가 젤 맛있어욤 2층 넓어서 좋아요,2월 19일,4
3,듀자미,랭굴,"- 신사역 가로수길 초입에 있어요
- 이층카페인데 이층 올라가면자리가 커요
- 케익값은 7-8천원대입니다
- 케익맛은 엄청나진 않고 괜찮아요",2월 21일,4
4,듀자미,horizon,케이크와 커피 맛은 그저 그랬지만 매장이 크고 채광도 좋아서 부담없이 앉아있기 좋다.,2020년 3월 3일,3
5,듀자미,Olivia Ha,가격은 좀 비싸지만 케이크 맛있어요. 그룹여성분들 많아서 좀 시끌벅적한 편이에요,2020년 2월 21일,3
6,듀자미,진리진,"가로수길가면 무조건 들리는 집
구름동동케이크는 페레로로쉐 맛입니다 참고하세요 저는 극호
가격이 사악하지만 너무 맛있어서 납득가는 집 하지만 늘 붐빔",2020년 6월 2일,4
7,듀자미,쉘비,생각보다 보통이었어요. 제 입맛에는 파리크라상 딸기타르트가 더 맛있는 것 같아요.,2월 6일,3
8,듀자미,보라보라,갈때마다 카라멜케이크는 품절이라 못 먹었어요. 딸기케이크는 맛은 무난한데 가격이 너무 비싸요. 커피 외 음료가 아쉽,2020년 11월 25일,4
9,듀자미,발챙이,좌석이 편안합니다. 케이크도 맛있는데 이번에 처음으로 카라멜 케이크 먹었는데 그냥 그랬어서 별점 뺐습니다 케이크 넘 비싸요...,2019년 8월 26일,3
10,듀자미,뿌꾸뿌꾸,매장에서 음료랑 함께 즐길수도 있고 테이크아웃도 가능해서 기념일 선물하기도 좋아! 디저트류 전부 맛있지만 가격이 조금 부담..,2019년 9월 16일,5
11,듀자미,이푸름,맛은 있지만 밀크티 치고 8500원은 비싼감이 없지않다.,2020년 4월 29일,3
12,듀자미,김닝닝,"딸기 생크림케이크가 정말 부드럽고 맛있었고, 밀푀유 말차도 기대 이상이었다. 2층에도 좌석들이 많아서 오래 이야기하기 편하다. 가격대가 조금 높다.",2020년 6월 17일,4
13,듀자미,소리,가격대비글쎄요.. 수요미에나왓다해서 기대가 컷는지 케잌도 그저그뤃규 커피도 겁나비쌈;;,2019년 12월 30일,3
14,듀자미,파스타귀신,"수요미식회 나왔다고 해서 방문했는데
생각보다 케이크가 너무 다네요.
매장도 시끄럽고, 가격이 좀 비쌈",2019년 10월 1일,3
15,듀자미,단미,케익이 유명한 집이라 케익도 맛있어고 음료도 맛있었어요! 좌석도 넓어서 좋았어요,2020년 11월 12일,3
16,듀자미,차차야,별로 특징적이진않네요 가격대비 맛도 고급지진않고요 그냥 저냥 그리 감탄스런 정도는 아님,1월 18일,3
17,듀자미,sj,케이크 진짜 조그매요 한입거리임...ㅎ 맛은 평타치는데 가격 생각하면 다신 안 감...,2019년 10월 12일,3
18,듀자미,김소연,매장안이 아늑하고 예뻤어요 케이크랑 커피 주스 등 시켜서 먹었는데 평타!,2018년 7월 9일,3
19,듀자미,애나,밥먹고 후식으로 간 곳! 케익이 너무 맛있었고 분위기도 좋았다!,2018년 7월 5일,5
20,듀자미,혀나롱,,2020년 3월 4일,1
21,듀자미,Kim Jichol,"캬라멜 소금케잌
신사동 가면 갈때마다 매일먹을생각이 들정도로 정말 멋진 디져트였음.",2017년 10월 6일,5
22,듀자미,고독한간식가,"케이크 살 일 있을 때마다 가는 집이에요
딸기생크림, 말차산딸기 맛있어요",2018년 2월 17일,4
