,이름,아이디,리뷰,날짜,별점
0,세시셀라 도산공원점,요롱이,"당근케익으로 유명한 세시셀라입니다
생긴지 오래되었다고해요 저는 이제서야 방문했습니다
3시쯤 방문했는데 웨이팅 한팀정도 있었어요
당근케익은 다른곳보다 쫀득 촉촉했어요 거의 구천원정도 저렴한 가격은 아니지만 크기도 크고 두꺼웠습니다 생크림도 추가로 같이주셔요
카푸치노는 거품을 아주 잘 내는것 같아요
커피를 다마실때까지 거품이 그대로 살아서 남더라구요 카푸치노자체가 양이 많은편이 아니라 금방마시는데 무료료 리필이 가능합니다
투샷씩 들어간다고해서 저희는 추가하지는 않았어요
아메리카노는 어디서 많이 먹어본 원두맛인데 쓰지않고 맛있었습니다
당근케익맛집 세시셀라 추천드려요!",2020년 3월 8일,5
1,세시셀라 도산공원점,햇반,도산공원에서 당근케이크하면 생각나는 곳이 바로 세시셀라에요. 오래된 맛집이기도 하고 당근케이크가 보장된 곳이어서 믿고 가는 맛집이에요. 커피는 기본이 2샷으로 들어가서 카페인에 민감하신 경우에는 샷1만 넣어달라고 해야할 것 같아요. 커피는 가격이 조금 있다고 느낄 수 있는데 리필이 된다는 점을 생각하면 부담스럽지 않은 가격인 것 같아요. 당근케이크 빵이 너무 맛있어요. 꾸덕한 빵이 크림과 너무 잘 어울려요. 인테리어는 유럽풍이어서 너무 예뻐요. 앞에 테라스에 앉을 수도 있어서 날씨 좋은 날에 방문하면 너무 좋을 것 같아요. 다만 아쉬운 점은 화장실이 공용이라는 거예요... 제일 아쉽네요. 맛있는 당근케이크 먹고 싶을 때 추천합니다,2020년 3월 8일,5
2,세시셀라 도산공원점,달리는진저맨,"당근케이크의 대명사 세시셀라!

꾸덕한크림과 생당근이 듬뿍 들어간 당근케이크는 8800원이 아깝지 않았어요. 음료 가격은 다소 비싸게 느껴질수 있지만 자리값으로 생각해요

미국에 온것 같은 인테리어와 굉장히 아늑한 분위기의 조명으로 데이트나 조용한 이야기 나누기 좋은 공간이에요

다만 토요일 밤에 오니 이십분정도 웨이팅이 있었어요. 다른 사람들 웨이팅 하는 걸 보니 마냥 앉아서 이야기 나누기 가시방석 이긴 했네요

케익은 수제로 만들어지는 만큼 물량 이슈로 인당 2조각까지 살 수 있는 점 참고 하세요! 휘핑크림은 선택 사항인데 사실 휘핑의 단맛이.. 음 당근 케이크와 그렇게 조화롭지는 않아 저는 추천하지 않아요!",2020년 3월 10일,4
3,세시셀라 도산공원점,zxcv,"당근케이크 비싼만큼 크고 아름다움..
크림치즈와 생크림이 합쳐진듯 적당히 꾸덕하면서 달달하고 고소함
시트는 밀도가 되게 높은 느낌
휘핑크림도 같이 줌
되게 헤비한데 맛있다ㅎㅅㅎ",2020년 7월 24일,4
4,세시셀라 도산공원점,순갑이,"도산공원이서 젤 유명한 당근케이크 맛집!!!
웨이팅할뻔햇는데 금방 한 테이블나와서 바로 들어갓어요 ㅋㅋㅋ
친구생일이엿어서 겸사 간거엿는데 존맛이라 제가 다 먹은듯",2019년 10월 1일,4
5,세시셀라 도산공원점,데일리유,"도산공원쪽에서 조용하고 사람 많이 없는 브런치집을 찾는다면 요기 추천합니다
적당한 맛 + 조용한 분위기 + 주말치고 북적이지않는 실내분위기 원한다면 세시셀라 추천이여 :)",2019년 8월 19일,4
6,세시셀라 도산공원점,sseung,"아우어커피를 가려다가 자리가 너무 협소해서 근처인 이곳으로 오게 됐습니당
당근 케이크 맛집으로 검색하여 왔는데 처음 메뉴판 보고 조금 놀랐어용!
당근케이크8800 아메리카노 7100원 라떼7700원입니다
정말 밥값이상의 카페이더군용

당근케이크는 다른분들의 리뷰처럼 크기도 크고 부드러운 크림치즈와의 조화가 알맞았습니당
평소 당근 케이크를 안 좋아하는데 그래도 맛있게 먹었습니당
당근의 퍼석거림이 안느껴지는 깔끔하고 부드러운 케이크였습니다

커피는 가격대비 별로에요ㅠㅠ 맛도 연하고 밍밍했습니당

그냥 케이크와 함께 시키는 음료정도로 기대없이 먹으면 괜찮을 것 같아요",2019년 11월 30일,3
7,세시셀라 도산공원점,퍼니펀,"가격은 좀 나가지만 (동네가 동네다보니)
케이크와 커피가 너무 맛있습니다
아메리카노 리필도 됩니다 (추가금액 있었던걸로 기억)",2020년 2월 15일,5
8,세시셀라 도산공원점,바다별,분위기도 좋고 맛도 좋은데 가격이 왜이렇게 비싼지...아메리카노가 7100원이라니.!!,2020년 3월 5일,4
9,세시셀라 도산공원점,유단비,메뉴판을 보고 다소 비싸다고 느끼긴 했지만 가격은 뛰어넘는 당근케이크맛에 놀람,2020년 1월 31일,5
