,이름,아이디,리뷰,날짜,별점
0,테라로사 포스코센터점,설향딸기,"삼성과 선릉 사이에 있는 테라로사
포스코센터 건물에 주차하면 된다.

매장은 아주 넓지만 그만큼 사람이 많았다.
2층까지 있는데, 2층과 1층이 모두 보이는 경치는 신기했다.

커피원두의 종류가 매우 많고, 시향도 해볼 수 있지만 사람이 너무 많아 설명만 보고 골랐다.
드립커피는 아이스로 먹을 수 있는 원두가 한정되어있다.

커피 향도 좋았고, 아이스초코는 생초콜릿을 녹인 담백한 맛이 났다.
사람은 많았지만 직원분들은 친절해서 좋았다.",2020년 9월 7일,4
1,테라로사 포스코센터점,깡목,카페 분위기가 좋아요 마치 해리포터가 된 느낌이랄까 커피향도 좋고 맛도 맛있어서 좋았습니다 책들도 볼수있는 책들도 있고 못 보는 책도 있었지만 인테리어가 굉장히 이뻣고 공간도 커서 많은 사람이 있었지만 빈좌석이 더 많았습니다.,2020년 2월 26일,4
2,테라로사 포스코센터점,hisss,선릉역과 삼성역 중간에 위치한 카페로 역에서 오면 거리가 조금 있는 편이다. 분위기는 책과 계단이 있어서 넓은 서점 느낌이 나기도 하며 2층에는 넓은 자리들이 있어서 얘기하기도 좋고 노트북으로 같이 스터디 하기도 좋다.,4월 11일,4
3,테라로사 포스코센터점,picky picky,도심속에 이렇게 널찍한 카페가 있다니! 테라로사 정말 장사 잘한다! 이곳 커피 비싸고 맛있는건 워낙 유명한 사실~,2020년 1월 4일,4
4,테라로사 포스코센터점,맛쟁이,매장이 엄청 넓고 분위기가 다양합니다! 사람이 많지만 복잡하진 않네요! 아이스티는 너무 쓰다요 커피는 굿,2020년 7월 3일,3
5,테라로사 포스코센터점,오크통통,크기도 크고 자리도 넉넉하고 일하고 업무하기 좋은 테이블도 많아서 공부하거나 일하시는 분들도 많더라구요. 맛은 당연하고 티도 예쁘게 나와서 좋았습니다. 매장 사이즈에 비해 주문받는곳이 적어 주문하는 줄이 너무 길고 ㅜ 화장실도 밖으로 나가야 있어서.. 좀 귀찮다는 단점. 베이커리도 있긴한데 금방 다 팔려용,2020년 10월 22일,5
6,테라로사 포스코센터점,맛동산,"넓고 지은지 얼마 안 돼 쾌적함.
다만 공간에 비해 자리가 많지는 않아 붐비는 시간에 가면 자리가 없을 수 있음.
피칸파이와 퀸아망이 커피랑 먹기 정말 맛있는 곳.",2020년 2월 4일,5
7,테라로사 포스코센터점,김정하,"선릉역에서 좀 거리가 있는편이긴 하지만, 인테리어때문에 눈이 즐겁고 커피맛도 좋아요",2020년 5월 18일,4
8,테라로사 포스코센터점,summerhonged,포스코사거리에 있는 테라로사~ 선릉역 근처에서 굉장히 큰 규모의 카페이고 역시 테라로사만의 시그니처인 드립커치와 예쁜 찻잔에 마시는 풍미 가득한 커피가 예술인 곳~ 가격에 비해 양은 적지만 그래도 깊은 맛때문에 양이적어도 카페인은 충분함♡♡,2018년 10월 11일,4
9,테라로사 포스코센터점,Jeff,내부 공간 디자인이 넓고 멋집니다.,2018년 7월 13일,4
10,테라로사 포스코센터점,Jhoooo,매장이 엄청 커서 답답한 느낌이 일단 들지 않음. 치즈 케이크가 유명해서 먹어봤는데 산뜻하니 맛있었음. 숨겨진 메뉴는 호두파이인 듯. 개인적으로 호두파이가 더 맛있었음.,2019년 7월 1일,5
11,테라로사 포스코센터점,룰룰,커피도 맛있는데 인테리어가 정말 멋져요 다양한 외국 서적을 구경할 수 있어요 2층에도 자리가 있어서 넓어요!,2020년 1월 2일,5
12,테라로사 포스코센터점,바다별,여기 왜 안와....? 커피가 너무 맛있어요ㅠㅠㅠㅠㅠ 진짜 무슨 원두로 만드는건지...❤️,2020년 2월 28일,5
13,테라로사 포스코센터점,yulia,중간에 계단식으로 앉을 수 있어서 좋았고 커피도 맛있게 먹고 갔어요!,2019년 8월 26일,4
14,테라로사 포스코센터점,정진시연,,2019년 11월 30일,4
