,이름,아이디,리뷰,날짜,별점
0,겟썸커피,haha,인테리어가 깔끔하고 이뻐요 디저트 냄새가 너무 좋은곳.. 핫초코는 너무 달아요 ㅠ 더치페퍼 아인슈페너같고 맛있어요,5월 1일,4
1,겟썸커피,단미,"분위기가 좋아서 많은 사람들이 방문하는 카페예요. 사람 많은 시간대, 주말에 가면 기다리실 수 있습니다.

음료들이 다 맛있었는데 아쉬운점은 초콜렛을 시키면 머그잔에 나오는게 아니라 종이컵에 나오는 것이였어요..",2020년 1월 13일,4
2,겟썸커피,바니,지하에 있지만 인테리어는 괜찮은 편. 사람이 많고 다닥다닥 붙어있어야 해서 불편함,1월 17일,4
3,겟썸커피,lilly,"지하에 있어서 조금 어두컴컴한 분위기입니다.
쿠키와 아이스크림이 맛있어요.
강남점은 스콘이 없으니 참고하세요.",2020년 4월 2일,4
4,겟썸커피,흑당흑당,"지하에 있어서 찾기 힘들었어요
커피는 맛있는 편인데 양이 작네요
매장은 좀 시끄러워요
근처에 마땅히 갈곳없고 맛난 커피를 먹고싶을때 다시 갈것 같아요",2020년 10월 4일,3
5,겟썸커피,프로먹방러,평일에도 사람이 끊임없이 와서 웨이팅 있어요 2시~3시쯤에 가장 많이 왔었고 4시 넘어가니까 사람이 많이 빠지더라구요 커피 맛은 그저 그랬어요 분위기와 노래가 정말 좋아요,2017년 12월 21일,5
6,겟썸커피,모모,무엇보다 커피가 맛있고 자리는 별로없고 인스타용사진찍기좋은곳,2018년 2월 10일,5
7,겟썸커피,Jun,대기가 조금 있을 수 있지만 가성비 쩌는 커피와 쿠키!,2018년 2월 26일,4
8,겟썸커피,라따뚜이,"지하여서 그런지 소리가 너무 울렸어요 ㅠㅠ
맛은 보통이네요..",2019년 8월 17일,3
9,겟썸커피,SEUL,역시 커피는 맛있고 사람은 많아요~,2018년 1월 31일,4
10,겟썸커피,희망처돌이,갈때마다 분위기는 늘 좋고 무리하게 테이블 늘리지 않아서도 좋고 쿠키 굽는 냄새와 오픈 주방인 것도 마음에 듬.,2020년 10월 17일,5
11,겟썸커피,busted708,,2018년 1월 28일,3
