,이름,아이디,리뷰,날짜,별점
0,기욤 청담점,멜리,매장 인테리어가 좀 애매하게 핑크핑크해영 소문난 에끌레어 맛집이에요 에끌레어 먹고 싶을 때 마다 항상 가는 곳 시그니처는 밀푀유 로얄 요 두가지가 괜찮습니다~~,2020년 6월 25일,4
1,기욤 청담점,쏭쏭,"밀푀유와 밀크티 맛집 파리 실내분위기 맛 분위기 유명한만큼 너무 좋고 요즘 늦게까지 하는데가 없는데 am 2시까지라 특히 좋아요
(물론 띄엄띄엄 자리배치와 손소독제등 관리 잘됩니다 ) 모임마지막은 항상 기욤",2020년 8월 2일,4
2,기욤 청담점,momo,카페오레랑 마카롱 핵존맛 !!!! 다만 커피가 한잔에 만원이라는 심각하게 비싼 가격입니다. 그것만 빼면 친구끼리 오기 연인끼리 오기 좋아보여요,2019년 1월 29일,5
3,기욤 청담점,Soon Suk Kim,와이프와 간만에 데이트 디저트로 너무 조타. 분위기와 너무 늦어서 많이는 없지마누ㅜ,2019년 8월 13일,5
4,기욤 청담점,Snoop,선물 받아 먹어보았는데 꼬끄나 필링 모두 잘 잡았네요. 다만 제가 먹기에는 너무 달아서 다시 찾을 것 같지는 않습니다. 라뒤레 보다는 피에르 에르메랑 식감이나 단맛이 비슷한 것 같네요. 하지만 더 단 맛이 많이 납니다.,2019년 7월 7일,3
5,기욤 청담점,이슐렝,"비싸고 비쌌지만 맛은 인정.
1인 1메뉴는 좀 너무하지만 맛 때매 가게 된다",2019년 9월 7일,5
6,기욤 청담점,빈둥오리,"프랑스식 디저트 집인데, 너무 이쁘고 맛있어요!! 가격이 좀 비싸긴 하지만 분위기도 좋고 외국에 온 것 같아서 좋습니다 :)",2019년 3월 11일,5
7,기욤 청담점,한승,"청담의 프랑스풍 디저트,빵집
프랑스분인거같은 빵집 사장님 좋으시다ㅎㅎ
밀페이 로얄이 시그니처인 곳
(겁나 비쌈)😱",2020년 11월 29일,3
8,기욤 청담점,custardcream,"디저트 맛집이에요
일단 가게 내부가 너무 여자들이 좋아할?느낌
고급스럽고 조용하고
가격대는 조금 비싼편이에요
디저트가 진짜 막 달지않고 크림이 너무 맛있더라구요.
티는 그냥 쏘쏘한 맛!",2020년 1월 1일,4
9,기욤 청담점,lin,분위기도 조용하고 좋았고 마카롱과 디저트류도 다 맛있었어요.,2020년 7월 15일,4
10,기욤 청담점,소송이,서비스 최악 이 정도 수준의 인테리어와 이정도의 디저트 퀄리티는 다른 곳에서도 뽑아냄 근데 ㅎㅎ 가격은 호텔 가격이면서 서비스는 시장통 보다 못함 바쁘면 이해라도 하는데 느긋해도 그 모양이,2019년 4월 12일,1
11,기욤 청담점,떡볶이광인,조용한 분위기로 홍차와 다양한 디저트를 즐기기 좋은 곳입니다.,2017년 6월 26일,4
12,기욤 청담점,써머,분위기가 사진 찍기에 매우 좋음,2018년 5월 11일,3
