,이름,아이디,리뷰,날짜,별점
0,카페 마마스 코엑스점,달리는진저맨,"프랜차이즈니까 어느정도 맛은 보장 되어 있어요! 저녁에 혼자 와서 드시는 분들도 많이 보이네용

맛은 있는데 정말.. 이렇게 불친절한 매장 처음이에요

식탁이 더럽다고 말하니 직원들이 마감이라 다 바쁘니 알아서 치우라 하고 ;; 제 앞 고객에게 저렇게 말하는 걸 들으니 주문 하고 싶지가 않더라구요 ㅡㅡ
친구때문에 먹었지만 주문부터 음식 받는 순간까지 기분이 나쁘지 않을수가 없었어요. 🤬😡",2019년 12월 13일,2
1,카페 마마스 코엑스점,tnlv626,가게 위치는 접근성이 매우 좋음. 주말에 다소 손님이 많아서 복잡하고 시끄러울 것 같은 느낌. 소고기가지파니니 매우 맛있음. 가지 싫어하는 사람도 괜찮을 것 같은 맛. 리코타 치즈 샐러드도 말해 뭣하나 싶을 정도로 맛있음.,2020년 2월 22일,5
2,카페 마마스 코엑스점,징이,샐러드와 파니니 생각날 때 가는곳 . 주문하려고 계속 서있는데 쳐다보지도 않고 주문 결정되면 알려달라해서 좀 그랬어요.. 감자스프먹으려 했는데 없다해서 아쉬웠어요. 매장에 창이 많아 밖에 구경하기 좋아요. 매장 크고 깔끔해요.,2020년 5월 23일,3
3,카페 마마스 코엑스점,소보로,샐러드랑 파니니 다 맛있어요 특히 청포도케일주스 맛있어요!! 다만 점심시간에 갔더니 사람이 많아서 음식받기까지 삼십분정도 걸렸네요,2019년 8월 26일,4
4,카페 마마스 코엑스점,콩님,서소문 1호점 시절부터 좋아했던 마마스. 옛날에는 마마스 파니니와 샐러드 가격이 부담스러웠지만 서울 식당 물가가 워낙 가파르게 오르며 이제는 가성비 갑 카페가 된 것 같다. 가격도 착한데 맛은 변함없이 좋고 건강한 식단인 것 같은 느낌이니까 부담없이 들려보세요,2020년 1월 2일,4
5,카페 마마스 코엑스점,erica,"맛은 시청점이 가장 좋지만 코엑스점은 우선 봉은사역쪽이라 그런가 코엑스 음식점 치고 많이 붐비지 않고 내부도 넓은 편이라 만만하게 가기 좋다
파니니류 중에서는 개인적으로 햄치즈가 제일 나았음 머쉬룸이나 토마토는 재료끼리 겉도는 느낌이 많이 든다
클럽 샌드위치는 빵이 좀 버석거리긴 하지만 안에 든 재료들이 맛있다
감자수프는 체다와 모짜렐라 등 치즈가 듬뿍 들어가있고 먹을만함
샐러드류는 리코타치즈가 제일 무난하긴 한데 개인적으로는 단호박 샐러드가 좀 더 든든하고 담백 깔끔해서 좋음
필리치즈는 빵이 너무 딱딱함
주스류는 청포도주스가 잘나가긴 하지만 신맛이라서...
개인적으론 호두바나나주스가 달달하고 고소해서 맛있음
커피맛은 그냥저냥 무난함",2018년 12월 1일,3
6,카페 마마스 코엑스점,박지윤,파니니가 너무 맛있는곳이에요 ㅠㅠ 사진도 너무 색감 있게 잘 나오구요,2020년 3월 30일,5
7,카페 마마스 코엑스점,오늘도맛잇는식사,"리코 타치즈 샐러드로 유명해요
파니니도 맛잇규요
과일음료도 좋아요",2020년 12월 30일,4
8,카페 마마스 코엑스점,직구,마마스는 역시 리코타치즈샐러드♡♡ 치즈도 많이 들어있고 진짜진짜 맛있어요:) 머슈룸 파니니도 바삭하고 치즈도 쭉늘어나고 바질페스토도 같이 들어있어서 세상맛있습니당♥,2018년 8월 14일,5
9,카페 마마스 코엑스점,문희서,"혜자로운 리코타 치즈 샐러드는 뭐 치즈반 채소반 + 빵까지.
클럽샌드위치도 든든함. 음료만 안시키믄 가성비 짱짱 좋은 마마스",2019년 6월 13일,4
10,카페 마마스 코엑스점,paos,오랜만에 먹으니까 더 맛있네요 양도 여전히 푸짐하고 과일쥬스도 신선한이 느껴져서 좋았어요,2020년 6월 10일,5
11,카페 마마스 코엑스점,브로콜리,간이 너무 세지도 않고 괜찮아요. 양도 적당하구요. 수프 맛있네요.,2020년 4월 1일,4
12,카페 마마스 코엑스점,두둥,브런치 카페 중에서는 그래도 괜찮아요. 건강한 주스도 팔고 파니니도 나쁘지않았어요. 원래 그돈주고 사먹긴 좀 아깝고 내용물이 살짝 빈약한 메뉴이지만 파니니가 다 그렇죠.. 이 집 파니니는 그래도 괜찮습니다. 간단히 간식처럼 빵류로 한 끼 하고싶은데 시간은 은근 많을때 가시면 좋을듯,2019년 11월 2일,5
13,카페 마마스 코엑스점,소금소금,리코타 샐러드 맛있고 샌드위치나 파니니도 대부분 맛있음. 특히 무화과 프로슈토 의외의 성공템. 다만 배달도 받는건지 사람 없어도 항상 바쁘고 매장이 오래 앉아있을 분위기는 아님,2017년 11월 21일,4
14,카페 마마스 코엑스점,박수민,"가격이 비싼 카페.
청포도 주스는 카페 중에 제일 맛있는것같다.
이번에는 밥먹으러왔지만 다음엔 카페로 와야겠다",2017년 7월 11일,4
15,카페 마마스 코엑스점,junning,"치즈가 맛있지만 햄이 없다면 더맛있을듯
아침 8시부터 열어서 브런치로는 제격!!",2016년 9월 3일,4
16,카페 마마스 코엑스점,coloursky,,2017년 1월 16일,4
