,이름,아이디,리뷰,날짜,별점
0,우유니아이스크림,먹고먹고,"가로수길에 있는 아이스크림 집입니다
우선 아이스크림이나 젤라또집 중
내부에 앉을 자리가 별로 없는곳이 많은데
이곳은 비교적 좌석이 있는 편이네요

아이스크림은 부드러웠고
고른 맛에 따라 편차는 있었지만 대체로 맛있었습니다
내부가 덥지 않았음에도 녹는 속도가 빨라
녹기전에 얼른 드셔야합니다

직원은 둘 있었는데 불친절하다는 느낌을 받은곳",2019년 11월 25일,3
1,우유니아이스크림,소풍,진한우유맛에 약간 짬쪼름한 끝맛 충분히 맛나다. 재방문해야겠다,2019년 9월 14일,5
2,우유니아이스크림,지우,"달아서 물리는 아이스크림이 아니라 재료 본연의 맛을 살려서 끊임없이 기분 좋게 먹을 수 있어요!

개인적으로 토마토를 제일 추천합니다!",2020년 11월 14일,5
3,우유니아이스크림,하늘,"예쁘고 깔끔한 내부시설과 맛있는 아이스크림
우유맛 계통 중 서울에서는 최고의 맛

멀리서 포장해간다고하면
이렇게 보냉팩에 넣어서 주신다
1시간 후에도 괜찮았어서 놀란 경험이 있다",4월 13일,5
4,우유니아이스크림,Jisoo Kim,"가로수길에서 근무하는 동생 덕에 지나가다 들린 아이스크림가게~
소금아이스크림을 먹어봐야 한다길래 주문하고 한스푼 입에 넣는 순간~
음~
아이스크림이 이뿌다, 그리고 맛있다, 그리고 아주 깔끔하다..
요래요~^^
소금아이스크림 메인 위에 올려주는 맛보기 한스푼을 자두맛을 선택했는데...
다음에는 두가지 맛으로 주문해야겠다~ㅋ
자두맛 아주 맛났음!!",2019년 7월 9일,5
5,우유니아이스크림,이슐렝,"미친 가격과 미친 서비스를 유지하게 만드는 맛!
욕하지만 또 가게 될 듯",2019년 8월 28일,3
6,우유니아이스크림,무용가리,"신사 가면 카페 대신 가봐도 좋을 곳
맨날 먹는 커피가 아닌 아이스크림!
세계 아이스크림 대회(?)에서 맛으로 상받았다고 하더라구요~

소금맛으로 한스쿱 먹었습니당
처음엔 짠맛이 느껴졌는데 계속 먹다보니 짠맛은 더 이상 안나고 맛있어서 계속 퍼먹

베라 같은 경우 너무 달아서 꺼려지는데 여기 간(?)은 딱이었어요
아주 깔끔한 마무리

플라스틱 컵에 담겨져 나와요
맛보기로 숟가락에 인절미맛도 꽂아서 주시더라구요 센스짱! b
제 입맛엔 미숫가루가 더 좋아용 ㅎㅎ

담에 온다면 소금이랑 미숫가루 시켜서 고소짠 고소짠맛으로 먹어볼래요

테이블 적당히 좀 있어서 먹고 가기 좋아요 &gt;.&lt;",2018년 3월 25일,4
7,우유니아이스크림,지또지또해,사르르 녹아서 아이스크림과 샤베트 그 사이같아요 하지만 한스쿱에 4200원이라는 사악한 가격...심지어 5분만에 다먹음,2020년 5월 17일,5
8,우유니아이스크림,가토,"신사동 가로수길에 있는 아기자기한 아이스크림 가게. 소금, 미숫가루, 토마토가 베이스인 아이스크림 추천. 애매하면 150ml씩 해서 반반 주문도 가능.",2019년 5월 25일,5
9,우유니아이스크림,파르전전,"아이스크림이 맛있었다
우유맛이 많이 났고 건강하게 맛있는 느낌이였다
양이 좀 적고 맛보기로 주는 한스쿱 맛을 선택할수없어서 아쉬웠다",2019년 1월 28일,4
10,우유니아이스크림,Datejust,소금 아니스크림이 유명함. 포장도 되고 근처 가로수길 구경도 할 수 잇는곳,2018년 5월 22일,4
11,우유니아이스크림,조준범,소금맛 꼭꼭 먹어 보세요. 소금맛이 베스트길래 반신반의하면서 시켰는데 이거야 말로 신세계. 쌀맛 젤라또 먹었을 때 받은 충격을 한 번 더 받았네요. 소금맛 단독보다는 다른 맛이랑 함께 드시는 걸 추천 드려요. 단짠단짠이 핵심 아니겠습니까?,2017년 10월 8일,5
