,이름,아이디,리뷰,날짜,별점
0,더달달,고재희,"초콜릿 카페라서 초코 빙수 및 쇼콜라, 선물용 초콜릿 등을 판매하고 있어요.
쇼콜라가 퐁당 쇼콜라일줄 알았는데 초콜릿이 흐르진 않고 부드러운 젤라틴 같은 식감이라 그냥 그랬어요. 메뉴판에도 쇼콜라라고만 판매하고 있긴 합니다.
초코 음료와 빙수는 맛있었어요. 생각보다 빙수에 견과류가 정말 많이 들어있습니다.
가격도 높고 메뉴도 보통이지만 자꾸 방문하게 되는건 매장이 2층으로 규모가 크고 넓어요.
테이블도 많고 야외 테라스, 극세사 담요 비치 등 따뜻한 분위기가 너무 좋은 곳입니다.
보조배터리 대여 기기도 있고 화장실도 깔끔해 분위기 뿐만 아니라 세심하다고도 느꼈습니다.",2020년 10월 28일,4
1,더달달,beeny,강남에서 제대로 된 와플을 먹을 수 있는곳! 주택을 개조한듯한 매장 내부가 엄청 넓고 와플이랑 음료는 고급스러운맛이 났다.,3월 11일,5
2,더달달,바다별,딸기빙수는 그저그랬고 와플이 정말 살찌는 맛있는맛..또 먹고싶다!,2020년 3월 3일,4
3,더달달,김메리,,2020년 8월 11일,5
4,더달달,가즈아,초코맛이 가득해서 너무 단것같습니다. 가격이 비싼편입니다.,2019년 2월 7일,4
5,더달달,matin,음료는 핫핑크라는 음료와 달달카페모카를 시켰는데요 맛은 둘다 초콜릿 베이스인데 매우 진하고 풍부한 맛이였어요.점원분이 음료에 대해서 조언을 친절하게 해주셔서 기분좋게 음료를 주문할 수 있었답니다 ㅎㅎ!!,2017년 11월 24일,4
6,더달달,혀나롱,,2020년 2월 10일,4
7,더달달,Ivan,"최고.. 강남역엔 정말 맛있는 카페가 많지만 조용함 맛있음을 모두 만족하는 카페는 많지 않아요. 그 중에서도 쵸콜렛을 메인으로 내놓는 카페는 더더욱 없지요. 커피보다는 달달한 쵸콜렛이 먹고 싶을 때, 친구랑 조용한 곳에서 이야기 나누고 싶을 때 항상 찾아가는 더 달달! 오랑제트가 참 맛나요 ㅎㅎ",2016년 6월 15일,5
8,더달달,김도형,,2016년 10월 31일,5
9,더달달,운영체제,강남역 치고 나쁘지 않은 정도,2017년 3월 21일,3
10,더달달,Taesung Justin Yang,,2016년 12월 17일,5
