,이름,아이디,리뷰,날짜,별점
0,티컬렉티브,햇반,티 가격대가 있는 편이지만 티컬렉티브 라는 이름 답게 종류가 많아서 좋았어요. 가격대가 있어서 자주는 아니지만 근처에 방문한다면 다시 방문할만한 퀄리티와 분위기 였던 것 같아요,2019년 12월 6일,4
1,티컬렉티브,데일리유,"청담의 근사한 티카페를 찾는다면,
바로 이곳이에요~!

티컬렉티브는 다양한 티를 파는 곳인데요

특히 분위기와 인테리어 전반적인
카페의 느낌이 너무 예쁩니다!

확실한 여심적격 카페에요 !
다만 커피는 없으니, 이점 참고하세요!

특히 이곳은 그릭요거트볼이 유명해요!

색감으로도 너무 예쁜 색감과
곰돌이푸우에 나올법한 꿀스푼
풍성하게 올려진 그래놀라 견과류 토핑
바질잎까지
그 하나로 너무나 근사한 요거트볼이에요

그릭요거트라서 꿀을 듬뿍 넣어드시길 추천합니다.

흑임자 크림 파운드케익도 먹었는데
흑임자 크림이 고소하면서도 맛있었어요
추천합니다 :)",2020년 3월 27일,4
2,티컬렉티브,huni,"도심 속 높은곳에서 차한잔할수 있어서 좋은곳 거기에 정원으로 꾸며져 있어서 더욱 더 좋아요
웨이팅이 있을수 있으니 참고!",2019년 4월 2일,5
3,티컬렉티브,탱찌,뷰가 좋은 카페입니다. 티 메뉴가 주를 이루고 인테리어와 분위기가 좋습니다. 웨이팅이 좀 긴데 대기할 곳이 마땅치 않은게 단점이에요. 티와 커피는 맛있었고 스콘은 평범했어요. 나쁘지 않음! 데이트나 기분 전환 필요할 때 가면 좋을 것 같아요.,2020년 7월 22일,4
4,티컬렉티브,키노,좁지만 위치와 인테리어가 좋아서 좋아요. 서비스는 아주 친절하지는 않네요. 공기가 좋아서 좋아요.,2019년 10월 22일,3
5,티컬렉티브,맛쟁이,높은 층과 식물이 많아서 야외정원같아요! 스콘이 맛이 좋았어요,2019년 9월 10일,5
6,티컬렉티브,Olivia Ha,풍경맛집이라고 들었는데 생각만큼 멋있진 않았어요! 많은 식물이 있어 좋았지만 그렇게 넓진 않네요 ㅎ 그래도 쑥차 맛있었어요! 조용히 이야기하고 싶을 때 평일 낮에 가기 좋을 것 같아요,2020년 2월 10일,3
7,티컬렉티브,Minjeong Lee,고층에 있어 경관이 좋고 플랜테리어가 멋진 곳 입니다. 공간이 넓진 않은데 향기로운 차와 함께 하기 좋았어요.,2020년 3월 29일,4
8,티컬렉티브,hannah,커피보단 차 종류가 많아서 차를 즐기시는 분들에게 추천드려요~ 호박차랑 감잎차 추천해주시는데 차가 은은하니 맛이 좋았어요. 다만 가격이 생각보다 비싸서 참고하시면 좋을 것 같아요!,2019년 12월 7일,4
9,티컬렉티브,limm,컨셉이 너무 좋아서 방문했어요 차맛은 굉장히 은은해요 짙은 맛을 원하신다면 별루일지도. 장소가 좁은 편은 아닌데 앉을 자리가 그렇게 많지는 않아요. 차맛이나 인테리어 친절도 모두 좋아요 무엇보다 별 기대 없이 시켰던 디저트 맛이 너무 좋아서 자꾸 생각나네요,2020년 5월 15일,4
10,티컬렉티브,가성비와친절,가격이 좀 있지만 우리땅 우리차 파는 곳이 드물어서 나는 건강 생각하는 사람이라서 새로운 경험과 구매였어요 밀크티 한잔 마시고 7종류 차를 샀어요,2018년 2월 26일,3
11,티컬렉티브,이한솔,"호박밀크티, 쑥스콘 둘 다 굳ㅠ
안 달고 담백한게 너무 좋음
인테리어도 넘 예쁘고 좌석 간 자리가 넓어서 편하게 있기 좋다",2019년 7월 24일,4
12,티컬렉티브,beerndessert,높이 있어 뷰가 트여 좋습니다 다만 아파트와 빌라가 많아 자연경관이 보이거나 하진 않아요,2020년 5월 2일,4
13,티컬렉티브,solart,한시간 웨이팅을 하긴 했지만 풍경이 예뻐서 만족스러웠어요!,2020년 1월 22일,5
14,티컬렉티브,떡볶이광인,저녁 10시까지 영업해용 다양한 티종류가 있고(커피는 핸드드립 하나밖에 없어용) 생소한 차가 많은데 앞에 향기도 맡아볼 수 있고 여쭤보면 친절하게 설명도 해주심,2017년 11월 10일,4
15,티컬렉티브,소송이,인테리어만 좋음 음료 잘몽 내왔는데 다시 만든게 아니라 밍밍하고 색도 연함 인테리어도 예쁘지만 실용적이지 않음,2019년 4월 12일,2
