,이름,아이디,리뷰,날짜,별점
0,아우어베이커리 도산본점,햇반,빵은 맛있습니다. 매번 앙버터나 크로와상을 먹다가 이번에 처음으로 메밀식빵을 먹었는데 쫄깃하니 너무 맛있었습니다. 메밀향이 강하지 않아서 모르고 먹으면 메밀식빵인지 잘 모르겠어요. 다만 메밀식빵이 통으로 나와서 주문하면서 잘라달라고 하니 커팅은 2시 30분 이후에나 가능하다 하더라구요..;; 아니 아무리 바빠도 그렇지 식빵커팅 시간이 정해져있다는게 이해가 안됐습니다. 앙버터나 다른 빵들은 커팅을 해주면서 식빵이 안된다니요..;; 어이가 없고 황당했지만 그냥 포장해서 나왔습니다..,2019년 11월 4일,3
1,아우어베이커리 도산본점,소풍,너무 유명한 압구정 빵집. 갈때마다 북적북적 어느 빵집을 갈때 앙버터를 가장 기본으로 주문하지요. 빵은 파삭하고 팥은 견과류가 들어가 그리달지 않고 고소하다. 버터도 주문하면 바로 넣어주어 넉지않고 차갑게 잘 어울린다,2020년 3월 21일,4
2,아우어베이커리 도산본점,요롱이,"메밀식빵 사려고했는데 깜빡하고 큐브를 사버렸어요
이시국에도 카페는 자리가없더라구요 ㅎㅎㅎ
아우어 옆에도 핫한곳들이 많이 몰려있어서 주말에는 자리잡기 포기하셔야해요
근처오시면 빵 구매해보셔용",2020년 3월 7일,5
3,아우어베이커리 도산본점,평양냉면,"프레첼의 부드러운 정도가
제가 딱 좋아하는 정도고
무염버터 (혹은 저염?)는
부드럽고 고소해요.
대신 프레첼에 하나둘씩
뿌려져 있는
소금이 짠맛을 내는데
소금의 끝맛에 살짝
단맛이 나서 기분 좋아집니다.

올리브 페스츄리는
저한텐 생소한 맛인데
가족들은 모두 좋아라 합니다.
페스츄리의 단맛과
올리브의 짠맛이
새로운 단짠의 조합이 되네요.

더티초코는 시그니처답게
모두 좋아할만한 맛입니다.
달지 않은 타크 초코에
파우더를 뿌려
파베 느낌이 나는
크로와상입니다.

얼그레이 파운드의
향도 과하거나 부족하지 않고
적당합니다.
파운드는 생각보다
많이 부드럽고 촉촉해서
마치 다른 데의
카스테라와 파운드케잌을
섞은 듯한 촉촉함과
부드러움이 있습니다.

재방문해서
새로운 메뉴 시도해 볼
생각입니다.",2020년 8월 7일,3
4,아우어베이커리 도산본점,haha,커피와 빵 모두 맛있습니다 그런데 계산 하시는 분이 실수를 좀 많이 하시는듯 제 앞 사람도 그렇고 저도 금액이 잘못찍혀 취소후 재결재함,2019년 9월 7일,3
5,아우어베이커리 도산본점,스윗가이,"잠깐주차는되는듯 음식점들이많고주택가에차대놓은데가많아주차하기힘들었어요
빨미까레 사다주려고 갔습니다 초코렛이달콤해요",2020년 12월 26일,5
6,아우어베이커리 도산본점,크라모,빵 1개 커피 1개에 9400원은 좀 비싸다고 생각함. 하지만 좋은 분위기와 친절함의 가격까지 생각한다면 충분함.,2020년 7월 4일,3
7,아우어베이커리 도산본점,조조,점심먹었던 곳과 가까이에 있는 베이커리를 찾다가 들어간 아우어 베이커리. 아메리카노가 산미가 강해서 좀 놀랐다.. 고소한 맛을 즐기는 나에겐 조금 불호.. 하지만 더티초코가 맛있었고 솔직히 맛이 없을수가 없는.. 인절미 크로와상도 무난한 맛. 둘다 시그니처 메뉴 치고는 “와악 엄청 맛있다 와구와구”이런 맛은 아님 무난하게 맛있네~ 인절미 크로와상 안에는 인절미 크림들어있음~ 자를 때 마다 크림 삐져나오는 쾌감ㅋㅎ문제는 둘다 가루가 위에 뿌려져있어서 기침 나오는 빵임 요즘 같은 때에는 조심할 것. 얼그레이 까룰레는 얼그레이 맛이 많이 났다. 초딩입맛인 나는 그냥 까룰레가 더 맛있었는데 어른친구들은 얼그레이 까룰레가 더 맛있다 했음. 까룰레는 진짜 유명한 곳. 진짜다. 하는 곳에서 먹어본 적이 없어서 평가하기 어렵. 장소가 좁아서 웨이팅이 있기도 한 듯. 갔을 때 테이블 자리가 없어서 길게 창을 보고 앉는 자리에 앉았었음,2020년 3월 10일,4
8,아우어베이커리 도산본점,맛쟁이,늦게가서 빵이 많디는 않앗ㅈ만 더티초코 하나면 됨! 더티초코 정말🖤 사랑입니다! 아우어에어도 넘넘 맛잇엇오요,2019년 4월 26일,5
9,아우어베이커리 도산본점,펭하,더티초코 먹고 싶어서 방문하였는데 마지막 하나 남은거 겟 할 수 있었어요! 유명한 이유가 있는 빵이네요!,2020년 5월 19일,4
