,이름,아이디,리뷰,날짜,별점
0,빌리엔젤 강남역점,조이,"깔끔하고 화이트톤의 여성스러운 분위기가 돋보이는 케이크 전문 카페. 내부 규모는 외관에서 보여지는 것보다도 더 넓고 테이블 간격도 적당하네요. 콘센트를 거의 막아놓아서 노트북하며 일하거나 공부하기에는 부적절해 보이고, 넓게 트인 구조라 시끌벅적한 편입니다.

케이크로 유명한 카페라 커피 음료에는 크게 신경쓰지 않는 것 같네요. 케이크 단맛을 더 돋구어 줄 수 있는 바디감 묵직한 원두를 쓰면 더 좋을 것 같은데, 대체로 신맛이 느껴져서 케이크랑 조화롭지 못하다는 생각이 들었어요.
레드벨벳 케이크와 초콜릿 케이크를 먹어봤는데 무난하고 달아요. 지인의 설명을 덧붙이자면, 우주케이크는 sns용이고 밀크 크레이프가 은근 커피랑 잘 어울려 자주 찾는다고 하네요.
홀케이크는 사전에 예약을 해야 한다고 합니다.

• 화장실이 1층에도 있고 위층에도 있어요. 1층 화장실 이용하시려면 영수증 하단의 비밀번호 확인하고 가셔요. 화장실은 조금 좁은 편입니다.",2020년 4월 28일,3
1,빌리엔젤 강남역점,EunJi,빌리 엔젤 케이크가 불량스럽게(?) 달지 않고 진해서 엄청 좋아하는 케이크집인데 판교점만 가다가 강남점은 처음 방문했어요~ 자주 먹는 라임뉴욕치즈케이크 시켰는데 좀 오래된 맛이 나서 실망했어요ㅠㅜ 날이 더워서 그런가요? 그리고 로열밀크티 병으로 된거 사서 마셨는데 맛있네요~~ 매장에 사람이 엄청 많고 소리가 울리는 공간이라 정신이 없긴한데 인테리어는 역시 이쁩니다.,2017년 7월 26일,3
2,빌리엔젤 강남역점,Rose,"사람이 많고 시끌벅적해요 로즈모히또는 제게는 잘못된 선택이었어요 ㅠㅠ 크레이프는 제 입맛에 너무 달고, 유자에이드는 그냥 무난해요~",2020년 1월 17일,3
3,빌리엔젤 강남역점,호로롭,"데이트 코스로 가기 좋은 예쁜 카페
맛은 없었어요. 음료, 케이크 다 별로... 인테리어가 예쁘고 사진이 잘나와요",2020년 8월 16일,2
4,빌리엔젤 강남역점,잔디,"빌리엔젤은 역시 케이크 맛집.
아메리카노랑 홍차도 맛있었지만 레드벨벳이 제일 좋아요.
홀케이크 한 판을 주문하려면 미리 예약하셔야 해요.",2019년 10월 16일,3
5,빌리엔젤 강남역점,sosohanreview,"음식★★★
단 것을 매우 좋아하는데 초콜릿 크레이프가 굉장히 만족스러웠다. 정말 달다. 생긴것보다 훨씬 달다. 그린티라떼는 적당히 진하고 적당히 달달해서 만족.

서비스
가격이 부담스럽다. 원래 케이크 자체가 싼 가격의 음식은 아니지만 근처 지나갈때마다 비쥬얼에 혹하지만 가격을 보고 마음을 접는다. 음료는 다른 카페와 비슷한 가격대이다.

분위기★☆☆
진짜 사람이 너무 많다. 매번 빈자리가 없는 것 같다. 시끄럽고 답답한 느낌이 있다.",2020년 7월 19일,4
6,빌리엔젤 강남역점,많이먹고싶다,"제 기준 초콜릿케이크, 당근케이크가 제일 맛있었고 홍차쉬폰은 향이 너무 약해서 그냥 빵먹는 기분이었어요. 정말 자주 가는 곳이라 웬만하면 다 먹었는데 사진은 안찍었네요. 참고로 우주케이크는 모양만 예쁘고 맛은 그저그래요 강남역 점은 사람 너무 많고 시끄러워요, 신논현역 뒤쪽에 가면 사람 없고 좋아요 거기 가세요. 음료도 평범해요",2020년 2월 23일,3
7,빌리엔젤 강남역점,이유림,"분위기도 좋고 이쁜데 사람이 항상 많아서 북적북적해요! 당근케잌이랑 몽블랑 시켰는데 몽블랑 아래쪽에는 크림만 있어가지구 조금 느끼했어요...빵이 한층이라도 있을줄 알았는데..,! 당케랑 아메리카노는 맛있었습니당 가격은 좀 비싸긴한데 전체적으로 나쁘지않습니당",2018년 8월 31일,4
8,빌리엔젤 강남역점,Laura,무지개케이크 기대했던만큼 색별로 맛이 달라서 너무 맛있고 먹는 데 특이했어요! 보통 크레이프를 돌려먹지 않고 한번에 먹기도 하는데 이 케이크는 한장씩 맛이 달라서 돌려먹는 게 더 좋았어요! 그리고 레드벨벳케이크는 무지개보다 훨씬 맛있었어요! 처음먹은 거였는데 크림치즈랑 카카오랑 너무 잘 어울리고 다음에 간다면 또 먹고싶을 정도였어요! 이후에 다른 데서도 먹었는데 여기 맛을 따라가지 못했어요ㅠ 아 그리고 가게 분위기도 너무 이뻐서 사진찍기 좋아요!,2018년 1월 21일,3
9,빌리엔젤 강남역점,도도호호,홍차시켰는데 양이 너어무 적었어요 맛은 있었습니다ㅎㅎ 강남이라 어쩔 수 없는 것 같아요..ㅎㅎㅎ,2020년 2월 28일,4
10,빌리엔젤 강남역점,다육이,크레이프 케익 너무 맛있어요 ㅎㅎ 빌리엔젤 지점이 많이 없어서 더 생기면 좋겠는 케익집이에요,2020년 4월 4일,4
11,빌리엔젤 강남역점,바다별,역시 빌리엔젤은 무난합니다 케이크는 걍 그래여 다른거 먹어봐야지..,2월 14일,4
