,이름,아이디,리뷰,날짜,별점
0,이디야커피랩,Jeff,"이디야커피의 플래그쉽이라고 볼 수 있다. 이디야가 이렇게 반짝반짝하다니?! 강남 한복판에 건물을 통째로 커피숍으로 쓰고 있고 지하 주차장 넓어서 무한 발레파킹이 되니 주차걱정이 없다. 입소문이 많이 나서 끊임없이 차량이 들어가고 나가는 듯.

2년전에 외국인들과의 비즈니스 미팅이 있었는데 알고보니 여기였다. 그만큼 실내는 넓기도 하지만 배치가 버라이어티 하다. 에지가 있다고 봐야 한다.

이날 방문한 날은 드립커피. 콜롬비아를 골랐는데 맛이 괜찮음. 스타벅스 리저브 맛과 별반 다르지는 않음.

정리: 넓고 발렛주차가 된다는 장점. 주차비는 3000원.",2019년 9월 29일,4
1,이디야커피랩,예섬,이디야에 끝판왕 넘나 맛난 배이커리와 커피 너무좋아욤!!,3월 4일,5
2,이디야커피랩,달리는진저맨,"여전히 명성 그대로 슈퍼카가 많네요 ㅎㅎㅎ 강남의 핫플로 이전에 유명했는데 여전히 사람이 많이 오는군요!

내부 공간이 넓어 회식하거나 모임하기 참 좋습니다. 저렴한 커피 라는 이디야에서 만든 프리미엄 카페로 이디야 스럽지 않게 공간도 커피맛도 일품입니다.

실제 커피 볶는 기계, 커피 연구소 등도 구경할 수 있어요.

커피만 먹기 아쉬워서 앙버터를 먹었어요. 크랜베리가 들어간 바게트에 달지않운 팥과 부드러운 버터가 맛있었어요. 바게트가 많이 바삭바삭하지 않아 먹기 편했네요. 다만 조금 질긴편 ㅎㅎ

어떤 모임도 2 차로 가기 무난한 곳이에요",2020년 10월 27일,4
3,이디야커피랩,양양,이디야가 이렇게 이쁠수있다니!! 외관도 너무 좋고 내부도 너무 인테리어를 잘해놨습니다 빵과 커피 종류도 많고 좋았습니다 가격은 너무 비싸요.. 즐겨찾지는 않을거같네요 ㅎㅎ 스타벅스 리저브매장과 유사하지만 훨씬 더 좋네요,2019년 11월 16일,5
4,이디야커피랩,닥스훈트,"분위기가 되게 좋아요. 2층으로 되어있는데 외국 스타벅스 로스터리 느낌 납니다. 사람이 좀 있는데 시끄럽지 않아요. 전체적으로 우드+빈티지의 베이지톤입니다.
빵 종류도 본점이라 그런지 되게 많고 가성비 괜찮다고 느꼈어요! 딸기 넣은 빵들이 좀 눈에 띄었던 것 같아요.
음료는 커피 위주이고 그린티는 없어요. 밀크티는 적당히 진하고 답니다. 맛있는 카페의 밀크티정도? 입구쪽에 보면 원두별 무료 시음도 있던데 이용하는 분들이 있진 않았어요. 안에는 커스텀 원두나 이디야 굿즈 캔들등 다양한 제품을 팔고 있어서 커피 좋아하시는 분들은 들러보실만합니다.",2020년 3월 14일,5
5,이디야커피랩,ej,분위기는 좋으나 커피.과일쥬스는 그냥 그랬습니다. 샐러드속 단호박은 덜익었고 소스가 부족했어요. 샌드위치는 괜찮았습니다.,2019년 8월 27일,2
6,이디야커피랩,Inwoo Yeo,이디야 플래그쉽 매장 스타벅스 로스터리룸을 떠올렸다. 발렛주차부터 도어맨까지 브랜드 이미지재고에 도움이 되겠다.,2020년 7월 1일,4
7,이디야커피랩,gourmet,고급진 이디야입니다 ㅎㅎㅎ 근처 갈 일 있으면 종종 들릅니다. 이날은 차를 가져와서 발렛을 맡겼는데 기본 2시간에 3천원 이예요.,2020년 6월 29일,3
8,이디야커피랩,꼼지락,"문열어주시는 분도 계시고 발렛주차 해줍니다
보통 이디야카페보다는 가격이 비쌌고 저는 빵 위주로 구매했는데 빵은 맛있으나 가격은 조금 비쌌던것 같습니다
고급스러운 카페 색다른 카페 가고싶다면 한번쯤 방문해보는것도 좋은것 같습니다",2019년 11월 5일,3
9,이디야커피랩,laemi,"사람은 언제나 많으며 매우 넓은 카페

케이크와 빵종류는 다양함
기존 이디야랑은 다르며 맛은 쏘쏘",2019년 12월 2일,4
10,이디야커피랩,marshmallow,엄청 크고 종류가 다양해서 좋았어요 근데 사람이 엄청 많아여,4월 8일,4
11,이디야커피랩,달이짱,"맛은 좀 없어도 가성비는 역시 이디야 카페에요
쿠폰까지 좋아요",4월 23일,3
12,이디야커피랩,Soon Suk Kim,여친 사무실 근처라 같이 밥먹고 커피한잔 하러 방문했다 인테리어 훌륭하나 정작 중요한 커피맛이 별로다,2017년 12월 1일,1
13,이디야커피랩,모모,"발렛이됨다는 소문이 돌아서 그런지 들어오는 차가 너무 많아서 서너대가 길가에서 대기하고있는걸 봤음 발렛이되나 그만큼 많이오기때문에...
안에 자리도 넓고 사람도 많다 정말 많다
시끄럽지만 나름 쾌적하다
빵 종류도 많고 커피도 맛있다
이디야같지않은곳",2020년 5월 6일,4
14,이디야커피랩,조이,"카페 인테리어가 외관부터 고급스럽고 내부도 깜짝 놀랬어요. 발렛주차를 해주는 데 시간제약이 있다는게 조금 아쉬웠지만 그래도 주차가 가능한 카페라는게 마음에 들었고 입구부터 문 열어주시는 분이 계셔서 상당히 이디야스럽지(?) 않은 하이퀄리티를 추구하는 분위기가 낯설고 신기했어요. 이디야가 저가 커피숍이라는 인식이 있었는데 다른 분위기를 경험해보니 색다르기도 했지만 커피가격이 달라 조금 아쉬웠네요. 인테리어와 서비스 분위기 값이 포함되었다고 생각하지만 다른 매장 가격과 동일했더라면 더 입소문나고 사람이 많았겠죠..?

모든 종류의 빵을 먹어본 것은 아니지만 쇼콜라데니쉬 상당히 맛있었고 캐롯 케이크도 모양이 예뻐서 샀지만 맛도 좋았습니다! 위치 특성상 혼자 와서 일하시는 분들도 꽤 많았어요. 자리도 1인석을 배려한 곳도 많았구요. 여러모로 좋았고 재방문하고 싶은 곳이었어요.",2018년 5월 9일,4
15,이디야커피랩,맛집투어,"생각보다 가격 저렴하고 빵 맛있고, 브런치로도 좋고, 미팅하기도 좋은 곳
바게트 샌드위치는 꼭 먹어봐야하는 곳 (다만 사악한 주차가격)",2020년 11월 16일,4
16,이디야커피랩,Me,발렛 주차가 있는 엄청 큰 건물 카페예요. 이디야의 이미지가 아니었어요. 인테리어도 깔끔하고 맛도 좋아서 좋았어요.,2019년 5월 20일,5
17,이디야커피랩,화양연가,초코스틱은 생각보다 그저그랬어요 문열어 주시는 분도 있고 생각보다 카페가 고급스러웟어요ㅎㅎ,2020년 2월 25일,3
18,이디야커피랩,Datejust,"처음 가본 이디야 커피랩, 주차도 쉽고 커피맛, 실매 인테리어 모든게 좋았습니다.",2019년 10월 22일,4
