,이름,아이디,리뷰,날짜,별점
0,아우어베이커리 가로수길점,초초냥이,"- 지하에서 제빵, 2층에서 주문, 3층에서 먹는 가게. 건물을 통째로 사용해서 넓어요.

- 아이스 아메리카노 : 양이 종이컵 1잔 수준입니다. 얼음이 너무 많아. 맛은 산미가 있어요. 신맛 ☕

- 단팥 슈크림 : 크림과 팥이 제대로입니다. 아주 좋았던 메뉴.

- 레몬 케익 : 카스텔라 위에 레몬 향이 나는 크림이 얹어진 느낌.

- 까늘레 : 단단하고 크림이 든 쫀띡항 미니미니빵. 크기 대비 가격이 비싼 느낌입니다.",2020년 2월 27일,4
1,아우어베이커리 가로수길점,미농뷘,"가로수길에 3층 대형 매장으로 자리한 아우어 베이커리예요.
지하에서 베이킹하고 3층까지는 카페로 사용하고 있어요. 주말에는 자리가 워낙없어 몇번씩 왔다가 되돌아갈 정도로 핫플이예요.

요즘같은 날씨에 들어가는 입구 테라스쪽에 앉아서 따뜻한 커피랑 시그니처인 더티초코를 먹으니 아..내가 이걸 먹으려고 평일동안 힘들게 일했구나 자본주의 만세 란 생각이 절로 들더라구요.

아우어 근처에 워낙 유명한 식당들도 많으니 단짠코스처럼 방문하는 걸 추천합니다.",2020년 10월 26일,5
2,아우어베이커리 가로수길점,Me,"요즘 워낙 유명한 카페. 인테리어 이쁘고, 커피 기계도 인상적이고, 빵은 개인적으로 별로 안좋아해서 별 감흥이 없었지만 인기가 많은걸 봐서 맛있는 듯. 분위기가 좋음.",2020년 5월 1일,4
3,아우어베이커리 가로수길점,JIN,"레트로풍의 다방 느낌이 살아있는 자리들, 햇빛 잘드는 2층, 맛있는 빵과 커피가 있는 매력적인 곳이예요. 코로나 시국에도 아우어에는 항상 사람이 많습니다.",2020년 5월 24일,4
4,아우어베이커리 가로수길점,떡볶이좋아맨,더티 초코로 유명한 곳이지만 저녁 8시 이후로 가니까 어지간한 유명한 메뉴는 다 품절되었습니다. 그래서 남아있는 빨미까레를 주문했는데 그래도 맛있긴 했어요. 차이띠라테는 자체의 풍미가 독특해서 호불호가 많이 갈릴 맛이고 얼그레이 라뗀 맛있었습니다. 아이스 얼그라이 라떼가 없다는 건 조금 아쉬웠지만 전반적으로 다 괜찮은 곳입니다.,2020년 6월 13일,5
5,아우어베이커리 가로수길점,ran,"빵이 진짜 다 맛있음 ( º﹃º )
올리브 들어간거랑 까눌레랑
먹어봤던 건 일단 다 괜찮았음
아메리카노도 괜찮음",2019년 10월 31일,5
6,아우어베이커리 가로수길점,haha,가로수길에 있는 아우어 베이커리 커피 맛있고 까눌레도 맛있어요,2020년 5월 3일,5
7,아우어베이커리 가로수길점,Yun,가로수길 아우어 베이커리 방문. 밥블레스유에서 이영자님과 언니들이 방문하셔서 믿고 갔다. 내부 넓고 빵도 맛있고 쾌적했다. 인절미 크로와상이랑 더티초코 추천.,2019년 8월 9일,5
8,아우어베이커리 가로수길점,발라롱쩨졔,"카페분위기도 예쁘고 빵도 맛잇는데, 전반적으로 가격은 좀 비싼편이에요. 그래도 맛잇어서 또 갈거같아요",2019년 7월 17일,5
9,아우어베이커리 가로수길점,와퍼,"좋은 버터 써서 빵 만드는 곳이고
가격도 나쁘지 않아요
내부는 살짝 어둡지만 빵이 맛있어요",1월 20일,5
10,아우어베이커리 가로수길점,킴조,믿고 먹는 최화정 추천 카페..! 고른 빵마다 다 맛있었고 아메리카노도 과일 주스 수준으로 상큼한 맛이었음,2019년 9월 22일,5
11,아우어베이커리 가로수길점,냠냠,"친구따라서 처음 갔는데 너무맛있어요.
앙버터랑 더티초코 먹었는데 맛에 빠져서 다른지점도 갔었어요. 최고~~",2020년 3월 12일,5
12,아우어베이커리 가로수길점,먹보,예전에 비해 빵 엄청 맛있지는 않다. 커피 아메리카노랑 플랫화이트 시켜서 마셨는데 내 취향 아니었다,2020년 3월 9일,3
13,아우어베이커리 가로수길점,복숭,빵 맛있고 음료가 진짜 맛있어용 깔끔하고 분위기도 괜찮아용,2020년 7월 3일,4
14,아우어베이커리 가로수길점,파슬,앙버터맛있음 빵 전반적으로 다 맛있음 하지만 음료류는 다 별로.. 텤앗 ㅊㅊ,2019년 11월 20일,5
15,아우어베이커리 가로수길점,이한솔,빵에 이것저것 많이 들어가있어서 씹는 맛이 좋음. 커피도 기대 이상ㅎㅎ,2019년 10월 31일,4
16,아우어베이커리 가로수길점,보잉,빨미까레를 처음 맛본 곳. 맛 보고 좋아서 테이크아웃까지 또 했어요!,2020년 4월 5일,5
17,아우어베이커리 가로수길점,찹쌀꽈배기,빵이 넘 맛있는 아우어 베이커리 가격이 사악하지만 공간도 넓고 커피도 맛있음,2020년 3월 5일,5
18,아우어베이커리 가로수길점,안사너,아우어 에어(아인슈페너)를 시켰는데 굉장히 맛이 좋았습니다. 아메리카노는 좀 아쉬웠어요.,2019년 6월 23일,5
19,아우어베이커리 가로수길점,동동,가로수길이여서 그런지 사람이 많아 자리 구하기라 쉽지는 않으나 맛있음으로 다 해결,2019년 5월 6일,4
20,아우어베이커리 가로수길점,맛쟁이,더티초코 너무맛이짜나영!!!! 아우어인절 사러 갓는데 늦게가니 이미 솔드아웃 ㅠㅠㅠㅠ,2019년 5월 3일,5
21,아우어베이커리 가로수길점,희망처돌이,유명세 대비 빵도 음료도 다 맛이 실망스러움. 그저 그런게 아니라 별로였음,2020년 10월 17일,3
