,이름,아이디,리뷰,날짜,별점
0,르알래스카 가로수길점,달리는진저맨,"가로수길의 터줏대감, 오래된 빵 맛집인 르 알래스카를 다녀왔어요.

오랜만에 방문했는데 이전보다는 조금 더 밝아진 분위기에요

샌드위치는 주문 즉시 만드는것이 아니라 미리 만들어진 샌드위치에요. 그래도 맛있었어요. 치즈와 소스가 빵과 잘 어울렸습니다

일단 빵이 맛있아보니.. 샌드위치도 앙버터도 맛있었어요. 앙버터의 팥은 많이 달지 않았어요. 바게트빵기 바삭하고 촉촉하니 잘 어울렸습니다

바나나 타르트는 정말 찐~~~한 초콜릿 타르트에요. 당떨어질때 추천드립니다. 온몸이 찌릿 올라올거에요!

몇몇 인기 빵들은 3시 정도엔 이미 품절 ㅎㅎ 빨리가야겠어요!",2020년 10월 26일,4
1,르알래스카 가로수길점,임마리,약간 어두운 조명에 따뜻한 느낌의 카페! 빵도 너무 맛있고 아메리카노 산미 없이 쌉쌀한 맛인 것도 넘 좋다. 빨미까레는 여기 것을 제일 좋아한다!!! 초콜릿 진하고 맛있어❤️,2020년 10월 9일,5
2,르알래스카 가로수길점,랄랄루,분위기랑 인테리어가 멋진 곳. 먹었던 빵들 중에서는 딱히 기억에 남을만한게 없다. 아메리카노는 꽤 맛있었다,2018년 12월 18일,3
3,르알래스카 가로수길점,Jun,타르트의 수준이 매우 높음! 가게도 이쁘고 데이트하기 좋음!,2018년 2월 7일,3
4,르알래스카 가로수길점,가성비와친절,가격대비 맛있는지 모르겠다 커피얼음으로 유명해진 집이지 ㅡ빵은 맛난곳이 얼마나 많은데 굳이 갈 필요없다,2017년 11월 1일,2
5,르알래스카 가로수길점,jayla,깨끗하고 괜찮아요! 인테리어도 예쁘궁 이국적이에요!,2020년 2월 27일,4
6,르알래스카 가로수길점,gramsoo,,2017년 12월 2일,4
7,르알래스카 가로수길점,피부미인,빵 종류도 많고 괜찮아요. 커피 시키면 정말 사약사발만한 잔에 줘요 ㅋㅋㅋ하지만 갠적으론 별로 안좋아하는 집이라 언젠가부턴 안가요.,2016년 9월 5일,4
8,르알래스카 가로수길점,Lee Yeon Su,"초코빵이 맛있다 러스크는 기대이하
사람이 많아서 정신없다",2017년 4월 30일,4
9,르알래스카 가로수길점,김예나,,2017년 3월 18일,2
