,이름,아이디,리뷰,날짜,별점
0,버터핑거 팬케익스 청담동점,김지연,주말 11시에 방문했는데도 앞에 웨이팅 네팀! 근데 10분 정도 기다리고 바로 착석! 그런데 맛있어요. 트라이라고 별도 표시되어있는 메뉴 추천~ 15년째 롱런하는 매장인만큼 모든 메뉴가 기본 이상 맛나요. 영업시간대도 아침 7시부터 새벽 1시까지 영업해서 일찍이나 늦게가기도 편함~!!,2019년 9월 8일,4
1,버터핑거 팬케익스 청담동점,picky picky,팬케이크와 프렌치 토스트 정말 맛있다. 근데 보리치같은 아메리카노는 노답이다!,2020년 7월 19일,4
2,버터핑거 팬케익스 청담동점,yechives,청담점은 미국 로드트립 중에 먹는 길거리 식당 느낌 ㅋㅋ맛있는데 예전보다 가성비가 너무 떨어지네요.. 음료 값 오바에요 ㅋㅋ,2020년 11월 23일,4
3,버터핑거 팬케익스 청담동점,Taehee Lee,"맛은 있지만 비교적 긴 웨이팅,, 요즘에는 조금 줄으든것 같음,, 가끔 테이블이 끈적끈적하지만,, 시럽을 제대로 안닦었겠거니 해야죠,,",2017년 11월 11일,3
4,버터핑거 팬케익스 청담동점,뚜루뚜루,디저트 먹으로 왔는데 겨울봄 시즌이라 그런지 종류가 많지 않아서 조금 실망했지만 여름에 오면 정말 맛있게 디저트 드실수있어요. 주문항 음식 괜춘했음. 두명 먹기에는 확실히 양이 적음.,2018년 1월 5일,4
5,버터핑거 팬케익스 청담동점,한승,"아니 이건 너무한거아니냐고
에바참치로 비쌈
저게 2만원이냐",2020년 11월 29일,2
6,버터핑거 팬케익스 청담동점,먹자,"와플보단 팬케이크가 맛있다.
역시 대표메뉴를 시키자.
가격이 좀 있는데 양은 적다.
감자에서 특이한 맛이 난다",2019년 11월 20일,3
7,버터핑거 팬케익스 청담동점,베로니카,기대만큼 맛있어요 또 가고 싶네요,2016년 4월 25일,4
8,버터핑거 팬케익스 청담동점,달걀후라이즙,"주말 북적임만 없다면 더 자주갈텐데.. 강남의 혼잡함은 영원히 없어지지않겠죠 압니다ㅠㅠ 흑 잘돼서 다른분점 내줬으면
크림치즈 팬케이크인가 맛있게 먹었어요",2017년 1월 27일,5
9,버터핑거 팬케익스 청담동점,피부미인,뭐 아침 일찍 열어서 가곤 하긴 하는데 특별친 않죠. 먹고나면 좀 더부룩한 느낌..... 요즘 워낙 브런치까페 예쁘고 맛난데가 많아서 좀 별로.,2016년 9월 5일,3
10,버터핑거 팬케익스 청담동점,Hwang Junghoon,,2016년 12월 1일,2
11,버터핑거 팬케익스 청담동점,Hyo Park,,2016년 7월 2일,4
