,이름,아이디,리뷰,날짜,별점
0,맘마미아,멜리,매장 인테리어는 너무 예뻐요 커피 맛도 좋구요! 케이크 커피 가격이 좀 있는 편..ㅎㅎ 케이크가 한곳에 디피되어있는데 보기엔 좋지만 위생상 괜찮을까 싶더라구요 겉에 뚜껑 없이 그냥 그대로 올려져 있었어요 사람들 많이 방문하고 그 앞에서 이야기도 많이 할텐데.. 제가 갔을땐 날파리도 몇마리 있었어요.....;;;; 케이크에 붙을까봐 조금 찝찝했음,2020년 5월 10일,3
1,맘마미아,뀨쀼뀨,"사실ㅜㅜ음료나 디저트 맛은 그냥그렇습네다ㅜㅜ사실 디저트는 진짜 실망도 했어요..근데 인테리어가 너무 예쁘고ㅜ좋아서,,,평점은 5점입니다!!!너무 예쁘게 해놧어요...그거면 충분한 곳입니다!",2020년 10월 6일,5
2,맘마미아,미농뷘,"이제 날이 따뜻해서 테라스석도 오픈되었고 오후 세네시에는 웨이팅이 있었어요.
대표메뉴인 딸기크림뷜레도넛은 필링이 가득차서 정말 맛있었습니다.",2020년 4월 26일,5
3,맘마미아,BR,"압구정의 예쁜 맘마미아카페❤️
지나가다가 방문했는데 SNS유명한 곳이더라구요 ㅎㅎ 너무 예뻐요~",3월 27일,4
4,맘마미아,BigLove,"존예...그냥 여자들이 좋아할 스타일
분홍색 외관과 내부 인테리어도 너무 잘되어있고 베이커리 스타일이 약간 레이어드 카페같은 느낌..그치만 분홍색 외벽때문에 맘마미아만의 정체성도 확보된것 같다.
도산공원에서 요즘 뜨는 카페 겸 브런치 카페. 한번쯤 꼭 가볼만하다.",2019년 10월 2일,4
5,맘마미아,바삭,"안팎이 예쁘고 케익도 맛있었어요
케익 디피도 예뻤지만 먼지나 이물질 벌레 등에 팔릴때까지 하루종일 노출되겠다 싶어 염려되더라구요",2020년 8월 3일,5
6,맘마미아,미미면,카페 내부는 귀엽고 아기자기해서 사진찍기 좋아요. 디저트도 종류가 많은데 맛은 무난했습니다.,2020년 2월 24일,4
7,맘마미아,합리적 먹방러,음료 금액은 비싼편이지만 위치상 어쩔 수 없는 것 같아요 대신 디저트류가 너무 맛있어요 케이크 두개 먹고 하나 더 시켜먹었어요 ㅋㅋ 너무 달지도 않고 부드러워요 크리스마스 시즌이라 꾸며놓은 오브제가 넘 이뻤어요,2020년 4월 2일,4
8,맘마미아,포포감자,정말정말 시끄러워요ㅠ 웨이팅도 길고.. 음료는 오피치가 맛있었어용 크로플 시켰는데 굉장히 달고 뜨겁지 않아서 약간 실망했어요ㅠ 자리잡기 정말힘들어요,2020년 8월 18일,3
9,맘마미아,햇반,"너무 예뻐요, 그치만 강남에 있는 카페답게 가격대가 조금 있었구요, 구래도 핫핑크가 진짜 여심저격이었습니다",2019년 8월 7일,5
10,맘마미아,momo,사진 찍으러 가는 곳이에요. 밖에서 예쁜 사진 건져서 만족했고요 베이커리는... 안 먹는 걸 추천드립니다. 같이 간 친구는 당근케익이 맛있다고 하긴 했어요.,2020년 5월 18일,4
11,맘마미아,lilly,예쁘게 꾸며놓은 만큼 빵들도 정말 아기자기하고 귀엽다 그치만 빵의 겉면이 버석하게 메말라있어서 실망스러웠다. 버터프레첼은 정말 맛있다,2020년 5월 16일,5
12,맘마미아,seulvely,베이커리류가 너무 이쁘고 맛있어 보였어요. 저희는 점심 직후에 방문해서 음료만 마셨는데 다음에 베이커리 먹으러 또 가고 싶어요 :),2019년 10월 7일,5
13,맘마미아,지서리,카페 밖 포토스팟이 예뻐요 ! 웨이팅 해서 운좋게 ? 2층 올라갔는데 천장이 너무 예뻐요 ! 케익과 빵이 정말 귀여웠어요 주말엔 사람ㅇ 정말 많답니다 ~,2019년 9월 19일,3
14,맘마미아,민둥맨둥,매장이 크고 일층이층 분위기가 달라서 좋아요 근데 사람이 엄청 많아서 분주하고 가격이 좀 많이 비싸요ㅠ,2월 9일,5
15,맘마미아,맛쟁이,"새로생긴 핫플!! 핑크핑크 여심저격이구, 빵도 브런치도 다 생각보다 맛있어요! 가격두 괜찮아요",2019년 7월 16일,5
16,맘마미아,또니,보기에 맛있는 디저트. 눈이 휘둥그레 해짐. 근데 맛은 별로 ㅠㅠ,2020년 7월 4일,3
17,맘마미아,밥묵자,"빵이 아주많다.
먹고싶다기보단 갖고싶다. 예뻐서..
주문하고 음료메뉴가 나오면 직원이 빵+음료 가져다준다.
전체적으로 자극적이거나 너무 달지 않아서 괜찮았다",2020년 9월 7일,4
18,맘마미아,안사너,인스타에서 유명한 도산공원 카펜데요. 너무~ 예쁘게 꾸며놨어요. 배불러서 커피만 마셨는데 다른분들 먹는거 보니 케익도 맛있을 것 같아서 다음에 또 먹으러갈려구요~,2019년 10월 14일,5
19,맘마미아,유단비,디저트 종류가 상당하고 비주얼에 맛도 훌륭 공간도 넓고 사진찍기 좋음,2020년 6월 1일,4
20,맘마미아,화양연가,카페가 정말 예쁘고 아기자기해요ㅎ 가격이 비싼편인데 개인적으로 음료는 양도적고 그저 그랬어요ㅠ,2020년 11월 17일,4
21,맘마미아,우나,가격에 비해 맛이 조금 아쉽고 사람이 넘 많았음. 디저트나 외관이나 아주 예쁨.,2020년 1월 24일,4
22,맘마미아,느티나무,인테리어가 예쁩니다. 디저트 종류가 많고 데코를 신경써서 해놓은 느낌입니다.,2020년 5월 4일,4
23,맘마미아,많이먹고싶다,사진 맛집인듯 싶어요 사람들이 너무 셀카찍고 돌아다니기는 해요 ㅋㅋㅋ,2020년 3월 13일,4
