,이름,아이디,리뷰,날짜,별점
0,이코복스,미스터 달타냥,"아메리카노 기준으로 첫맛은 살짝 탄맛이 느껴짐
중간맛은 진하고 풍부한 향
끝맛은 깔끔함
커피 자체는 만족하나 가격이 다소 비싼편이며,
좌석은 불편함. 편하게 쉬거나 대화할 수 있는 분위기는 아님.
편안한 분위기를 기대하는 경우 다른카페를 추천함",2018년 11월 14일,3
1,이코복스,Jeff,"커피 향과 여운이 있어요. 하지만 비싸고 시장통 같다는 점은 잊지 마세요. 커피 생각이 나서 재방문 의사가 생길 수도 있어요.
아메리카노 첼로 추천.",2018년 11월 28일,4
2,이코복스,Vienna,"커피는 굉장히 맛있어요!
커피 원두 종류3가지 있어서 개인 입맛에 따라 고를 수 있어서 좋아요.
카푸치노 맛있어요.
당근 케이크도 달지 않고요.
가격은 비싼 편이고 모양은 so-so~😬
여기 마끼아또는 에스프레소에다가 만들어서 많이 씁니다.",2017년 12월 13일,5
3,이코복스,Happy Smile,커피 맛이 훌륭하다. 코엑스 내에 위치한 예쁘고 훌륭한 카페중 하나. 위치가 위치인지라 다소 가격이...,2019년 3월 13일,4
4,이코복스,JJjjj,"인테리어가 고급지고, 분위기가 좋음. 커피맛도 굿. 가격이 저렴한 편은 아님.",2020년 2월 22일,4
5,이코복스,와퍼,마셔본 커피중에 손에 꼽아요.!! 아이스라떼(첼로) 얼음 녹아도 맛있을 정도. 가격대 있는 편이지만 만족스러웠습니다. 넓지않은 매장이지만 인기가 좋아 사람은 많습니다.,2019년 5월 3일,5
6,이코복스,erica,"개인적으로는 로스팅이 너무 쎈 느낌이긴 하지만 커피맛은 괜찮음
가격은 비쌈
근데 좌석 불편하고 손님도 많고 사람들 많이 오가는 코너에 통유리로 자리잡고 있어서 그런가 길바닥에서 먹는 느낌이 듬",2018년 11월 1일,3
7,이코복스,가성비와친절,소문듣고 갔는데 ㅡ온도도 못맞추는 바리스타가 무슨 커피 뽑을 자격이 있을까싶다 ㅡ5700원 너무 아까워서 다시는 안간다 ㅡ친절성과 민첩성도 바닥이다,2018년 3월 2일,1
8,이코복스,새로시작,"예전부터 많이 애용했고, 초코의 진한향이 일품이었는데 요즘에는 그냥 평범한 초코여서 실망함",2019년 3월 16일,3
9,이코복스,김온유,"레드벨벳은 생각보다 맛없었고
라떼는 정말 괜찮아요! 커피 맛은 좋네요",2020년 8월 1일,4
10,이코복스,떡볶이광인,세가지 블렌딩을 선택할 수 있는 카페. 모노 블렌딩은 적당히 신맛이 나서 좋았어요. 첼로 블렌딩은 부드럽구 전체적으로 모든 메뉴가 맛있는 커피의 느낌~,2018년 11월 30일,4
11,이코복스,ivc,"커피가 맛있어서 사람이 거의 하루종일 풀.
가격은 일반적인 프랜차이즈정도 가격.
우유거품이 들어간 라떼가 가장 맛있음.
치즈케이크위에 설탕한겹?정도 올라가는데 라떼와 궁합이 좋다.
단점이라면 의자가 불편ㅜ",2018년 11월 28일,5
12,이코복스,jieun,,2019년 9월 24일,5
13,이코복스,다케터,,2018년 4월 5일,4
14,이코복스,고맛,,2017년 5월 11일,5
