,이름,아이디,리뷰,날짜,별점
0,C27,EunJi,역시 유명한 만큼 케이크 정말 맛있네요. 저는 더치애플과 트리플바닐라 주문했어요. 둘다 맛있었는데 더치애플 정말 강추입니다. 무려4층 건물이라 좌석 정말 많고 사람도 많고 정신이 좀 없네요. 인테리어가 고급스럽고 예쁘긴 합니다. BGM도 너무 좋더라구요. 케이크는 균일가 8800원으로 왠만한 밥값이네요ㅠㅠ 여러케이크 더 먹고 싶지만 가격이 부담스러워요 ㅠㅠ 그래도 재방문하고 싶은 곳이에요.,2017년 10월 11일,4
1,C27,망고,"진짜 별로...가격 비싸서 밥값만큼 나오는데
치즈케이크 너무 얼어있어서 얼음맛나고
직원들도 불친절합니다.
이미 얼어있는 치즈케이크 먹을거면
걍 코스트코 사먹지 내가 굳이 카페를 갈까요?
음료도 그저 그렇고요
걍 카페 넓어서 가는듯
재방문의사 XXXX 비추",2019년 11월 12일,1
2,C27,mymy,넓고 조용하고 층마다 다른 분위기로 꾸며져 있어서 공간은 너무 좋았어요! 많이 비싸긴 하지만 치즈케이크는 너무 맛있어서 다시 방문할것같아요!,2019년 8월 8일,4
3,C27,강몬지맘,"최애 케잌집 ❤️
이정도 맛에 이 가격이면 가성비 좋다고 생각합니다
층 마다 인테리어 다른게 너무 좋아요 !
엄마랑 데이트 하러 가기 좋아요
사진 왕창 찍고 옴 😍

치즈라떼는 나초맛나요 ㅎ",2019년 7월 30일,5
4,C27,비상하자,"조각케익 종류가 엄청 많고 맛있어요!
주차는 발렛파킹해야되서 차 가져가려면 공영주차장이용하는게 나을듯합니다.",2020년 4월 15일,5
5,C27,장동영,"- 4층까지 있어서 좌석이 많아요
- 층 마다 테마가 달라서 예뻐요
- 편한 의자가 많고 어떤 테마는 룸 식으로 되어있어서 좋아요",2019년 8월 13일,5
6,C27,sunit,약간 어둡고 넓어서 그런가 편안하고 조용한 분위기 였어요. 치즈케이크 종류도 많은데 결정장애는 고르느라 힘들었어요ㅠㅠ맛있었어요.,2020년 2월 22일,5
7,C27,Zidin Ji Won Chung,"케익은 정말 맛있어요~ 토요일 오후 6시쯤 왔는데 10분정도 기다리니~ 먹을수 있었어요
가격은 케익한쪽에 8천원.. 좀 비싸긴해요
그래도 다시올 기회가 있다면 오겠지요?
둘이서 커피하나에 케익두쪽먹으니 2.4만원 ㅎㄷㄷ",2017년 9월 2일,4
8,C27,쵸파,"카페가 진짜 크고 넓음
인테리어가 예쁨
케이크가 맛있음!",2020년 6월 19일,5
9,C27,reine,날씨가 좋아서 야외에서 먹었는데 케익이 정말 한 입 먹고 깜짝 놀랄만큼 맛있었어요. 친구들과 즐거운 시간 보내기 정말 좋습니다~,2018년 4월 1일,5
10,C27,지성민,음식의 품질에 비해 가격이 다소 과하다. 다이닝 코드에서 점수가 높아서 기대가 높았으나 실망한 첫 케이스. 역시 큰 기대는 실망을 낳는 법.,2017년 12월 24일,2
11,C27,sa,층마다 다른 컨셉으로 꾸며져있어서 구경하는것도 재밌어요 근데 치즈케이크 전문점인데 치즈케이크맛은 그냥 무난무난,2020년 1월 4일,3
12,C27,먹기위해살기,가로수길에서 큰 매장이라 테이블 간격이 넓은편이라 좋음. 다양한 치즈케이크를 맛볼수있다,2020년 11월 4일,4
13,C27,몽글똥글,케이크이지만 전혀 달지 않고 리치한 치즈맛을 느낄 수 있었음 가격은 착하지 않았지만.,2019년 11월 17일,5
14,C27,Ash,치즈케익 좋아해서 종류별로 조져보고 싶긴한데 가격이 비싸요. 아아메도 6천원인가 그랬던듯...,2020년 3월 1일,3
