,이름,아이디,리뷰,날짜,별점
0,블루보틀 역삼 카페,소풍,"블루보틀 성수 삼청 압구정 역삼점 모두 방문
분위기는 삼청점에 한표. 압구정은 많이 모자람. 역삼은 평균정도
맛은 짧게 뽑아 쓴맛이 적고 커피의 맛에 취하도록 좋다",2019년 9월 20일,5
1,블루보틀 역삼 카페,맛있는드라이빙,"크게 에스프레소와 드립 종류로 나눌 수 있어요.
아메리카노도 두 종류중 하나의 콩을 선택할 수 있어요.",2020년 5월 8일,3
2,블루보틀 역삼 카페,김남인,카페라떼 안 먹는데 블루보틀 라떼는 정말 씁쓸하지도 달지도 않고 딱 맛있다는 표현이 절로 나유ㅏ요. 직원들도 엄청 친절합니다 추천 주차는 타워 지하주차장에 했어오.,2월 21일,5
3,블루보틀 역삼 카페,HyeRim Chung,새로 지은 빌딩에 있어서 쾌적해요. 아메리카노에서는 간장 맛이 난다고 하네요...그래도 참기름 마들렌은 아주 맛있어요. 초콜릿 씌운 흑미 토핑이 특이해요.,5월 5일,3
4,블루보틀 역삼 카페,뀨뀽,"커피계의 애플, 블루보틀 역삼점 오픈해서 다녀왔어요! 평일 점심이지만 20분정도 웨이팅했어요 역시나 맛있네요 굿굿",2019년 8월 27일,5
5,블루보틀 역삼 카페,시크포크,가장 좋아하는 카페 중 하나인 블루보틀입니다. 가격은 조금 높지만 그 정도 가치를 하는 맛입니다. 기본적으로 원두가 맛있어 드립커피가 정말 맛있고 라떼도 상당히 맛있습니다. 주차도 지원되니 부담없이 잠깐 커피 마시면서 쉬기 좋습니다.☕️,2월 12일,5
6,블루보틀 역삼 카페,망고,"저 메뉴만 세 번 먹었는데 맛있어요! 법카로 얻어먹어서 더 맛있던걸수도 있겠죠? 제 돈을 안 쓴 거라서...
왕왕 비싼 점 제외하고 맛나게 먹었습니다. 역삼역 블루보틀 매장은 무척 좁고 자리가 협소해요. 갈 때마다 테이크아웃 했는데 매장에서 먹었다면 엄청 불편했을 것 같네요.",2019년 12월 7일,4
7,블루보틀 역삼 카페,이우림,웨이팅있어도 줄이 금방 줄어들었어요ㅎㅎ 미국에서 먹었던 맛이랑 똑같은거 같아요,2019년 9월 23일,5
8,블루보틀 역삼 카페,옥토파스,저는 커피알못이라 커피맛은 잘 모르겠구 블루보틀은 내부 인테리어가 세련되고 깔끔하더라구용 의자도 딱딱해서 불편할것같지만 막상 앉아보면 은근 편함 ㅋㅋㅋ 게다가 역삼점 알바생님들 진짜 천사십니다.... 또 가고 싶은곳!,2020년 7월 9일,5
9,블루보틀 역삼 카페,콩님,산미가 느껴지는 진한 커피가 먹고 싶은 날에는 블루보틀이 최고인 것 같아요. 이 매장은 작은 규모 대비 유동인구가 너무 많은 동네에 위치해있어서 웬만한 시간에는 항상 줄을 서야하지만 아침 이른 시간이라면 충분히 예쁜 공간을 즐길 수 있어요. 그리고 샌드위치가 의외로 너무 맛있어서 깜짝 놀랐답니다.,2020년 1월 5일,4
10,블루보틀 역삼 카페,spring,"아메리카노. 크레마도 적고 100ml가 채 안되는 듯한 음료양에 살짝 당황했지만 세심한 맛이 잘 느껴져서 커피 만족.

와플. 작지만 맛있었구요. 겉부분은 적당히 파삭하고 진한 버터향에 안은 뽀송하고 맛이 텁텁하지 않으며 적당히 감도는 단맛에 만족도가 꽤 높은 편이였습니다. 와플을 커피필터에 넣어주는 센스도 재밌었네요 ㅎ

개인적으로는 삼청매장보다 역삼매장이 제대로 앉을 수 있는 자리가 많은편이라 더 좋았습니다.",2020년 2월 5일,4
11,블루보틀 역삼 카페,marshmallow,"아이스크림 올라간 커피 놀라 플로트 맛있었어요!
가격은 아무래도 비싼편 입니다",2월 6일,4
12,블루보틀 역삼 카페,아스비,맛은 아무 기대없이 가서 괜찮았는데 자리가 너무 협소함. 자리 간격이 지나치게 좁아서 불편하다,2019년 12월 9일,3
13,블루보틀 역삼 카페,임마리,오픈때보다 훨씬 사람이 적어져서 갈만함 가격은 비싸지만 커피맛은 좋고 역삼점은 직원분들이 매우 친절하시다,2020년 1월 9일,4
14,블루보틀 역삼 카페,뽀삐,"한참 줄서서 기다리던 블루보틀이었는데 이제 좀 한산해짐
진한 라떼가 생각날 때 방문하기 좋다.",2020년 7월 1일,4
15,블루보틀 역삼 카페,yum,뉴올리언스 맛있어요~! 사람이 많아서 너무 시끄럽긴 해요,2020년 8월 1일,4
16,블루보틀 역삼 카페,mymyjoo,맛있는데 이가격에는 좀..인테리어 분위기 굿즈는 좋다. 그래도 비싸다.,2020년 10월 1일,3
