,이름,아이디,리뷰,날짜,별점
0,식물학,배고프다,"생각보다 넓었던 내부! 좌석도 많고 테라스도 있고 식물인테리어로 분위기 너무 좋음
초록초록 싱그러움",2020년 7월 1일,3
1,식물학,summersun,식물학자 처럼 직원분들이 흰 가운을 입고 주문을 받으시네요. 중간중간 화분이 많이 있는데 관리는 모르겠어요. 솔까라떼(솔티드카라멜)이 맛있었고 다른 메뉴도 무난한 맛이에요. 화장실은 바닥에 물이 흥건해서 지저분해보였습니다.,2019년 8월 18일,3
2,식물학,조이,"화이트톤의 깔끔한 인테리어에 초록색 식물이 가득해 푸릇한 분위기가 느껴지는 카페. 의탁자가 목조로 되어 약간 불편하고 푹신한 소파는 없지만 전체적으로 조명이 밝고 식물이 많아 식물원 온 듯 쾌적해요. 약사가운(?)같은 의상을 입고 있는 직원분들 보는 재미도 있고 약간 이색적입니다.

원두도 나름 두가지를 가지고 취향에 따라 마실 수 있도록 하고 있고 나름 연구하는 것 같은데, 아메리카노와 기본 커피류는 평균이상 정도의 맛이지 기가막힌 편은 아닙니다. 다만 콜드브루와 콜드브루 라떼, 녹차라떼 등이 주력으로 할만한 맛인데 개인취향이 있는 메뉴들이라 호불호 있을 것 같네요.
녹차라떼와 밀크티는 개별 포장된 예쁜 용기에 나오기 때문에 테이크아웃겸 들리는 손님도 많은 것 같아요.

• 화장실이 아주 예쁘고 근사합니다. 신경써서 꾸민 듯 해요.
• 발렛주차 됩니다.",2020년 6월 19일,3
3,식물학,행복j,"맛보다 분위기가 좋은 곳, 이쁘고 사진찍기 딱 좋은 곳입니다~!",2020년 9월 26일,3
4,식물학,젭젭,독특한 컨셉이랑 인테리어가 좋고 음료도 다 괜찮은 곳입니다. 위치가 살짝 골목 안쪽이고 화장실 문이 너무 부실하게 되어 있는게 아쉽지만 깔끔하고 좋아요.,2020년 7월 29일,5
5,식물학,퍼니펀,"매장은 평범하고 좀 구석에(?)있지만
안쪽으로 들어가면 좌석이 꽤 됩니다
커피 맛있어요.",4월 19일,4
6,식물학,Djieun Hannah Park,,2019년 3월 3일,3
7,식물학,뉴로맨서,깔끔한 인테리어와 괜찮은 커피의 카페이나 식물이라는 컨셉이 겨울에는 마이너스가 되는 느낌. 매장이 추운 편이고 서비스면에서도 부족한 점이 있음.,2017년 12월 2일,2
8,식물학,Datejust,식물학이라는 이름 답게 컨셉이 특이한 카페입니다. 골목으로 들어가야 해서 잘 보리지 않을 수 있습니다.,2019년 12월 1일,4
9,식물학,지니,깔끔한 분위기의 카페에요. 아인슈페너는 무난했고 에스프레소는 맛있었습니다,2020년 4월 17일,4
10,식물학,김소희,"1. 카푸치노가 있어, 에스프레소 마끼아또를 주문해도 괜찮다는 생각에 주문하려하니 주문불가 (커피를 아는 사람이 일을 하진않는듯)
2. 손님이 있고 없고 상관없이 고객이 있는 곳에 앉아있는 아르바이트 생들 .... 쉴 공간을 마련 해주는게 좋을 듯
3. 가격 대비 대체 뭐가 맛있다는 지?
4. 화장실이 주문 하는 곳 바로 뒤에있음. 화장실 가는게 매우 불편함...
5. 추움 ... 추움 추움 ....

인스타그램 하는 분들 가는 곳 인듯",2018년 2월 13일,2
11,식물학,됴도도,천장이 높고 화이트에 녹색 식물이 가득하고 깔끔해 좋음,2019년 4월 2일,4
12,식물학,sue,"인테리어 좋으나 테라스쪽은 추움
맛은 괜찮고 양이 적음",2018년 1월 3일,3
13,식물학,Doosik Bae,겉만 번지르하고 맛이없음. 카페 디자인 보러 갈만한 카페...,2018년 3월 4일,2
14,식물학,가성비와친절,식물과 브라운 인테리어가 좋은 곳 양은 적지만 맛은 괜찮다 ㅎ,2017년 12월 1일,3
