,이름,아이디,리뷰,날짜,별점
0,랑데자뷰,정하남,"강남 대로변에서 거리 안쪽으로 좀만 걸어 들어오다 보면 찾을 수 있음 외관부터 정말 인테리어에 신경 쓴게 느껴질 정도이며, 전체적인 인테리어가 현무암으로 되어 있어 제주도 느낌이 물씬 남 1,2층으로 되어 있는데 좌석이 편한 편은 아니지만 카페 분위기가 너무 좋아 한 번쯤 지인들 데리고 가기 좋은 듯함 음료 가격대는 음료 양에 비해 조금 있는 편이며, 곳곳에 인스타용 감성 사진 찍기 좋은 스팟들이 많음 한 가지 단점이라면 카페 내 노래 소리가 너무 커서 이야기하기에 불편할 수 있음 참고하시길 바람",2020년 7월 2일,3
1,랑데자뷰,달리는진저맨,"사진찍기 좋은 곳. 그 이상 이하도 아니다.

랑데자뷰는 바닐라라떼이고
오로라에이드는 봉봉?맛
의외로 초코라떼가 맛있었다.

시그니처 메뉴인 듯 한 얼그레이 케이크는 크림보다 빵이 많고 빵도 뻑뻑해서..

맛은 기대하지 않고 분위기 + 인스타에 올릴 사진을 기대하고 방문하자",2019년 11월 7일,3
2,랑데자뷰,Luna,"분위기가 다한 곳입니다. 제주도 온것같은 이국적인 분위기에 예쁜 포토존도 있구요.
가격은 비싼 편입니다. 특히 베이커리류는 가격이 사악하네요. 맛은 있었습니다.",2020년 10월 22일,3
3,랑데자뷰,BR,"제주도 분위기여서 방문한 랑데자뷰!
너무 예쁘고 층별로 분위기가 달라 매력적이에요",4월 4일,4
4,랑데자뷰,beeny,제주도 분위기의 카페에요! 무늬만 제주도가 아니고 진짜 놀러온듯한 느낌이에요 ㅋㅋ 군데군데 포토존도 많고 일층 이층 분위기가 확실히 달라서 다른 느낌을 주는 카페에요 커피도 맛있고 다 좋음!,2020년 9월 1일,5
5,랑데자뷰,볼케니,분위기가 너무 예쁜 카페였어요. 제주도 분위기 물씬. 바닥에 있는 나무조각들은 좀 불편했지만... 좀 일찍 가서 그렇지 늦게 갔으면 자리도 없었을뻔 했어요. 커피맛은 쏘쏘. 분위기 맛집 같아요.,2019년 12월 1일,3
6,랑데자뷰,sseung,"강남에서 제주풍을 느낄 수 있는 곳입니당
시그니쳐인 랑데자뷰 밀크티 얼그레이케이크를 먹었습니당

랑데자뷰는 바닐라라떼같은 느낌이 강했습니다 독특하진 않으나 부드럽고 깔끔합니당 조금 더 커피향이 진햇다면 좋았을 것 같아요

밀크티는 무난한 맛입니다 평소에 밀크티를 좋아하진 않아서 잘 모르지만 같이 간 친구들은 맛있다고 했어요

얼그레이 케이크는 크림은 부드럽고 달콤하나 밑에 케이크가 파운드케이크.롤케이크같은 느낌이 강해서 아쉬웟어요 보다 빵이 부드러우면 맛있었을 것 같아용 얼그레이 향이 진해요~

위치가 언덕이라 구두 신으며 조금 힘들어요ㅠㅠ",2019년 8월 20일,4
7,랑데자뷰,징징이,제주도 느끼의 넓고 깨끗해요~ 다만 사람이 많다는 점.. 음료는 비주얼도 너무 예쁘고 맛있습니다!,5월 17일,5
8,랑데자뷰,haha,제주도 갬성 카페예욤 포토존이 많아요 그래서 조큼 시끄럽긴해요,2020년 1월 1일,4
9,랑데자뷰,liah,"독특한 분위기가 가득한 랑데자뷰!
커피맛은 평범했고 티라미수가 맛있었습니다~ 이색적인 인테리어에 한번쯤 방문해볼만 하네요~!",3월 3일,4
10,랑데자뷰,쭈하,겨우마지막좌석앉고 웨이팅생겻어요 타르트맛집이네요 밀크티도맛잇,2019년 12월 21일,4
11,랑데자뷰,황황,"데이트할때분위기좋은곳찾다가 방문했습니다
제주도느낌? 나구요 카페이뻐서 좋습니다",2019년 9월 1일,4
12,랑데자뷰,pinku,"유명하다그래서 방문해봄 사람 엄청 많았어요
에이드는 너무 맹맹햇고 커피는 그냥 저냥 ㅜㅜ
분위기 때문에 가는 곳있것 같아요;;",3월 28일,3
13,랑데자뷰,쑤얀,일단 큰 거울이 사진찍는 스팟인것 같은데 사진 잘나오네용ㅋㅋㅋ사람이 굉장히 많은데 그만큼 핫하고 예쁜 인스타감성 카페에요,2020년 1월 25일,4
14,랑데자뷰,민둥맨둥,거울맛집으로 유명한 카페여서 가봄 카페였지만 기대가 카서 그런지 실망도 좀 큰 카페였습니다 자리도 불편하고 사람들도 많고 가격에 비해 커피 양도 너무 적었습니다 ㅠ 거울사진 찍으러 한번 갈만은 하지만 두번은 못갈거같아요 근처 주차도 안되서 불편합니다,2020년 2월 21일,3
15,랑데자뷰,Inyoung Park,"조경이랑 분위기가 너무 좋았어요! 바닥에 나무 조각? 같은것들이 있어서 더 독특한 느낌이 들었구 전신거울 포토존 있습니다ㅎㅎ직원분들 친절하셨구요, 음료맛은 보통이었습니다!",2019년 7월 30일,4
16,랑데자뷰,화양연가,사진찍는 사람들 굉장히 많았어요 음료는 비싼편인데 맛있어요ㅎㅎ,2019년 8월 10일,4
17,랑데자뷰,지토,"제주도 느낌이 나는 카페
주말엔 사람이 너무 많아서 시끄러워요ㅠㅠㅠ",2020년 6월 16일,3
18,랑데자뷰,센돌이,"밀크티가 맛있네요!
인테리어는 제주도풍으로 꾸며져있고 인스타용 사진찍기에 좋을 것 같습니다.",2019년 12월 8일,4
19,랑데자뷰,귀이웡,인테리어가 색다릅니다. 음료나 디저트는 soso합니다.,2020년 10월 29일,4
