,이름,아이디,리뷰,날짜,별점
0,클로리스 티 룸 코엑스몰점,huni,코엑스에서 방전된 체력을 보충하기 위해 찾았어요. 장소는 메가박스 나오는 곳에 있어요. 맛도 좋고 분위기도 좋고 친절함도 만족스러웠어요,2019년 2월 11일,5
1,클로리스 티 룸 코엑스몰점,프픞,가격이 생각보다 비싸지 않았고 홍차 빙수 맛있었어요 그런데 사람이 많아서 정말정말 시끄러웠음... 다같이 떠들어야겠다 싶을때만 가야겠어요,2019년 11월 2일,4
2,클로리스 티 룸 코엑스몰점,SEUL,"차마시러 갔다왔어요☕️🌼
주변 다른 카페들보다 가격 괜찮구요~ 맛도 좋아요!
시향할 수 있게 샘플있어서 맡아보고 주문할 수 있어서 좋았어요!!",2017년 12월 22일,4
3,클로리스 티 룸 코엑스몰점,하늘바람,처음 가봤는데 사람들이 많아 앉을 좌석을 찾는 것이 쉽지 않았습니다 진저밀크티에는 큼직한 생강 슬라이스가 네덩이 들어있었고 칼칼하니 맛있었습니다 주문할 때 당도를 물어보지 않았는데 이곳은 조절이 안되나요? 살짝 달달 칼칼한 진저밀크티라면 아주 좋을 것 같습니다,2019년 12월 23일,3
4,클로리스 티 룸 코엑스몰점,Vienna,"In noisy Coex, here is a quiet tea room.
Here you can take your time, thinking, resting with one fresh smell tea.
The tea makes me returning to clean mind!
I order Chloris garden tea!
강추!",2016년 12월 13일,5
5,클로리스 티 룸 코엑스몰점,히히,분위기 좋은데 밀크티를 안좋아해서.. 그래도 티는 다양하구 맛있었다,5월 1일,4
6,클로리스 티 룸 코엑스몰점,erica,"밀크티도 그렇고 케이크 종류도 그렇고 가격대가 좀 있긴 하지만 대체적으로 무난하게 맛있는 편
밀크티 종류가 여러가지인데 기본 밀크티가 아닌 다른 종류는 특유의 향이 강하게 느껴져서 개인적으로는 별로였음
역시나 코엑스 내에 있어 시장바닥같은 분위기는 깔고 감",2018년 11월 1일,4
7,클로리스 티 룸 코엑스몰점,똥개,"분위기가 예쁨. 밀크티먹어보려고 생각했었지만 식사 후 방문이라 아메리카노를 시켰다.
탄맛없이 고소해서 맛있었다.
밀크티프로즌도 다음에 도전해볼 생각.",2020년 11월 23일,4
8,클로리스 티 룸 코엑스몰점,홍냥,"분위기 너무 좋아보여서 들어갔던 카페에요. 시킨 디저트는 초코+차 향이 곁들어져있어서 좀 별로였어요 ㅠㅠ 차를 좋아하는데 초코랑 섞인..? 그런건 별로 안좋아하거든요.

그래도 음료가 너무 맛있어서 좋았어요. 프로즌밀크티 최고에요. 코엑스 가면 앞으로 여기 카페만 가려구요.",2019년 12월 13일,5
9,클로리스 티 룸 코엑스몰점,혀나,"밀크티빙수: 가격대비 그냥 밀크티맛
얼그레이 크레이프 케이크: 촉촉하니 맛있음 좀 비싼편",2017년 7월 9일,3
10,클로리스 티 룸 코엑스몰점,솔리,여기 그냥 딱 후플푸프 커먼룸입니다 호그와트 다니는데 안간다? 땡임,2020년 6월 30일,5
11,클로리스 티 룸 코엑스몰점,하이룽,밀크티 맛집. 밀크티 종류는 정말 다 맛있는 것 같아요.,2020년 8월 10일,5
12,클로리스 티 룸 코엑스몰점,태리,"가격은 비싼데 차 맛이 정말 좋아요~
복숭아 아이스티 진짜 아이스티 본연의 맛이라 너 ㅁ 맛있음",2018년 5월 7일,4
13,클로리스 티 룸 코엑스몰점,빈둥오리,유럽에 있는 티룸에 와있는 듯한 느낌이 드는 곳이에요ㅎㅎ 좀 비싸긴 하지만 맛은 좋아요!,2019년 8월 4일,5
14,클로리스 티 룸 코엑스몰점,울면,매장이 무척 넓고 예뻐요 밀크티 아이스크림 먹었는데 진하고 맛있었어요,2020년 7월 18일,5
15,클로리스 티 룸 코엑스몰점,abc,양도 많고 맛있어용 ㅎㅎㅎ 테이블도 넓고 편해요 공부하기 좋을듯요,2020년 10월 13일,5
16,클로리스 티 룸 코엑스몰점,소금소금,메뉴는 맛있는데 매장이 신촌 지점에 비해 아늑하지 않고 매장관리가 덜 되는 느낌. 그래도 친구들과 홍차 마시고 얘기 나누러 갈만합니다.,2017년 11월 21일,4
17,클로리스 티 룸 코엑스몰점,coloursky,,2017년 2월 15일,5
