,이름,아이디,리뷰,날짜,별점
0,타르틴 베이커리 도산점,달리는진저맨,"초콜릿 무스 케익과 푸딩을 먹었어요!

초콜릿 무스는 정말 찌이이이인한 초콜릿 맛이에요. 한 입 먹고 잠이 확 깰정도로 찐한 맛이였어요. 푸딩은 커스터드 크림이 있을 줄 알았는데 계란찜이더라구요 생각한 맛이 아니라 아쉬웠어요

커피는 산미가 강했어요. 제 입맛에는 별루였지만 달달한 케익과는 잘 어울렸어요

빵 케익 종류가 다양하고 브런치 메뉴도 많아서 다음엔 브런치 먹으러 오고 싶어요. 통유리라 날씨 좋은 날 오면 좋을 것 같습니다 비가 와서 아쉬웠어요. 매장은 넓은 것 같은데 사람이 많아 자리를 잡는데 15분정도 웨이팅이 있었습니다.

발렛비는 4천원 골목에 있어 차 끌고 가기 조금 복잡합니다! 꽤 괜찮아서 재방문의사 있어요",2020년 8월 8일,3
1,타르틴 베이커리 도산점,요롱이,한남동타르틴이 도산공원에도 생겼다고해서 다녀왔습니다 여자둘이 저렇게해서 사만원 나왔어요 압구정물가치고는 적당하게 배부르게 만족스러웠습니다 사람이 많지만 내자리정도는 있는듯해요 빵종류많고 맛있어보였어요,2019년 8월 24일,5
2,타르틴 베이커리 도산점,데일리유,"도산대로 골목에 생긴
카페 중 가장 핫한 카페 중 하나에요

카페 구조가 독특한게 이곳의 특징인데요~!
카페 내부에 중앙이 뻥뚫려있어서
그 사이 채광이 어마어마하게 들어요

그 채광이 드는 덕분에
브런치를 먹어도,
케익에 커피한잔해도
그 분위기가 어마어마합니다!

기분좋은 햇살이 드는 곳에서
먹는 디저트와 브런치는
그것만으로도 기분이 좋은데
맛 또한 고급스럽게 맛있답니다

오늘은 치즈케익과 커피를 마셨는데,
브런치 세트도 추천할만해요!

외국인들도 더러보이고,
분위기도 좋아서
고급스러운 느낌으로
브런치나 디저트 그리고 커피를
즐기고싶은 분들에게는
타르틴베이커리를 추천합니다",2020년 4월 4일,5
3,타르틴 베이커리 도산점,소풍,"타르틴 컨트리 브레드 워낙 맛난데 한쪽면에 버터로 구워 파삭하고 그 안쪽에는 꼼떼치즈를 듬뿍 와우 고소하고 깊은 맛이 아주아주좋다.
토마토부팔라모짜렐라샌드위치;바케트사이에 토마토 참나물파슬리살사에 부팔라모짜렐라치즈 파삭하고 와우 대박이다",2019년 9월 14일,5
4,타르틴 베이커리 도산점,햇반,"도산공원에서 핫한 곳중에 하나라고 하서 다녀왔어요, 11시쯤에 갔는데도 사람이 많더라구요, 인테리어는 예쁜데 사람이 많아서 시끄럽더라구요, 그래도 음식이 맛있었어요",2019년 8월 27일,5
5,타르틴 베이커리 도산점,세이지,용산보다 빛이 좋아서 그런지 조금 더 활기찬 분위기에요. 컨트리 빵 좋아해서 테이크아웃했습니다!,3월 24일,5
6,타르틴 베이커리 도산점,디디스커스,"매거진 킨포크와 콜라보로 운영되는 베이커리 점. 압구정 한가운데 엄청 큰 통유리 건물. 깔끔하고 넓다. 쾌적함. 2층엔 테라스가 있다. (1층보단 2층이 더운데 사람이 비교적 적었다)
콜드브루는 좀 셨다.
레몬머랭케익 조각은 머랭이라는거 때문에 먹어봤는데 머랭 부분은 생각보다 너무 끈적해서 별로고 레몬케익 부분은 생각외로 중독성 있는 맛이였다 (처음엔 별로일 수 있음)",2020년 6월 14일,4
7,타르틴 베이커리 도산점,Han Jung-woo,빵 맛있고 커피도 맛있어요. 분위기도 좋아요. 단 한가지 흠이라면 좀 시끄럽다는 거. . .,2019년 10월 1일,5
8,타르틴 베이커리 도산점,떡볶이좋아맨,"빵들의 가격이 꽤 높은 편입니다. 레몬 머랭 케이크가 상큼하고 맛있습니다.
스위트 스콘은 겉에 박혀있는 까만게 초코칩일줄 알고 시켰는데 건포도라서 약간 실망했습미다. 커피는 산미가 상당히 강합니다. 빵이나 커피 외에 디자인 소품들도 판매하는데 구경하는 재미가 있습니다.",2019년 12월 12일,3
9,타르틴 베이커리 도산점,마싯눈고,바나나크림타르트가 넘 맛있다ㅠㅠ 많이 안 달아서 좋음. 통유리라 채광이 좋아서 셀카 찍기에도 딱이당,2020년 12월 14일,4
10,타르틴 베이커리 도산점,예주,비오는 평일 낮이었는데도 시끌벅적했고요. 타르트는 맛은 있었는데 특별히 다시 먹고 싶은 맛은 아니고 아메리카노도 산미가 있어서 제 취향은 아니었네요.,2020년 5월 15일,4
11,타르틴 베이커리 도산점,차차야,음식은 말할것도 없이 분위기가 밝고 좋습니다 주말에 기분좋게 브런치하기 딱 좋네요,2020년 3월 31일,5
12,타르틴 베이커리 도산점,limm,"기대를 너어무 많이 해서 그런가 저는 그냥 그랬어요 인기가 많은 만큼 사람들 매우 많아요 당연히 조용하진 않아요
커피맛은 그냥 보통 이었구요 개인차인지 저는 녹차맛 케익에서 개인적으로 녹차를 마시면 느껴지는 선호하지 않는 향이 느껴져서; 그렇지만 공간은 너무 예쁘고 이국적이었어요",2020년 5월 16일,3
13,타르틴 베이커리 도산점,유해진,브런치로 판매하는 에그베네딕트가 정말 맛있습니다. 양도 생각보다 많습니다.,2020년 2월 24일,5
