,이름,아이디,리뷰,날짜,별점
0,카페 노티드,DASIT,"도넛, 생크림 케익, 빵 및 쿠키류 등 디저트로 유명한 카페 노티드 본점으로 최근 다운타우너 청담 바로 앞으로 이전하였다.

들어서면 1, 2 층 모두 예쁘고 귀엽게 꾸며놓은 좌석이 있고 1층 우측에는 계산대 및 쇼케이스가 있는데 도넛과 케익류가 나뉘어져 있어 계산도 따로 해야 한다.
또 안쪽에는 제조실이 있는데 유리 칸막이로 되어있어 직접 안을 볼 수도 있다.

12종의 도넛 모두 맛있지만 그중에서 우유생크림 도넛이 가장 인기 메뉴... 그리 달지 않은 생크림에 풍미 가득하며 부드러운 도넛이 질리지 않고 맛있다.
케익 중에서는 노란 스마일 케익과 딸기케익이 가장 인기 있다고 하고 맛도 매우 좋다.

간 가격이 좀 비싼게 아쉬운 점...
점포 앞 약 3대의 주차공간이 있지만 자리가 없을 시에는 인근에서 일하는 듯한 분들의 발렛 주차를 이용할 수도 있다.",2020년 10월 12일,3
1,카페 노티드,햇반,"최근에 이사해서 확장했습니다. 위치는 다운타우너청담 근처에 있어서 쉽게 찾을 수 있었어요. 도넛이 너무 유명하지만 오후1시 이후에 나온다고 해서 점심시간에도 가기 어려웠어요. 금요일 퇴근 후에 갔는데 역시나 사람이 많더라구요. 매장에서 먹는 것과 테이크아웃은 주문을 다른데서 하더라구요. 도넛 나오는 시간이 정해져 있는 것 같더라구요. 방문하기 전에 한번 찾아보고 방문하는게 좋을 것 같아요.
전 도넛 안좋아하는데도 맛있었어요. 도넛빵 자체가 너무 쫄깃하고 안달아서 담백하니 좋았구요. 기름지지 않아서 좋았습니다. 맛도 다양하게 있어서 취향에 따라 선택하면 좋을 것 같아요.
선물용으로도 너무 좋을 것 같아요.",2020년 7월 3일,4
2,카페 노티드,김지연,도넛이 유명한 곳! 늘 사람이 북적이는데 도넛이 인기였네요. 커피는 아메리카노 4천원 도넛 3천~3천5백원 정도 하구 케익은 가격대 좀 있어요! 앙도넛이랑 아메리카노 조합이 맛있고 내부 인테리어도 깔끔! 날씨 좋을때 야외 테이블에 앉아서 먹기도 좋네요~,2019년 6월 7일,4
3,카페 노티드,부여여,"일단 매장에 사람이 너무 많아요. 두번째 방문인데 시간 못맞추면 웨이팅이 필수인곳이고, 도넛 나오는 시간이 되면 사람이 줄을 엄청나게 많이 서야해요. 주문 할때도 거의 20분이상이 걸리는 곳이였어요. 근데 도넛이 맛있어서 20분 정도는 기다릴만 해요. 같이 시킨 스트로베리 크레이프는 예상 가능하고 아는맛일거 같았는데 역시나 맞았구요~ 가격대비 별로였고 기본적으로 도넛이 맛있어서 도넛을 꼭 시켜서 드시길바래요~~~! 아이스 아메리카노도 맛있었어요 ㅎㅎ 가게분위기 예쁘고 디저트 포장지도 매우 예뻐서 포장해가거나 선물로 주기에도 좋을거 같네요!!",2020년 4월 5일,4
4,카페 노티드,유명준,"https://m.blog.naver.com/audwnswldms1224/221372722088

오픈유리로 되어있어 빵 만드는걸 다 볼수 있습니다(만들때마다 시선집중)
가격이 조금 비싼편이지만, 아 케익보다 빵을 꼭 먹어보시길! 빵이 진짜 맛있음",2018년 10월 9일,4
5,카페 노티드,zenaaa,"카페 이전하기 전에 다녀왔어요. 줄은 길었지만 도넛만 포장하는 손님이 많아 테이블 만석은 아니었습니다.

3종류의 도넛을 먹어봤는데 우선 대체적으로 크림이 달지 않은 편입니다. 도넛은 기름에 튀기는 만큼 어떻게 튀기느냐도 중요하다고 생각하는데 노티드 도넛은 빵피가 쫄깃한 식감이었어요. 호떡 반죽으로 만든 도넛 느낌이라고 할까요? 그리고 굉장히 담백한 편이었습니다. 달거나 느끼하지 않아 어른들도 좋아하실 것 같고, 물리지 않았어요. 보통 디저트를 먹으면 단 맛을 중화시키기 위해 아메리카노를 마시는 편인데 노티드 도넛은 아메리카노가 필요하지 않을 정도였습니다.

사실 너무 유명한 곳이라 처음 먹었을땐 그정도로 맛있지 않다고 생각했는데 다 먹고 집에 오니 가끔 생각나는 맛입니다.",1월 21일,3
6,카페 노티드,지우,"가게가 너무 이뻤어요!

포장이랑 매장에서 먹을 사람 나눠서 주문받는 것도 편리하고 좋았으나 도넛은 리뷰에 비해 맛있지 않아 아쉬웠어요.

그러나 방문할 가치가 있는 곳이라고 생각해요.",2020년 7월 6일,4
7,카페 노티드,퍼니펀,"지난번 방문시 자리가 없었는데
이번에는 한자리가 있어 운좋게? 앉았습니다
진열장에 있는 케이크들이 넘 이뻤는데
가격은 좀 사악해요
카페 분위기도 시끌벅쩍하고 비싼 분위기는 아닙니다
도넛 나오는 소리에 줄서서 먹어봤는데
솔직히...그정도는 아닙니다
재방문 의사 없습니다",2020년 4월 5일,3
8,카페 노티드,조이,"귀여운 도넛과 다양한 종류의 디저트 및 베이커리를 주력으로 하는 카페. 오픈 키친 형태로 되어 있어 베이킹 과정이나 베이킹하는 모습을 볼 수 있고, 그래서 제조과정에 더 신뢰가 가는 곳입니다. 테이블간 간격은 좁고 공간도 전체적으로 넓은 편은 아니라 사람이 많을때에는 시끄럽고 정신없기도 해요. 도넛을 테이크아웃 해 가는 사람들이 많기도 합니다.

아메리카노와 라떼 등 커피음료는 무난하고 특히 달지 않은 편이어서 디저트와 함께 먹기에 조화로워요. 인기메뉴인 도넛 종류는 꼭 한번 드셔보는 걸 추천하고, 개인적으로는 케이크도 추천합니다. 특히 생크림을 안 좋아하는 편인데 우유를 아주 느끼하지않게 잘 섞어서 생크림도 호불호 안 갈릴 만큼 부드럽고 고소해요. 몽블랑 종류보다 딸기케이크 종류가 더 맛도 깔끔했어요.
도넛은 오후 1시에 나오니 시간 잘 확인하고 가세요. 오리지널과 우유 생크림 도넛이 제일 무난하고 대표메뉴입니다.

• 3천원 발렛주차합니다.
• 카페 내에 화장실이 있어요. 깨끗한 편입니다만 남녀공용 1칸이고 화장실 문을 열면 카페가 훤히 보이는 구조인게 조금 아쉽습니다.",2020년 3월 14일,5
9,카페 노티드,떡볶이광인,커피는 물론 청포도와 수박 등등 과일음료가 특히 맛있어용 케이크와 쿠키도 카페에서 파티시에가 직접 제작하고 주방도 볼 수 있게끔 되어있어 자부심이 느껴지네여 카페 내부는 널찍하고 시원시원하구요 도산공원 근처의 조용한곳에 위치하고 있어서 대체로 고요합니다ㅎㅎ 분위기 좋네요,2017년 10월 18일,4
