,이름,아이디,리뷰,날짜,별점
0,타이거슈가 강남점,커피콩콩,유명한 곳이라 방문했는데 유명한만큼 맛있어요!! 밀크티의 펄이 두가지크기라 특이하니 좋았고 흑당 누가크래커도 처음먹어봤는데 맛있어요ㅎㅎ,2019년 7월 18일,5
1,타이거슈가 강남점,울스턴크래프트,저렴한 가격에 맛있는 흑당버블밀크티를 마실 수 있어요! 부드럽고 맛있더라고요. 쩐주 처음 먹어봤는데 좋아요,2019년 9월 13일,4
2,타이거슈가 강남점,김예지,흑당버블티의 원조격이죠. 버블은 말랑하고 음료도 맛있습니다. 전 개인적으로 보바에 크림 없이먹는게 베스트였어요. 시간이 지난 뒤에 먹으면 버블이 불어서 식감이 떨어집니다. 바로먹기,2019년 8월 24일,5
3,타이거슈가 강남점,똥하,"요즘 핫한 흑당버블티에요
근데 제 입에는 글쎄요..
너무 달고 별로였어요 ㅠㅠ 비쥬얼만 좋았어요 개인적으론..",2019년 8월 27일,2
4,타이거슈가 강남점,치치,"앉아먹을 수 있는 자리가 없다는건 아쉬운 일이지만 맛있으니 만족합니다! 꼭 크림 있는걸로 드시고 버블은 큰걸로만 넣는게 맛있어요

요즘은 줄 안서있어서 먹을만한데 예전에 줄 어마어마하게 서있을때는 굳이 여기서...? 하는 그런 맛이네요 그래도 저는 흑당버블티 좋아하고 여기가 손가락 안에 꼽을정도로 맛있어서 재방문 의사도 있습니다! 그러나 역시 웨이팅적을때만!",2019년 11월 4일,5
5,타이거슈가 강남점,loudo,흑당 자체가 맛있습니다 너무 쓰지도 달지도 않고 적당해서 맛있습니다,2020년 2월 5일,5
6,타이거슈가 강남점,erica,"맛있음
밀크티 향이 강함
달긴 하지만 깔끔한 맛
한번쯤 먹어볼만 함
흑설탕보바(큰알갱이)와 쩐주(작은알갱이) 둘 중 하나만 선택해도 충분할듯
두개 다 넣으면 알갱이 너무 많음",2019년 8월 1일,4
7,타이거슈가 강남점,ran,"국내 상륙한지 얼마 안됬을때
30분 줄을 서서 영접해봄
근대 기대가 너무 컸나??
생각보다 흑당치고 너무 안달았고
걍 쏘쏘
공차 흑당버블티가 더 맛있었음",2019년 11월 14일,3
8,타이거슈가 강남점,맛집탐험가,대만 여행갔을 때 매일 마신 타이거슈가밀크티. 대만까지 안가고 한국에서도 마실수 있다. 쩐주보다는 큰 보바 타피오카가 더 좋다. 우리나라에서는 처음이라 일단 기본으로 주문했는데 당도가 약했다.,2019년 10월 13일,4
9,타이거슈가 강남점,sseung,"너무 기대를 많이 하고 간 곳입니당!!
줄이 길었지만 맛보겠다는 의지를 가지고 더운날 기다려서 먹었습니다

생각보다 빨리 나와서 좋았어용
제일 기본이랑 크림올라가있는 것을 먹었습니당
첫입은 달콤하고 부드러워서 너무 맛있었습다 하지만 반 정도 먹으니 조금 느끼해서 잘 안들어가는 맛이었습니다ㅠㅠ
크림과 기본은 맛의 별 차이는 안나고 조금 더 부드러운 느낌만 나는 것 같았어요 작은 펄은 처음 먹었는데 쫀득해서 맛있으나 목으로 바로 넘어갈 것 같은 두려움이 있었어용 저는 큰 펄이 더 맞는 것 같아요!
처음에는 완전 맛있고 먹다보면 살짝 물리는 느낌입니다 그래도 평소 버블티를 좋아하고 단 걸 좋아한다면 매우 맛있게 드실 것 같습니당",2019년 7월 28일,4
10,타이거슈가 강남점,sosohanreview,대만에서 먹은 후 처음으로 먹은 흑당 버블티! 단거 좋아하는 나에게는 흑당의 유행은 너무 감사했다ㅠㅠ 진짜 너무 맛있어!!.!.!.!! 한국에서는 처음 먹어봤는데 얼음이 다 녹고 먹어서 밍밍한 맛이 조금 아쉬웠지만 오랜만에 먹어서 좋았다,2020년 7월 19일,4
11,타이거슈가 강남점,티라미수,흑당버블티 전문점입니다. 요즘 유행하는 곳입니다. 꽤 맛있습니다. 당도도 적당하고 풍미도 잘 살렸습니다. 근데 비싸네요.,2019년 6월 20일,4
12,타이거슈가 강남점,발라롱쩨졔,앉아서 먹고가는자리가없어 아쉽긴해요. 공차에 비하면 가격대가 있는편이라 비싸게느껴지긴하는데 정말 맛잇어요!,2020년 1월 2일,5
13,타이거슈가 강남점,젭젭,흑당 많이 먹으러 다녔지만 역시 타이거슈가가 제일 맛 밸런스가 좋은것 같아요 bb,2020년 1월 1일,5
14,타이거슈가 강남점,alicante,가격은 일반 카페 정도인데 역시 너무 맛있어요 지점이 많아지면 좋겠어용,2019년 8월 18일,4
15,타이거슈가 강남점,lee,줄이 길어 힘들었지만 기다린보람이 있는 맛이었어요 생각한것보다 많이달지않고 좋았어요,2019년 6월 30일,5
