,이름,아이디,리뷰,날짜,별점
0,투썸플레이스 신논현역점,그레이스,"이자리가 투썸으로 바뀌고 나서 처음 방문해 봅니다.
24시간 영업점이고 신논현역 바로 앞에 있어서 손님이 많았습니다.",2020년 7월 31일,4
1,투썸플레이스 신논현역점,동그라미,"개인적으로 젤루 좋아하는 투썸플레이스!! 신논현역점은 24시간 영업이라 언제든 갈 수있고, 커피 클래스도 운영한다. 미리 예약하면 저렴한 비용으로 참여하여 이론교육과 함께 커피체험,직접 실습을 해 볼 수 있다. 커피라떼를 생전 처음 만들어 보았는데 생각보다 쉽지않다~ ㅎ",2018년 3월 7일,4
2,투썸플레이스 신논현역점,두부콩콩,직원이 친절하고 점심 아침 간단히 혼자먹기 좋아요 모닝 런치 세트 가성비 갑입니다,2020년 4월 8일,5
3,투썸플레이스 신논현역점,젭젭,사람이 매우 많고 북적이는 매장입니다. 층고가 높아서 위층으로 가면 좀 올라가야 하는데 인테리어가 예쁘고 깔끔해요. 좌석 많은 매장입니다! 맛은 그냥 무난해요,2020년 8월 10일,5
4,투썸플레이스 신논현역점,조나123,커피나 디저트 종류가 아주 다양해서 구경만 해도 재밌음. 커피는 드립으로 마셨는데 맛있었어요. 규모도 아주 커서 시끌시끌하지만 한번쯤 가볼만 합니다.,2019년 11월 5일,5
5,투썸플레이스 신논현역점,자몽에이드,강남근처에 주차지원되는 카페 흔치않은데 되서 좋아요!! 한적한편이에요,2019년 6월 23일,4
6,투썸플레이스 신논현역점,해삼충,생일축하용 케이크 샀는데 맛있어용 카페도 넓고 쾌적한편입니다,2019년 12월 2일,4
7,투썸플레이스 신논현역점,박문숙,달콤~한 케잌이 입에서 사르르 녹네요 ^^* 아메리카노랑 함께 즐기기 딱 이에요 !,2020년 4월 20일,3
8,투썸플레이스 신논현역점,xxxxx,사람이 많은 곳인데 제가 갔을 땐 조용하고 깔끔해서 좋았습니다. 음료도 괜찮아요.,2020년 11월 23일,5
9,투썸플레이스 신논현역점,abc,당딸여져서 방문했어요 맛있어용ㅎㅎㅎㅎ 공부하는 사람 마나요,2020년 9월 25일,5
10,투썸플레이스 신논현역점,호잇호잇,티라미수 라떼가 맛있고 좌석도 넓어서 종종 방문하는 곳,2020년 5월 2일,3
11,투썸플레이스 신논현역점,유단비,"넓은 공간에 다양한 종류의 디저트와 차 , 커피를 즐길 수 있다",2019년 2월 16일,5
