,이름,아이디,리뷰,날짜,별점
0,폴인 팬케이크 강남점,지니,"수플레는 약 20분 정도의 시간이 걸린답니다:) 참고하세요. 그 사이 먼저 나온 아메리카노는 산미는 적고 고소하고 진한 원두의 커피에요.

베리나이스데이 수플레는 딱 맛있는 수플레였어요. 수플레 자체는 입에서 녹는 식감이에요. 살짝 느끼하긴 했는데, 크림과 시럽을 함께 먹으니 훨씬 상큼하고 좋더라고요! 사실 수플레보단 요거트 아이스크림이 진리였어요...느끼해질 때 쯤 한입 딱 먹으면 세상이 상콤해졌답니다.",2020년 8월 9일,3
1,폴인 팬케이크 강남점,돼지보스,"수플레가 너무 먹고싶은 날😊
강남역으로 총총💃
겨우겨우 자리 앉음.... 조금 더 늦게 왔음 웨이팅 할뻔 ㅜㅜㅜ
자리간격이 조금 좁아서 아쉬움
.
#바나나윅스 🍌🍌🍌🍌
폭신폭신 수플레 포크질 한번 하면 톡 터짐 ❤그냥 생크림 같음👍🏻
뒷 테이블은 1인 1수플레 하시던데👍🏻👍🏻 존경합니다 🤣
.
다크 초콜릿 소스와 아이스크림❤️🍨 수플레와 아이스크림은 너무 잘 어울림
내가 먹었던 수플레 집 중에 베스트인듯👍🏻😆",2019년 9월 28일,4
2,폴인 팬케이크 강남점,쵸파,"강남에 위치해있다
엄청 맛있었다
가격대가 있긴하지만 맛있어서 괜찮았다",2020년 1월 1일,5
3,폴인 팬케이크 강남점,찐찐,강남이다 보니 사람이 무지 많음. 웨이팅 필수. 시끌시끌함. 맛있고 한번쯤 가볼만함.,2019년 9월 1일,4
4,폴인 팬케이크 강남점,떡볶이좋아맨,수플레 팬케이크가 정말 부드럽고 맛있었습니다 같이 곁들이는 크림이 넉넉해서 더 좋았어요,2020년 1월 19일,5
5,폴인 팬케이크 강남점,매운갈비,"퐁신한 팬케이크, 부드러운 시럽... 음료도 맛있고 다 좋다
매정이 비교적 넓어서 앉는데 큰 불편도 없다.
근데... 보통 마감시간이 다가오면 미리 알려주지 않나?
먹고잇는데 저희 마감끝났습니다~~~ 소리지르니 ㅋㅋ 먹다가 우르르 나갈채비함... 음식도 많이남김 ㅋㅋ 어이가없었다
기분나쁘기보단 서비스하는 방식이 어이가 없었고.. 두번은 안갈듯",2020년 7월 2일,5
6,폴인 팬케이크 강남점,토토군누,강남역의 유명한 팬케이크 맛집 마냥 달지않고 식감살아있고 무척 맛있고 깔끔함,1월 29일,4
7,폴인 팬케이크 강남점,몽글똥글,"수플레는 진짜 대박이고, 아인슈페너는 쏘쏘에요. 아메리카노랑 드세요",2019년 9월 28일,5
8,폴인 팬케이크 강남점,바다별,너무 비싸요... 근데 팬케이크를 입에 넣자마자 녹아서 진짜 맛있긴함ㅎ,2020년 3월 3일,4
9,폴인 팬케이크 강남점,hannah,폭신폭신한 팬케익을 파는 곳이에요. 저는 단맛을 좋아해서 베리나이스데이 팬케익이 제 입에 찰떡이었어요!,2019년 12월 2일,5
