,이름,아이디,리뷰,날짜,별점
0,더앨리 가로수길점,blue,"단거 안좋아해서 당도는 보통으로 했는데 그래도 적당히 달고 괜찮았음
하지만 가성비는 딱히 좋지 않음
테이크아웃이라 2층은 안가봤고 1층은 좀 좁음 근데 야외테라스가 있어서 날 좋으면 괜찮을듯",2019년 12월 8일,4
1,더앨리 가로수길점,김지연,"밀크티 맛집. 초반엔 줄서서먹는 분위기였지만 지금은 지점이 꽤 생겨서 여유롭게 먹을 수 있어요. 기본 버블 밀크티가 제일 맛있고, 맛있게 즐기는 팆은 처음에 섞지말고 뜨거운 버블을 즐기다가 3분의1쯤 마시고나서 우유랑 섞어서 즐겨보시길!!",2019년 10월 30일,4
2,더앨리 가로수길점,삼손,버블티 킬러로써 버블티 브랜드들 도장깨기 하는데 가격에 비해 뭔가 작은것같고.. 맛있긴 한데 가만해도 좀 비싸네요 그래도 다음에 또 가게되면 다른맛들 도전해보고싶어요,2019년 12월 8일,4
3,더앨리 가로수길점,너구리,"처음 흑설탕버블티를 먹었는데 처음은 맛없었어요. 하지만 다른 버블티를 먹고서는 아! 비싸도 사먹겠다 싶었어요
하지만 진짜 너무 비싸서 집에서 만들어 먹네요 ㅎㅎㅎㅎ",2019년 3월 20일,5
4,더앨리 가로수길점,흑당흑당,"그 유명한 신사 더앨리.... 가족이 가보고 싶다 해서 방문했어요. 정말 돗대기 시장입니다 ㅜㅜ;;
컵은 대충 씻었는지 비린내 나고...
맛만 보고싶으면 테이크아웃 해서 나오세요",2019년 8월 2일,2
5,더앨리 가로수길점,정수민,펄이 진짜 부드럽고 ㅋㅋㅋ 먹어본 밀크티중에 최고였어요 ㅎㅎㅎ,2020년 4월 7일,5
6,더앨리 가로수길점,맛진냥,"&lt;분위기&gt;
줄도 길고 사람이 많은데 2층으로 올라가면 비교적 복잡하지않게 즐기실 수 있어요. 야외좌석도 있어서 날 좋을 때 가면 좋을 듯 해요.

&lt;맛&gt;
들어가자마자 정신없이 베스트 메뉴를 시키고 보니 밀크티가 아니라 브라운슈가 밀크를 시켰더라구요. 그래서인지 음료 자체는 우유에 펄을 먹는 듯한 평범한 맛이었지만 그 펄이 달라요! 펄이 달고 쫀득쫀득해서 음료랑 같이 먹으면 간이(?) 맞아요. 더 앨리 먹으면 다른데서 못먹는다는 말이 무슨 말인지 알 것 같아요. 타이어 씹는 듯한 느낌이 아니에요.

말차라떼 버블티는 달지 않은 맛이라서 좋았어요.! 마찬가지로 펄으로 당도를 조절할 수 있어서요.",2019년 4월 13일,4
7,더앨리 가로수길점,Jhoooo,밀크티로 유명한 곳이라 먹어봤는데 나쁘지 않았음. 이 가게의 특이한 점은 ‘소화가 잘 되는 우유’로 변경할 수 있다는 것. 물론 스X벅스 디카페인 선택하는 것처럼 추가 비용이 들기는 함.,2019년 5월 16일,5
8,더앨리 가로수길점,paos,공차 외 다른 밀크티는 티향이 강해서 안좋아하는데 여기는 진짜 달달한 맛 제대로예요. 공차보다 더 맛있는 듯,2019년 2월 3일,4
9,더앨리 가로수길점,룰루랄라,흑당버블티로 유명한 더앨리카페인데요. 먹으면서도 아쉬웠던 흑당버블티 ㅠㅠ 진짜맛있어용,2020년 4월 23일,5
10,더앨리 가로수길점,밍돌,손님이 너무 많아서 결국 못 앉고 나와서 돌아다니면서 마셨어요 ㅠㅠ 그치만 넘 맛있었습니다!!,2019년 3월 24일,4
11,더앨리 가로수길점,김예지,예쁜우유입니다. 먹고 의문감이 많이 들었어요. 우유맛만 나요,2019년 8월 24일,2
12,더앨리 가로수길점,matziplist,"유명한 이 곳, 드디어 방문 했다
맛있다
초코랑 밀크티는 비추",2019년 4월 17일,4
13,더앨리 가로수길점,sagacity,"펄이 너무 쫄깃쫄깃해서 좋았어요!
딱딱하지 않고! 달달한것 땡길때 좋아요",2019년 8월 6일,3
