,이름,아이디,리뷰,날짜,별점
0,테라로사 코엑스점,욤욤욤,"카피맛은 무조건 보장되는 테라로사!
코엑스 전시장 바로 앞에 있어서 접근성이 좋습니다. 조금 이동해도 괜찮다면 코엑스점 말고 2.5단계사 해제되서 앉아서 마실 수 있게 되면 삼성역과 선릉역 사이에 있는 포스코 본사 건물에 있는 테라로사로 가시길 추천합니다.
코엑스점도 좋습니다.
코엑스몰안에 카페가 진짜 많은데 테라로사는 항상 훌륭한 맛의 커피를 제공하니까요.",2020년 12월 9일,4
1,테라로사 코엑스점,조이,"테라로사 인테리어는 그대로인데, 장소때문인지 위치때문인지 테라로사 특유의 분위기는 거의 없는 지점입니다.
테라로사는 늘 여유로운 공간의 미, 여백의 미를 강조한 인테리어를 추구해 왔는데 지리적인 이유때문인지 규모가 작고 테이블간 간격이 좁아 상당히 시끄러워요. 여유로움, 여백, 힐링 이런 테마들과는 거리가 멀어 '도심 속의 여유'를 찾을만한 공간으로 보이지는 않았습니다.
특히, 근처 직장인들이 많이 찾아 혼잡할 때는 매우 혼잡하고 줄도 길게 서야 할 때가 있어요.

아메리카노 어센틱은 살짝 라이트한 맛?이에요. 고소하기 보다는 신맛이 좀 더 느껴지는 편이고, 약간 플로럴 향이 나는 원두를 쓰는 것 같았어요. 오히려 라떼가 괜찮았고, 라떼 안 좋아하시는 분들은 차라리 핸드드립 류를 추천합니다. (물론 일부 드립 가격이 좀 사악해서 꺼려지실 수 있어요.) 베이커류는 전체적으로 무난한데, 역시 가격이 좀 비싼 편입니다.

• 코엑스몰 내부 1층에 위치하고 있고, 화장실이 근처에 있어요.",2020년 1월 15일,3
2,테라로사 코엑스점,Martin Ko,"코엑스 안에 있는 테라로사.
배고플 땐 라떼 한 잔이면 든든하다.

테라로사 원두 특유의 신맛을 우유가 잘 덮어주는 느낌.
가격은 코엑스 프리미엄 고려할 때 비싸지 않음",3월 18일,4
3,테라로사 코엑스점,알레아민욱김,"코엑스 쇼핑하다가 앉을 곳을 찾아 들어간 테라로사.
코엑스에서 유명한 카페라고 하여 들렸는데 , 커피 신맛이 너무 강해서 별로였다",2020년 1월 5일,3
4,테라로사 코엑스점,BigLove,테라로사 뭐 다르겠나싶었는데 기본 아메리카노는 그냥 그랬는데 드립커피는 확실히 맛있었어요 같이 시킨 티라미수 케익도 너무 맛있었어요 가격이 좀 아쉽지만..커피마시러 또 갈것 같아요 카페가 넓고 내부 분위기도 좋아요,2019년 9월 5일,4
5,테라로사 코엑스점,Vienna,"This brand is becoming more and more popular.
After lunch, don''t u want have a coffee?😋
People are a lot, it''s not quiet place.
I order Americano. There are two types, one is dark, another is soft. Soft is better for me!
Here I upload menu for u!
Enjoy^^
The next time, I tried some deserts, 티라미수 강추! Not sweet but tasty 😋",2016년 11월 18일,4
6,테라로사 코엑스점,히티틀러,"코엑스 스타필드 1층에 위치한 카페.
커피가 맛있기로 유명한 테라로사라서 믿고 갔는데, 솔직히 좀 실망스러웠다.
주문한 메뉴는 다크초콜릿과 호두, 말린과일의 단맛이 난다고 설명이 적혀있었는데, 단맛은 거의 나지 않았고 오히려 짠맛이 강했다.
매장에서 마실 경우는 앤틱잔에 제공되기 때문에 사진 찍기 좋았다는 게 유일한 장점.",2019년 12월 10일,3
7,테라로사 코엑스점,안사너,"커피 맛으로 명성이 자자해서 먹어보니 역시 명성이 있을만한 맛이었습니다.

그리고 기대 안했던 티라미수도 정말 맛있어요... ㅠ 약간 티라미수 맛집이라고 말해도 될 것 같고...

그리고 개인적으로 아메리카노보다는 돈 더주고 드립 드시는걸 추천드립니다. 맛의 차이가 분명하더라구요.",2019년 8월 15일,5
8,테라로사 코엑스점,erica,"커피가 정말 맛있음
가격이 비싸고 양이 적긴 하지만 그래도 맛있음
얼그레이 파운드케이크도 묵직하고 맛 괜찮았음
내부가 넓긴 한데 코엑스의 여타 카페들과 마찬가지로 사람 바글바글하고 시끄러움",2018년 10월 1일,4
9,테라로사 코엑스점,햇밥,"너무 기대했나봐요 기대가 크면 실망이 ......... 오늘의 아이스드립을 선택했는데 콜드브루느낌?
산미 있는 커피를 안좋아하는데 주문한 메뉴 두가지 다 산미가 있네요",2020년 1월 1일,3
