,이름,아이디,리뷰,날짜,별점
0,겟썸커피,객관화,소문난 스콘맛집! 강아지들 데리고 온 손님들 덕에 귀여움을 많이 볼 수 있었어요. 분위기 맛집 인정ㅎ,4일 전,4
1,겟썸커피,Seanna,"생각보다 저렴 한 가격대에 맛있는 커피
평일에 가야 좋을듯 한 여전한 핫플레이스",5월 8일,5
2,겟썸커피,피카츄,분위기가 아늑하고 인테리어가 예뻐 여자 손님들이 많습니다. 음료 가격대가 3천~4천원대로 저렴한데 가로수길에선 특히 찾기 힘든 가격대였어요. 음료의 라떼아트와 맛도 만족스러웠어요.,2018년 1월 23일,5
3,겟썸커피,대구대구대구,"지하?에 위치해서 처음에 찾는데 애먹었네요 ㅎㅎ
시그니처음료를 시켜밨는데 맛잇어요!!
또먹고싶어요 ㅜㅜ
스콘도 부르러워용 ㅎㅎ",2018년 4월 4일,5
4,겟썸커피,발라롱쩨졔,"스콘종류가 다양하진 않은데, 진짜 스콘이 너무 맛잇어요. 더치페퍼랑 둘이 잘어울려요",2019년 2월 25일,5
5,겟썸커피,유영현,편한분위기의 카페 살짝 구석에 위치해서 찾기 어려울수도있지만 동네의 아지트같은 느낌의 무드를 가지고있는 매력있는 가성비좋은 카페,2019년 5월 7일,4
6,겟썸커피,냠냠냠,"본점에만 있는 딸기잼스콘과 바질스콘은 방문시 놓치면 후회할 맛이다. 더티카푸치노는 비주얼을 담당하고, 가볍게 한입 풍미를 즐기기에 최고인 더치페퍼는 사랑입니당*",2018년 1월 28일,5
7,겟썸커피,yechives,카페에 퍼지는 스콘냄새가 너무 좋아요! 바삭한 스콘타입이에요 ㅎㅎ 커피도 맛있고 직원분들도 친절하세요,4월 16일,5
8,겟썸커피,Martin Ko,"스콘이 유명해서 찾아옴.
맛이 색다르긴 한데 그게 “맛있다”와는 다름.
가로수길에서 여길 또 올지는 글쎄..",2020년 9월 25일,3
9,겟썸커피,Seong-woo Vincent Paeng,진하고 크리미한 커피 메뉴와 짭짤한 스콘을 파는 곳. 어디를 찍어도 인스타에 올리기 좋을 분위기.,2018년 1월 7일,5
10,겟썸커피,동동,줄서서 들어가는 카페. 커피는 크게 특색이 있다고 느껴지지 않음. 감성카페,2019년 1월 26일,3
11,겟썸커피,Yun,친구랑 저녁 먹고 방문. 가격 저렴하고 분위기 좋았다. 커피도 맛있었음.,2019년 8월 13일,4
12,겟썸커피,ziyu,분위기는 좋은데 사람이 많아서 약간 시끄러운 분위기 였어요,2018년 12월 9일,4
13,겟썸커피,Jun,플랫 화이트는 역시 맛있음. 스콘은 애플파이스콘만 맛남,2018년 3월 12일,5
