,이름,아이디,리뷰,날짜,별점
0,트리아농,Jeff,"여자분들 부럽습니다. 이런 곳에서 즐기고. 가끔은 소곱창 일인분보다 여기 애프터눈티세트를 즐겨보는 게 어떨까 싶었어요 ㅎㅎ 가격은 둘다 2만원이지만 이곳에서 감출 수 없는 만족감을 발견했습니다.

자리에 앉는 내내 기분좋은 단내가 식욕을 자극합니다. 단아한 홍차와 함께 즐기는 요거트. 샌드위치. 스콘. 파운드케익. 티라미수. 마카롱 등으로 구성된 2단 디저트세트. 하나하나 다 내공 있어요. 와이프 덕분에 입호강 좀 했네요.

인테리어와 소품은 프랑스풍의 빈티지 느낌이 있어서 음식을 즐기기에 조화가 됩니다.

주차는 가게 앞에 공간이 없습니다. 언북초 앞 공영주차장 이용했습니다.",2020년 1월 9일,4
1,트리아농,베로니카,예약없이 방문했는데 역시나 자리가 꽉 차있고 남은 한자리에 앉음. 아쌈밀크티와 요크셔골드 밀크티 스콘 샌드위치 주문했는데 아주 만족스럽게 맛있었음,2019년 1월 22일,4
2,트리아농,Soon Suk Kim,솔직히 샌드위치 너무 맞있는거 아냐?! 다른 디저트들 보다 샨드위치와 스콘이 너무 맛있다. 잊혀지지 않는다.,2019년 9월 23일,5
3,트리아농,민스,"애프터눈티세트 선입금하고 예약해야하고 1인 23000입니다. 다른 곳에 비해 굉장히 저렴한 편이었습니다. 가격이 싸서 걱정했는데 구성이 좋고 다 맛있게 먹었습니다.

1층에서 부터 먹는걸 추천한다고 직원분이 설명해주십니다. 1층엔 크로와상샌드위치와 스콘과 발라먹을 잼과 버터, 그리고 작은 파운드케이크와 샐러드가 올라간 타르트같은 것이 있습니다. 파운드케이크도 맛있고 샌드위치도 크로와상을 베이스로 만들어서 그런지 맛있었어요! 스콘도 맛있어서 다먹게 되더라구요.
2층엔 마카롱과 티라미수, 살짝 얼린 슈와 요거트가 있습니다. 다 먹으니까 배부를 정도였고 맛없는게 없어서 정말 만족했습니다. 분위기도 예쁘고 세트도 예뻐서 추천드립니다.",2월 5일,5
4,트리아농,차림표,"애프터눈티치고 가성비가 나쁘지않은 구성이었어요. 양도 꽤 찼고, 모든 디저트가 맛있었어요. 분위기도 조용히 대화하기 좋았어요.",1월 20일,5
5,트리아농,가방,"밖에서, 외관이 넘 특이해서 망해가는 웨딩샵인가? 한참 구경하다가 안에 들어와서 깜놀! 유럽에 온 느낌. 커피 4500~5000원, 스콘3500원이니 프랜차이즈 가느니 여기 올꺼얍

(+인스타그램 성지 느낌. 뭐 하트시그널 나왔다는 듯. 음료 나오는데 오래 걸림...)",2020년 4월 10일,4
6,트리아농,마싯는게젤조앙,그냥 지나가다가 들린건데 퉁명스럽게 예약했냐고 물으시더라고요 그래서 안했다 했더니 빈자리에 앉으라고 하는데 왜이렇게 표정이며 말투가 불친절한지 ㅋㅋㅋ기분나빴습니다 인테리어는 예쁘긴했으나 다신 안갑니다,2019년 7월 23일,2
7,트리아농,개굴개굴,토요일 오후 동네 산책하다 방문하였는데 대부분 예약 손님 이셨어요. 풀 부킹상태라 조금 소란한 느낌어었고 테라스가 분위기가 좋았는데 해가 질무렵부터 추워지기 시작했던것 같아요. 밀크티는 흠 잡을 것 없는 깔끔한 맛이었고 크로와상 샌드위치가 기대 이상 맛잇었습니다. 스콘도 보통 이상이었구요.,2019년 4월 21일,5
8,트리아농,화양연가,사진찍기 정말 좋은 카페에요ㅎ 인생샷 많이 건졌네요ㅎㅎ 맛은 기대안했는데 생각보다 맛도 괜찮았어요ㅎㅎ,2020년 5월 2일,4
9,트리아농,서창민,매우 고급지고 여자친구와 기념일로 오기 좋네요ㅎㅎ 생각보다 배불러서 놀랐어요!,2019년 12월 19일,5
10,트리아농,abc,맛있어요! 너무 많고 배불러서 마카롱은 못먹고 나왔는데 굿,2020년 5월 28일,5
11,트리아농,욘이,"가성비 최고에요, 차만 마시러도 가도 좋아요.",2019년 1월 11일,5
12,트리아농,요리보고 조리봐도,개성있고 아주 예쁜 카페. 섬세하고 꼼꼼함이 느껴짐. 페퍼민트 강추,2018년 11월 13일,5
13,트리아농,이상혁,,2017년 1월 17일,5
