,이름,아이디,리뷰,날짜,별점
0,카페413프로젝트,hisss,"역삼역쪽에 위치한 카페로 역에서 가기에는 조금 걸어야해서 멀게 느껴질수 있다.
강남에 위치했지만 주변에는 주택가라 조용하고 깔끔한 느낌이며 커피 맛이나 분위기가 좋아서 데이트 하기 좋은 장소 같다.",5월 13일,5
1,카페413프로젝트,달리는진저맨,"역삼에 이런 곳이 있었다니!!!! 역삼역 대로변에서 두 골목 정도 지나가면 뜬금없는 자리에 있어요!

건물 외관도 내부도 그리너리 한 인테리어가 정말 이쁘고 특이해요!

연어 아보카도는 신선했고 소스가 조화로웠어요. 삭슈카는 제가 알고 있는 토마토베이스의 빨간색이 이닌 크램차우더 느낌의 스프였는데 밑으로 갈수록 날치알과 치즈?맛이 강해져서 맛있었어요

맛있어 보이는 다양한 종류의 케이크도 많았는데 인절미 케이크가 시트 안에 쫄깃한 떡이 들어가 신기했어요. 맛있어 보이는 케이크가 많아 종류별로 먹으러 또 가고 싶어요!

브런치로 가기 정말 좋아요! 재방문 의사 있고 추천합니다!!",2020년 7월 20일,4
2,카페413프로젝트,고도슴치,여기 정말 좋아요. 브런치 디저트 ㄷ ㅏ 팔고 케이크 맛있어요 ㅜㅜ 분위기도 좋은데 사람이 좀 많아서 시끄러워요,4월 16일,4
3,카페413프로젝트,오크통통,역삼에 있는 브런치카페입니다. 진짜 웨이팅 어마어마하고 좌석간격도 좁아서 복작복작 합니다. 디저트류는 먹어보진 않았지만 기다린 보람있게 음식은 맛있었어요. 가격대는 좀 비쌌던것 같아요.. 테이블만 좀 넓어도 좋았을껄... 싶습니다,2020년 12월 4일,4
4,카페413프로젝트,summerhonged,"#역삼역맛집 #413프로젝트
#브런치카페 로 주차장도 완비된 엄청 크고 가성비 좋은 카페를 찾음
음식은 전반적으로 먹을만 함 그중에서 #아보카도오렌지볼 #감바스오물렛 #쭈꾸미파스타스튜 가 아주 인기 만점이었음~ 분위기도 좋고 넓어서 맘에 들었음~ 음식이 늦게 나오눈 것이 흠???? 햄버거는 나눠먹기에도 힘들고 혼자 먹기도 크기가 커서 부담스러움",2018년 6월 27일,2
5,카페413프로젝트,뽀삐,"역삼역에서 조금만 걸어가면 나오는 주택단지에 있는 분위기 좋은 카페~
점심 식사도 있고 테라스에스 커피마시면 짱좋아요!",2020년 6월 4일,5
6,카페413프로젝트,dlsrud0415,은은한 조명과 다양한 식물들로 인테리어해서 더욱더 분위기 있었어요. 그리고 여기 케이크가 진짜 맛있어요! 특히 당근케이크가 정말정말 맛있어요.음료는 쏘쏘,2019년 11월 15일,5
7,카페413프로젝트,Dain Kang,파스타스튜 넘넘 맛있었어용 매콤하고 짜지도않고! 새우도 통통! 마늘이 많아서 떠먹는 재미가 있었습니다. 오렌지모히또가 진짜 맛있어요 왕추천,2018년 5월 26일,4
8,카페413프로젝트,임마리,"브런치 전문점인데 카페만 이용할 수도 있음. 2층까지 있는데 좀 좁아서 여유롭진 않고... 날씨 좋을 때는 테라스 이용할 수도 있을 듯!! 전원주택을 개조한 듯한 공간이 예쁩니다.
케이크는 평범했는데, 종류가 많고 보기에 예뻐서 다음에도 한 번 가서 다른 케이크도 맛보고 싶음",2020년 3월 1일,4
9,카페413프로젝트,sseung,"아보카도 관자 쉬림프 누들볼이랑 어메리카노 시켰어용(14800 3900)
역삼역에서 멀지 않은 위치에 있어서 좋았습니당
우선 분위기가 좋아요 여럿이 갔으면 케이크랑 시켯을텐데 아쉬워용

-우선 샐러드파스타같은 느낌에 새우랑 관자가 있어서 식감도 좋고 맛도 깔끔합니당
하지만 다이어트 식단같은 느낌치고는 짭짤했어요 그래두 아보카도가 잘 익어서 매우 부드러웠고 양배추도 신선해서 맛있게 먹었습니당
비싸긴 한데 한번 맛보긴 좋아요 다른테일보니 연어샐러드도 맛있어보였어요
-아메리카노는 일반적인듯 진해서 무난했어용

간단히 건강하게 한끼 식사하기 좋을듯해용
조금 가격대는 있지만 봄날 날씨를 느끼며 테라스에서 휴식하기 좋은 곳입니당",2019년 5월 31일,3
10,카페413프로젝트,남사추,여기도 뭐 워낙 유명한 곳이죠. 해쉬브라운이 맛있습니다. 전날 술을 많이 먹었는데 여기 가고 해장이 확 됐어요. 인테리어도 예쁘고 추천합니다.,2020년 6월 14일,5
11,카페413프로젝트,또니,이색적인 분위기에요. 역삼에서 브런치를 즐길 때 가기 좋은 곳,2020년 9월 8일,4
12,카페413프로젝트,슈스,시금치 파니니 기대하지 않았는데 너무 맛있었습니다. 음료까지하면 금액대가 나가지만 또 파니니를 먹으러 가고 싶습니다,2020년 12월 28일,4
13,카페413프로젝트,zxcv,"분위기 좋아서 또 가고싶다
롤케이크 빵 부분이 퍽퍽해서 좀 아쉽다",2월 25일,4
14,카페413프로젝트,달이짱,"분위기가 너무 좋은 카페이지만
음료 금액이 사악했던거 같아요",2월 4일,4
15,카페413프로젝트,solart,얼그레이 티라미수가 정말 맛있고 꽃장식이 예쁩니다 :),2020년 1월 22일,5
16,카페413프로젝트,Amy Kim,,2017년 7월 19일,3
17,카페413프로젝트,이서연,,2018년 9월 12일,5
18,카페413프로젝트,Ui-Hyeon Kim,,2017년 6월 27일,4
