,ID,내용,날짜,별점
0,ejung_sophie Lim,"여기에 실린 리뷰 모두 공감합니다. 또 한가지 아쉬운 건 에이드와 자몽차 빼고는 저카페인, 저칼로리 음료가 없었다는 거에요. 저처럼 밤에 커피 한 잔 마시면 잠을 못자는 사람을 위한 메뉴 개발을 해주셨으면 합니다. (카모마일 티나 민트 티는 어떨까요, 카페 이름이나 컨셉에 참 맞을 것 같은데...) 그래도 이 정도 점수를 드리는 이유는 카페 컨셉이 좋고 디저트로 시킨 마들렌이 맛있어서 입니다.",1년 전,3
1,Ethan SJ Park,"신사 가로수길 골목길에 위치한 카페.
내부에 식물을 많이 배치해 놓아 싱그러운 느낌을 연출.
특이한 화장실 문
내부에 자리를 널찍하게 테이블을 놓아 넓어 보임.
커피 맛은 엄청나게 특별하다는 느낌을 받지는 못했음.
자세히 기억은 나지 않지만 몇몇 시그니처 메뉴가 있음.",1년 전,3
2,yezee cho,"노트북작업&책읽기&친구와수다&데이트 모두 가능한곳 . 직원들의 친절한 응대. 고객의 이름을 받아서 메뉴가 나오면 불러주는 시스템. 처음엔 당황했지만 일부러 만든 고객접점인듯 경험이 좋았음 ㅎ... 맛차파운드 딱 적당히 달아서 넘 맛있구, 마들렌은 좀 새콤달콤하게 단 맛인데 너무 단 느낌. 맛차파운드 추천. 블랑푸치노 커피가 특이한데 커피 표면이 설탕을 토치로 지져놓은 크림브륄레의 달끈한 맛이 나는데 단거 좋아하는 사람은 좋아할 것 같다 ㅎ 여기서 처음 먹어봄.. 분위기도 편안하다 가로수길에 예쁜 카페 많긴 하지만... 재방문 의사 있음",2년 전,5
3,SuIn Park,"무난한 카페. 원두 두가지 중 하나를 선택할 수 있으며 두 원두의 맛이 굉장히 다르기때문에 메뉴에 설명되어있는 내용을 잘 읽고 선택하면 된다. 간단한 디저트들이 있고 매장은 편안하고 아늑한 분위기이며, 온실로 꾸며진 야외에도 자리가 있다.",1년 전,3
4,김지훈,"분위기좋고 시그니쳐음료도 괜찮다.
녹차라떼와 밀크티는 우유맛이 많이 난다.
유통기한도 적혀있으므로 적당한 양 사가기에도편하다.
혼자가기에는 뻘쭘하므로 같이가기를 권장한다
사진찍기에도 좋다.
직원들 친절하시다.",1년 전,4
5,Kieok Kim,신사에서 그리너리한 공간을 찾는다면 제격.,1달 전,3
6,jaeheon Song,인테리어에 커피맛까지 무척 좋은 장소이다. 심지어 가격대도 좋은 커피치곤 저렴한 편이라 스타OO같은 체인카페를 갈 바엔 이곳을 몇번이나 더 오는게 좋을 듯 하다.,2년 전,5
7,이영한,"블로그에서 본것보단 실내 인테리어는 좀 별로 였어요
하지만 커피랑 크로플은 정말 맛있었어요",1달 전,4
8,오월십이일,식물들이 가득한 곳으로 분위기가 좋다. 다만 공간이 좀 울리는 경향이 있어서 사람이 많아지면 웅웅거림이 심하다. 커피와 디저트는 훌륭하다.,2년 전,5
9,Yoni,"녹차라떼 맛있었어요
음료랑 디저트 모두 만족해요 :)
조용한 분위기라 좋았어요",2년 전,4
10,Jumie Huh,커피 맛은 그냥 무난해요. 식물원+실험실 컨셉인데 주문카운터만 더 멋지고 손님 앉는 곳은 평범하고 불편한 의자. 화장실 문 디자인이 정말 갈 때마다 신기합니다. 보통 시원하고 깔끔하고 한적한데 우르르 몇명씩 오면 소리 장난 아니게 울려요. 제발 이렇게 울리는 데 와서는 조용히 얘기합시다ㅜㅜ,1년 전,3
11,Wan Ee,깔끔한 인테리어. 맛있는 티.,2달 전,4
12,김민수,미세먼지많은 날 안식처같은 곳  카페분위기 최고,2년 전,5
13,Aram You,"야외공간과 내부공간이 적절하게 어우러져 있어서 인기있는 카페입니다. 식물로 내부 장식을 하고있고, 직원분들은 연구원처럼 흰 가운을 입고계시네요. 커피도 맛있고 분위기도 밝습니다. 유일한 단점은 사람이 많으면 무척이나 시끄러워진다는 것입니다. 흡음재에 대한 고려가 필요할 정도입니다.",1년 전,4
14,Ryan,아늑하고 좋습니다. 지인들과 대화나누기 좋고 단체로 앉을 수 있는 좌석도 있어요!,1년 전,4
15,뇌절,무지막지한 산미,2달 전,3
16,영일구,"시원하고 편안해서 좋았음. 사실 왜 식물학인지는 모르겠음. 사장님이 식물학과를 나왔을까 했음. 나름 식물이 있지만 식물학 했을때 생각나는 이미지는 아니였음. 그래도  내부도 깔끔하고, 커피도 괜찮았음. 온실같이 되어있는곳에서 마셨는데, 왠지모르게 비오거나 눈올때 다시 방문하고싶음.",2년 전,5
17,RIMI KIMI,비싸다. 이 조그만게 6500원이라는 인스타 감성값이다. 내부도 이쁘다. 근데 음료는 맛있고 예쁘게 만들어준다. 양이 적긴하다 ㅎ  그저 ㅈㄴ비쌀 뿐이지.. 또 가진 않을듯ㅋ,2년 전,4
18,까레이레TV,콜드브루와 플랫화이트를 마셨다. 커피맛은 나쁘지 않은데 따뜻한 커피를 유리잔에 준게 아쉬웠음.,2년 전,4
19,Jee In Park,카페에 식물장식이 많이 돼있어서 분위기가 예쁩니당! 그리고 커피 산도가 좀 높아요ㅎ,2년 전,4
20,xhongx (longflight),컨셉이 독특하고 커피맛도 괜찮아요. 스피커 사운드가 좋네요.,2년 전,5
21,Delphine Kim,사진만 잘나옴. 차 종류가 3개나 있는데 다 품절이었음. 맛은 쏘쏘. 걍 흰 페인트칠 한 넓은 공간에 식물이 몇개 있음. 컨셉 확실한게 보기는 좋아보임,1년 전,2
22,도희,식물학이라기엔 식물이 ...,4달 전,4
23,YZ,"넓고 예쁜카페 커피도 맛있어요
브라우니도 먹었는데 찐하고 쫀득한
브라우니라서 좋았어요~~",2년 전,5
24,Esther. Lee,여기는 인테리어만 진짜 이쁘고 맛은 없음. 과일티(?)같은건 맛있는데 그 파운드케잌 같은게 진짜 맛이없음. 위에 아이싱은 달기만하고 너무 딱딱하고 빵 자체도 하나도 안촉촉하고 딱딱함(거의 쿠키). 인테리어때매 사진찍으러 갈려고 하는 사람들한테는 추천함. 인테리어는 진짜 이쁨. 이쁘긴 이쁜데 맛때매 가는 사람들은 가지않는걸 추천함.,1년 전,3
25,우란,"초록초록한 분위기가 좋았어요.
화장실 문이 좀 불편해요.
시설이 그리 크진 않아요.",9달 전,4
26,광전,"식물학이라는 이름에 걸맞는, 다채로운 식물들의 향연
물론 커피 맛도 꽤나 준수하다",1년 전,4
27,민병철,이날은  카페라떼~ 소리가 울려서 대화하기는 좀 불편하네요~ 그래도 커피는 좋네요,8달 전,4
28,이치호,분위기 괜찮고 조용해서 좋음,10달 전,5
29,박미선,안쪽은 깔끔하고 정돈된 분위기 테라스??? 그쪽은 별루였어요,11달 전,4
30,ka Kim,분위기 있는 카페 음료는 쏘쏘입니다,2년 전,3
31,SHINYOUNG JANG,"쾌적하고 좋아요~!
찾아가는데 조큼 애를 먹긴했지만ㅎㅎ

👉🏻분위기는 밝은 분위기에요!! 조명도 밝고 천장도 높고 쾌적하고 음악소리는 거의 들리지 않았어요~
특히 테라스쪽이 분위기가 좋아요!! 케라스쪽은 약간 어둑함 분위기에 어두운 조명인데
포토존으로 아주 좋더라구요ㅎㅎ(특히 스탠드 옆😉)

👉🏻아메리카노, 그리너리(말차맛 음료), 블루베리 크럼블(디저트) 이렇게 먹었는데

*케잌이나 디저트류는 굳이 먹을 필요는 없을 것 같아요..ㅠㅎㅠ

아메리카노는 평범했고 그리너리는 달달하고 맛있었어요~!
다들 말차음료를 많이 드시더군요ㅎㅎ",2년 전,3
32,서의영,깔끔해요,2달 전,4
33,D.Q Kim,분위기 좋고 아직은 덜 복잡해요,10달 전,4
34,나리리,음료도 다 맛있고 자리도 많아요 분위기도 좋음,11달 전,5
35,Hyung-rae Cho,"모든 음료가 훌륭한 곳, 분위기도 너무 이쁜 카페",2년 전,4
36,SH,컨셉이 잘살렸고 원두가 두종 선택해서 먹을수있는데 하나가 너무 고소해요,1년 전,5
37,Yeongik Kim,컨셉때문인지 분위기가 깔끔한편!,1년 전,3
38,삼성멘,"식물학 이라는 이름처럼 내부에 식물은 많은데.. 좀 시들어 보이네요. 들어가면 식물원 같은 냄새가 날 줄 알았는데, 그건 아니었습니다.",2년 전,4
39,칠레음악쌤,커피도 괜찮고 디저트도 좋습니다,1년 전,4
