,ID,내용,날짜,별점
0,예헷,"[요약]: 강남이라서 그런지 케이크 종류가 부족없이 많음
[재방문의사]: 70 %
[꿀팁]: 다른곳에서 없었던거 먹자
.
매장이 생각보다 작지않아서 앉을 공간이 많다
케이크는 역시 매장이 커서그런지 종류도 많은것같고
매진된 메뉴도 없었던 것 같다
.
우주케이크는 생각보다 많이 달다
크레이프는 딱 정석적인 크레이프 맛",1달 전,3
1,science쌤과 함께,"갠적으로 별로에요. 사람 엄청 많고 비싸구요. 저는 초코 크레이프, 코코넛바나나케익, 로즈 크레이프 이렇게 포장했구요. 먹는데 뭔가 다 인위적인 향들이 나서 좀 거슬려요. 맛있다는 후기가 많지만.. 굳이 비싼가격 주고 먹을 케익은 아닌듯요. 물론 종류는 많고 화려해요. 갠적으로 파리크라상의 크레이프 케익이 최고네요. 다신 안갈것 같습니다.",2년 전,3
2,꼬꼬,"많이 추워요
히터를 안켜줍니다.
큰 알바분 매우 까칠해요

추워서 다들 패딩입고 커피마셔요
시간제한 1시간

가본곳중 젤 최악",3달 전,1
3,chae lynn Park,"크레페, 레드 벨벳 케이크 먹었는디, 빵도 딱딱하고 진짜 노맛.. .. 증말루 맛없음... 왜 다들 맛있다고 하는지 전혀 모르겠고.. 차라리 일산에 있는 라리 케이크, 비스테카, 이태원 레이디엠이 훨씬 맛있음요.. 여기 맛있다고하는 분들 거기 가보면 여긴 다신 안옴.. 빠리바게트가 더 맛있다 갠적으로",5달 전,1
4,진꾸튜브,"케이크원두맛집 단,사람이 많아서 시끄럽다 (내부공간이울림)",11달 전,4
5,이민주,비싸지만 맛있다,3주 전,5
6,주효진,너무 맛잇댜아앙아아아ㅏ,2달 전,5
7,hunmin min,"미용실에서 머리하구 있는데
디자이너 쌤이 예쁜카페가 있다고
말해줘서 갔는데 정말 매장이 이쁘더라구요 ㅋ
매장도 크고 너무 이뻐요~
케이크 종류도 많고
오랜만에 예쁜 카페에서 커피한잔 했네요~

The store was legit so beautiful.
Huge space, all sorts of cake,
had a cup of coffee in a cafe
this beautiful for the first time in such a while.",2년 전,5
8,박현정,가계에 손님이 많은데 왜 그런지 알거 같은 맛이에요,8달 전,5
9,Michael Seo,"생각했던것보다 매장이 상당히 컸고, 사람이 많았고, 정신 없었지만 전체적인 분위기는 밝고 쾌활함",10달 전,4
10,soy k,"맛있어요. 추천은 무지개 크레이프, 당근 케이크, 초컬릿 케이크",1년 전,3
11,김한글,"강남CGV근처라 영화 시간이 많이 남아서
갔는데 케이크를 너무 많이 먹어서
팝콘을 못먹었네요~
밀크크레이프 케이크 엄청 맛있어요~

Went because there was plenty of time before the movie,
and I couldn’t eat popcorn after eating so much cake.
Milk crepe cake is the delicious stuff.",2년 전,5
12,송나은,"동생 집들이 겸 마카롱이랑 케이크 조금 사갔어요
케이크랑 마카롱 종류도 많고 너무 이뻐서
먹기 아깝네요~ 선물용으로 너무 좋아요

Bought a few macarons and cakes for the housewarming party.
So many kinds of cake and macaron,
they all are so beautiful I don’t even want to eat them. Amazing for gifts.",2년 전,5
13,정규리,"평소에 마카롱을 너무 좋아해서
마카롱 맛집을 많이 찾아다니는데
여기 정말 마카롱 맛집 입니다~
별점 5개 드립니다~★★★★★

I love macaron so much and I visit cafes famous for macarons all the time.
This place has the best macarons. 5/5 stars.",2년 전,5
14,Hoisoo Cho,다양한 케이크! 쿠키도 맛있어요 ~,2년 전,4
15,라마,점원 태도가 만족스럽지 않아서 딱히 가고싶지는 않네요 말했던걸 하나하나 다시 물어보고 태도도 좋지않았고 별개로 먹은 밀크티랑 케이크는 밀크티는 돈아깝고 케이크는 괜찮았어요,1년 전,3
16,Olivia Han,베스트 케이크를 골랐지만 맛이없음.,1년 전,1
17,Jeff Kang,"다양한 종류의 케익을 커피와 함께 즐길 수 있는 곳.
코코넛 바나나 크림 케익은 달콤하고 고소한 맛이나 호불호가 있을 맛.
대체적으로 여성 취향의 케익들이 많은 편이고 밝은 인테리어와 적당한 테이블 간격으로 여성들이 많이 방문하나 좌석이 불편하여 장시간 있을 만한 곳은 아님.
Whole 케익을 사는 것 보다는 조각 케익으로 여러 종류 맛보는 걸 추천함.",3년 전,3
18,범구,케익맛은 정말 형펀없고 가격은 너무비싸네요 차라리 빠리바게트 같은 프랜차이즈 가 훨씬 맛있음.. 알바생도 예의가 없고.. 다신 안가요,1년 전,1
19,Eunseok Chang,"2017.12.24 방문. 성탄이브, 성탄절에도 쉬지 못하고 일하시는데도 고객응대가 너무 친절하고 미소가 밝아 기분이 좋았아요. 직원분들 홧팅요♥",3년 전,5
20,송민주,그럭저럭 맛있네요. 여자들끼리 가서 수다떨기 좋습니다. 추천메뉴는 밀크 크레이프,3년 전,4
21,G KIM,코코넛바나나 케익을 먹고 차를 마심. 여성분들이 좋아할 만한 인테리어와 분위기. 가격이 약간 있는 편입니다. 가게가 조금 어수선한 분위기였습니다.,2년 전,3
